"subn","condn","escape","choice","rt","fdbk"
1,1,1,0,NA,0
1,1,1,1,0.843940085012187,1
1,1,1,0,NA,0
1,1,1,0,NA,0
1,1,1,0,NA,0
1,1,1,1,0.70647158975343,1
1,1,1,0,NA,1
1,1,1,0,NA,0
1,1,1,0,NA,1
1,1,1,1,0.158104218598307,1
1,1,1,0,NA,0
1,1,1,1,0.236022884888851,1
1,1,1,0,NA,0
1,1,1,0,NA,0
1,1,1,0,NA,0
1,1,1,1,1.38107626132316,1
1,1,1,0,NA,1
1,1,1,1,0.673860487356384,1
1,1,1,1,0.443546674136382,1
1,1,1,1,0.394816124742776,1
1,1,1,1,0.355240127969441,1
1,1,1,1,0.389703622755495,1
1,1,1,0,NA,1
1,1,1,0,NA,1
1,1,1,1,0.369978904723881,1
1,1,1,1,0.46735437272588,1
1,1,1,0,NA,0
1,1,1,1,0.986843010261038,1
1,1,1,0,NA,0
1,1,1,0,NA,0
1,1,1,0,NA,0
1,1,1,0,NA,0
1,1,1,1,0.334862006617467,1
1,1,1,1,0.458884442764269,1
1,1,1,0,NA,0
1,1,1,1,0.64548811456912,1
1,1,1,1,0.551401343373719,1
1,1,1,0,NA,0
1,1,1,1,0.336439469652195,1
1,1,1,0,NA,0
1,2,1,0,NA,0
1,2,1,0,NA,1
1,2,1,1,1.49548115557237,0
1,2,1,0,NA,1
1,2,1,1,1.01655827612502,0
1,2,1,0,NA,0
1,2,1,0,NA,1
1,2,1,1,0.145866770671577,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,1,0.862097672225798,0
1,2,1,0,NA,0
1,2,1,0,NA,0
1,2,1,1,0.646545300494854,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,1,0.648875236709327,0
1,2,1,0,NA,0
1,2,1,1,0.249625309592844,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,1,0.634327064258858,0
1,2,1,0,NA,1
1,2,1,1,0.532702218667418,0
1,2,1,0,NA,1
1,2,1,0,NA,0
1,2,1,1,1.0619467596147,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,1,0.120175715756634,0
1,2,1,0,NA,0
1,2,1,0,NA,1
1,2,1,0,NA,0
1,2,1,1,0.123242286222478,1
1,2,1,0,NA,1
1,3,0,1,1.59442705323409,1
1,3,0,1,1.58777965071468,1
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,1,1.53507453760069,1
1,3,0,1,0.353357303261734,0
1,3,0,1,0.981924036845649,1
1,3,0,1,1.24765724671653,1
1,3,0,0,NA,1
1,3,0,1,1.36101263903464,1
1,3,0,1,1.37540650304963,0
1,3,0,1,0.967004124713907,0
1,3,0,0,NA,0
1,3,0,1,1.75493716543474,1
1,3,0,1,0.803963989592697,1
1,3,0,0,NA,0
1,3,0,1,1.5630297907868,1
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,1,1.25098977031127,1
1,3,0,1,0.277954588847421,1
1,3,0,1,0.771142375959142,0
1,3,0,1,0.753587494535089,1
1,3,0,1,0.757356709215422,1
1,3,0,1,0.273626305689742,1
1,3,0,1,0.264962943401866,1
1,3,0,0,NA,0
1,3,0,1,0.614331898602466,1
1,3,0,1,1.09897084879325,1
1,3,0,1,0.570365042908995,0
1,3,0,1,1.4063261108317,1
1,3,0,0,NA,1
1,3,0,0,NA,1
1,3,0,1,1.55282313898409,1
1,3,0,0,NA,0
1,3,0,1,0.606827103013149,1
1,3,0,1,0.567579837837604,1
1,4,0,1,1.12261240158273,1
1,4,0,0,NA,0
1,4,0,1,1.01871658469624,1
1,4,0,1,0.713513826018651,0
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,1,0.937349822939806,0
1,4,0,1,1.88742420263904,0
1,4,0,0,NA,1
1,4,0,1,0.41952892227296,0
1,4,0,0,NA,1
1,4,0,1,1.30423373263076,1
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,1,1.29678450704286,0
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,1,0.844766515477206,0
1,4,0,1,0.622389818855049,0
1,4,0,0,NA,0
1,4,0,1,0.220280910077949,0
1,4,0,0,NA,1
1,4,0,1,0.246107033618855,0
1,4,0,1,1.09139117501048,0
1,4,0,0,NA,1
1,4,0,1,0.19581722190528,0
1,4,0,1,0.388361690064588,0
1,4,0,0,NA,1
1,4,0,1,0.369050262460764,0
1,4,0,0,NA,1
1,4,0,1,0.341826086354094,0
1,4,0,0,NA,0
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,1,0.263146290665143,0
1,4,0,0,NA,1
1,4,0,1,0.284135719834986,1
1,4,0,0,NA,1
1,4,0,0,NA,1
2,1,1,0,NA,0
2,1,1,1,0.450214256277062,1
2,1,1,0,NA,0
2,1,1,1,0.534382588931792,1
2,1,1,1,1.11576348302577,1
2,1,1,1,0.431579267435307,1
2,1,1,0,NA,0
2,1,1,1,0.57464012669792,1
2,1,1,1,0.280925617617643,0
2,1,1,1,0.916638617187547,0
2,1,1,0,NA,0
2,1,1,0,NA,0
2,1,1,1,0.35876220962803,0
2,1,1,0,NA,0
2,1,1,1,0.520535580681224,1
2,1,1,0,NA,0
2,1,1,0,NA,0
2,1,1,0,NA,0
2,1,1,1,0.509859184833846,1
2,1,1,0,NA,0
2,1,1,1,0.730441456156965,1
2,1,1,0,NA,0
2,1,1,1,0.513554775838387,1
2,1,1,1,0.251350555348687,0
2,1,1,1,0.511288166236017,1
2,1,1,1,0.597673014098954,1
2,1,1,0,NA,0
2,1,1,1,0.448909536929203,1
2,1,1,1,0.405916451281104,1
2,1,1,0,NA,0
2,1,1,0,NA,0
2,1,1,1,0.744374411121323,0
2,1,1,1,0.794875207842881,0
2,1,1,0,NA,0
2,1,1,1,0.599215793067001,1
2,1,1,1,0.774430220691578,1
2,1,1,0,NA,0
2,1,1,0,NA,0
2,1,1,0,NA,0
2,1,1,1,0.763428066956037,1
2,2,1,1,0.31329912286345,1
2,2,1,1,0.205950111411004,0
2,2,1,0,NA,0
2,2,1,0,NA,0
2,2,1,0,NA,0
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,1,1.14773792917959,0
2,2,1,1,0.243482506804865,0
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,1,0.226268015780086,0
2,2,1,0,NA,0
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,1,0.172148658078348,0
2,2,1,1,0.899003627612874,0
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,1,0.362767272977493,0
2,2,1,0,NA,0
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,1,0.188369475229724,0
2,2,1,0,NA,1
2,2,1,1,0.24688320170482,0
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,0,NA,1
2,2,1,1,0.704714060991898,0
2,3,0,0,NA,0
2,3,0,0,NA,0
2,3,0,1,0.500864439255082,1
2,3,0,0,NA,0
2,3,0,1,1.16728820081598,0
2,3,0,1,1.14140374028886,1
2,3,0,0,NA,0
2,3,0,1,0.103713727605215,1
2,3,0,0,NA,0
2,3,0,1,0.527383905694636,1
2,3,0,1,0.506957582584643,1
2,3,0,1,1.31055712105494,1
2,3,0,1,1.06469464984631,1
2,3,0,1,0.321301698264571,0
2,3,0,0,NA,1
2,3,0,0,NA,0
2,3,0,0,NA,0
2,3,0,1,1.47454932079178,0
2,3,0,0,NA,0
2,3,0,0,NA,0
2,3,0,1,0.329034501767548,1
2,3,0,1,0.231698083966889,1
2,3,0,0,NA,0
2,3,0,1,0.990214147266158,1
2,3,0,0,NA,0
2,3,0,1,0.426306550328304,1
2,3,0,1,0.350699591022125,1
2,3,0,1,0.653515325816063,0
2,3,0,1,0.997589046399726,1
2,3,0,1,0.409177153471419,1
2,3,0,1,0.423011551268646,1
2,3,0,1,0.482494940036253,1
2,3,0,1,0.336223887866871,1
2,3,0,1,0.492733556090552,1
2,3,0,1,0.697994183598487,1
2,3,0,0,NA,0
2,3,0,1,0.149070015132292,1
2,3,0,1,0.570351729405445,1
2,3,0,1,0.290050169306085,1
2,3,0,1,0.590478799966212,1
2,4,0,1,0.861536444228603,1
2,4,0,1,0.792374339061975,0
2,4,0,0,NA,1
2,4,0,0,NA,1
2,4,0,0,NA,1
2,4,0,0,NA,1
2,4,0,1,0.919140833312176,0
2,4,0,0,NA,1
2,4,0,1,0.5058552499271,0
2,4,0,0,NA,0
2,4,0,0,NA,1
2,4,0,1,1.07002815599505,0
2,4,0,0,NA,1
2,4,0,0,NA,1
2,4,0,0,NA,0
2,4,0,0,NA,1
2,4,0,0,NA,1
2,4,0,0,NA,1
2,4,0,1,0.235559469942163,1
2,4,0,0,NA,0
2,4,0,0,NA,1
2,4,0,1,0.840514295203383,0
2,4,0,1,1.87487660929901,0
2,4,0,1,0.66140832025722,0
2,4,0,0,NA,0
2,4,0,1,0.619649953200249,0
2,4,0,1,0.794702433948014,0
2,4,0,0,NA,0
2,4,0,1,0.24956426007962,0
2,4,0,0,NA,1
2,4,0,0,NA,1
2,4,0,0,NA,1
2,4,0,0,NA,0
2,4,0,1,1.03883572567692,1
2,4,0,0,NA,1
2,4,0,0,NA,1
2,4,0,1,0.345958300233498,0
2,4,0,1,0.551988648053587,0
2,4,0,0,NA,1
2,4,0,1,0.322216363739045,1
3,1,1,1,0.306215112691617,1
3,1,1,1,0.306092284789104,1
3,1,1,1,0.307836678444039,1
3,1,1,1,0.500231827594735,1
3,1,1,1,0.398049025681428,1
3,1,1,1,0.996807011452678,1
3,1,1,0,NA,0
3,1,1,0,NA,0
3,1,1,0,NA,1
3,1,1,1,0.328129928530275,0
3,1,1,0,NA,0
3,1,1,1,0.21614576290951,0
3,1,1,0,NA,1
3,1,1,0,NA,0
3,1,1,0,NA,0
3,1,1,1,0.250365235533501,1
3,1,1,0,NA,0
3,1,1,0,NA,0
3,1,1,1,0.988875444643074,1
3,1,1,1,0.27490335634202,0
3,1,1,0,NA,0
3,1,1,1,1.50823152077846,1
3,1,1,1,0.677182504054811,1
3,1,1,0,NA,0
3,1,1,0,NA,0
3,1,1,0,NA,0
3,1,1,1,0.738545919345789,1
3,1,1,1,0.734968847106175,1
3,1,1,1,0.597884173344089,1
3,1,1,0,NA,0
3,1,1,1,0.197013645846221,1
3,1,1,0,NA,1
3,1,1,0,NA,0
3,1,1,1,0.226224800547002,0
3,1,1,0,NA,0
3,1,1,1,1.20601541658687,0
3,1,1,1,0.872023188399278,1
3,1,1,1,0.676384349286345,1
3,1,1,1,0.481351884898774,1
3,1,1,0,NA,0
3,2,1,0,NA,1
3,2,1,0,NA,0
3,2,1,0,NA,1
3,2,1,0,NA,1
3,2,1,1,0.227153105895145,0
3,2,1,1,0.918747047491152,0
3,2,1,1,1.02334898489819,0
3,2,1,1,0.70429891486085,0
3,2,1,1,0.198579451733036,0
