"subn","condn","escape","choice","rt","fdbk"
1,1,1,0,NA,0
1,1,1,1,0.665600318298938,1
1,1,1,0,NA,0
1,1,1,1,0.730006260156586,1
1,1,1,1,0.36632793480067,1
1,1,1,1,0.186959515147706,1
1,1,1,1,0.347976874468314,1
1,1,1,1,0.676666271791921,1
1,1,1,1,0.186107373999848,1
1,1,1,0,NA,0
1,1,1,0,NA,0
1,1,1,1,0.308161424746674,1
1,1,1,1,0.45718666607904,1
1,1,1,1,0.134266030506813,1
1,1,1,1,0.69878145711695,1
1,1,1,1,0.233688309753079,1
1,1,1,1,0.898231749017022,1
1,1,1,0,NA,0
1,1,1,0,NA,0
1,1,1,1,0.262617176313604,1
1,1,1,1,0.75175196031488,1
1,1,1,1,0.294174660425619,1
1,1,1,0,NA,1
1,1,1,1,0.517706507664459,0
1,1,1,0,NA,0
1,1,1,1,0.319620559228105,1
1,1,1,1,0.334073725638774,1
1,1,1,1,0.116199808920668,0
1,1,1,1,0.740821260654622,1
1,1,1,0,NA,1
1,1,1,1,0.753895976400198,1
1,1,1,1,1.02814113802937,1
1,1,1,1,0.429857975280941,1
1,1,1,1,0.476437907366475,1
1,1,1,1,1.22669939476272,1
1,1,1,0,NA,0
1,1,1,1,0.467447943041743,0
1,1,1,1,0.833778981216566,1
1,1,1,0,NA,0
1,1,1,1,0.619911210995185,0
1,2,1,0,NA,1
1,2,1,1,0.436261910060579,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,1,0.301114377736362,0
1,2,1,1,0.535436379539553,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,0
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,1,0.332731113834681,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,0,NA,1
1,2,1,1,0.613627422569019,0
1,2,1,0,NA,1
1,3,0,1,0.648554064220029,1
1,3,0,1,0.442412004297187,1
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,1,1.17689336230708,1
1,3,0,0,NA,0
1,3,0,1,0.750996226139709,0
1,3,0,1,0.428433631805669,1
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,1,1.17011938379979,1
1,3,0,0,NA,0
1,3,0,1,1.03690910674533,1
1,3,0,0,NA,1
1,3,0,1,0.12621656823052,1
1,3,0,0,NA,0
1,3,0,1,0.116070419111845,1
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,1,0.704378706974629,1
1,3,0,0,NA,0
1,3,0,1,0.253097101750316,1
1,3,0,1,0.31515956251724,1
1,3,0,0,NA,0
1,3,0,1,0.408895779186002,1
1,3,0,1,0.237298657839247,1
1,3,0,0,NA,0
1,3,0,1,0.348903440170435,1
1,3,0,0,NA,0
1,3,0,1,0.393051412106099,1
1,3,0,0,NA,0
1,3,0,0,NA,0
1,3,0,1,0.368872355455732,0
1,3,0,1,0.871105707664154,1
1,3,0,1,0.637914067289363,1
1,3,0,1,1.1898300556038,1
1,3,0,1,0.303715978361751,1
1,3,0,1,0.131957871341443,1
1,3,0,0,NA,0
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,0,NA,0
1,4,0,0,NA,1
1,4,0,0,NA,0
1,4,0,1,0.130347611659771,0
1,4,0,0,NA,1
1,4,0,1,0.404266498170536,0
1,4,0,1,0.319118066386699,1
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,0,NA,0
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,1,0.147786528881331,0
1,4,0,0,NA,0
1,4,0,0,NA,0
1,4,0,1,1.29346026477454,1
1,4,0,1,0.12028843964569,0
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,1,0.211769081446457,0
1,4,0,1,0.174405367406001,0
1,4,0,1,0.218142494466658,0
1,4,0,1,0.0943953695431767,0
1,4,0,1,0.883378592980866,0
1,4,0,0,NA,1
1,4,0,0,NA,1
1,4,0,1,0.804636652581331,0
1,4,0,0,NA,1
1,4,0,0,NA,0
1,4,0,0,NA,1
1,4,0,1,0.701166892718572,1
1,4,0,0,NA,1
1,4,0,1,0.425490817779456,0
1,4,0,1,0.657526550909119,0
2,1,1,0,NA,0
2,1,1,0,NA,1
2,1,1,0,NA,0
2,1,1,0,NA,0
2,1,1,0,NA,0
2,1,1,1,0.961392713793804,1
2,1,1,1,0.587244054021557,1
2,1,1,1,0.688592038435455,1
2,1,1,1,1.46872007010626,1
2,1,1,1,0.315264133464514,1
2,1,1,0,NA,0
2,1,1,0,NA,0
2,1,1,1,0.790820338951017,1
2,1,1,1,0.635812101949959,1
2,1,1,0,NA,1
2,1,1,1,0.872280532681627,1
2,1,1,1,1.23580600645444,1
