block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	3	1	1606	1	1892	998	0B_4L	u_long.wav	17475	19081	20529
1	2	3_8	2	2	1656	0	2316	1869	6L_4G	k_asp_cut.wav	24933	26589	28855
1	3	4_1	3	1	1751	1	2720	1857	0B_0L	u_long.wav	33627	35378	37517
1	4	5_6	4	0	0	2	3374	1588	4B_6B	norm_q.wav	43021	0	46655
1	5	1_5	1	1	1375	1	3057	2704	0L_4B	a_long.wav	51761	53136	56494
1	6	4_9	3	2	1520	1	3015	1861	0B_6G	u_long.wav	61576	63096	65576
1	7	8_7	5	0	0	2	3788	2253	4G_0G	norm_n.wav	71473	0	75759
1	8	3_4	2	1	1701	1	3929	1421	6L_0B	k_asp_cut.wav	81755	83456	85218
1	9	1_9	1	2	1330	1	3440	1211	0L_6G	a_long.wav	90707	92037	93965
1	10	3_1	2	2	1760	1	2608	2140	6L_0L	k_asp_cut.wav	98648	100408	102834
1	11	8_4	5	1	1573	1	2685	2168	4G_0B	norm_n.wav	107582	109155	111802
1	12	1_6	1	1	994	1	2874	2350	0L_6B	a_long.wav	116728	117722	121124
1	13	4_5	3	2	1350	1	4089	1510	0B_4B	u_long.wav	127267	128617	130826
1	14	3_8	2	1	1978	1	3332	2358	6L_4G	k_asp_cut.wav	136218	138196	140631
1	15	4_3	3	2	1372	1	2548	1733	0B_6L	u_long.wav	145225	146597	149013
1	16	8_2	5	2	1582	1	2398	1850	4G_4L	norm_n.wav	153465	155047	157369
1	17	1_4	1	2	1322	1	3221	1933	0L_0B	a_long.wav	162644	163966	166626
1	18	8_7	5	0	0	2	3271	1982	4G_0G	norm_n.wav	171951	0	175982
1	19	1_3	1	1	1229	1	2443	1346	0L_6L	a_long.wav	180480	181709	183886
1	20	5_6	4	0	0	2	2863	2675	4B_6B	norm_q.wav	188840	0	193555
1	21	8_2	5	1	1261	1	2192	2011	4G_4L	norm_n.wav	197826	199087	201882
1	22	1_6	1	2	1287	1	2516	2549	0L_6B	a_long.wav	206457	207744	211060
1	23	3_4	2	1	1868	1	2872	2482	6L_0B	k_asp_cut.wav	215987	217855	220533
1	24	5_9	4	2	1928	1	3164	1642	4B_6G	norm_q.wav	225753	227681	229451
1	25	4_1	3	1	1226	1	3043	1626	0B_0L	u_long.wav	234555	235781	238242
1	26	1_5	1	2	1081	1	1752	1333	0L_4B	a_long.wav	242071	243152	245505
1	27	3_7	2	1	1702	1	3052	2175	6L_0G	k_asp_cut.wav	250627	252329	254853
1	28	8_3	5	1	1310	1	3162	2563	4G_6L	norm_n.wav	260094	261404	264765
1	29	5_9	4	0	0	2	3569	1426	4B_6G	norm_q.wav	270392	0	273853
1	30	3_7	2	2	1856	1	2990	1968	6L_0G	k_asp_cut.wav	278953	280809	282985
1	31	8_2	5	2	1368	1	2760	2260	4G_4L	norm_n.wav	287814	289182	292134
1	32	5_8	4	1	1536	1	2097	1823	4B_4G	norm_q.wav	296308	297844	300203
1	33	1_2	1	1	1298	1	2286	1600	0L_4L	a_long.wav	304537	305835	308187
1	34	8_5	5	2	1397	1	3282	1124	4G_4B	norm_n.wav	313522	314919	316701
1	35	5_4	4	0	0	2	3050	2509	4B_0B	norm_q.wav	321830	0	326376
1	36	4_1	3	2	1114	1	2301	2258	0B_0L	u_long.wav	330739	331853	335048
1	37	5_8	4	2	1425	1	2698	1989	4B_4G	norm_q.wav	339826	341251	343870
1	38	4_1	3	2	1101	1	2274	2016	0B_0L	u_long.wav	348208	349309	352287
1	39	3_7	2	1	1861	1	3082	1584	6L_0G	k_asp_cut.wav	357473	359334	361112
1	40	5_3	4	2	1626	1	2873	2304	4B_6L	norm_q.wav	366037	367663	370388
