block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	3	1	1506	1	3082	2675	0B_4L	u_long.wav	16682	18188	21405
1	2	3_8	2	2	1441	0	2097	998	6L_4G	k_asp_cut.wav	25564	27005	28618
1	3	4_1	3	1	1117	1	2873	2350	0B_0L	u_long.wav	33546	34663	37926
1	4	5_6	4	0	0	2	3282	2168	4B_6B	norm_q.wav	43262	0	47485
1	5	1_5	1	2	1587	1	3164	1869	0L_4B	a_long.wav	52702	54289	56627
1	6	4_9	3	1	1067	1	2874	1626	0B_6G	u_long.wav	61586	62653	65257
1	7	8_7	5	1	1663	0	3440	1857	4G_0G	norm_n.wav	70758	72421	74646
1	8	3_4	2	2	1580	1	2720	2011	6L_0B	k_asp_cut.wav	79479	81059	83540
1	9	1_9	1	2	1752	0	3050	2358	0L_6G	a_long.wav	88649	90401	93044
1	10	3_1	2	1	1758	1	2863	2258	6L_0L	k_asp_cut.wav	97969	99727	102268
1	11	8_4	5	2	1047	1	3043	2260	4G_0B	norm_n.wav	107390	108437	111710
1	12	1_6	1	1	1264	1	3052	1333	0L_6B	a_long.wav	116823	118087	120207
1	13	4_5	3	1	1152	1	2443	2704	0B_4B	u_long.wav	124704	125856	129468
1	14	3_8	2	1	1285	0	3332	2509	6L_4G	k_asp_cut.wav	134850	136135	139414
1	15	4_3	3	1	1099	1	2685	2140	0B_6L	u_long.wav	144144	145243	148319
1	16	8_2	5	2	1469	1	3569	2304	4G_4L	norm_n.wav	153952	155421	158307
1	17	1_4	1	2	1509	0	2274	1968	0L_0B	a_long.wav	162631	164140	166695
1	18	8_7	5	1	1642	0	2608	1733	4G_0G	norm_n.wav	171372	173014	175150
1	19	1_3	1	2	1604	1	3788	2253	0L_6L	a_long.wav	180991	182595	185294
1	20	5_6	4	2	1848	0	2516	1850	4B_6B	norm_q.wav	189944	191792	193831
1	21	8_2	5	2	2017	1	4089	1823	4G_4L	norm_n.wav	199974	201991	203845
1	22	1_6	1	2	1688	1	3374	1584	0L_6B	a_long.wav	209257	210945	212896
1	23	3_4	2	2	1460	1	1892	1346	6L_0B	k_asp_cut.wav	216841	218301	220248
1	24	5_9	4	1	1834	1	2286	1510	4B_6G	norm_q.wav	224584	226418	228151
1	25	4_1	3	1	1811	1	3015	1861	0B_0L	u_long.wav	233226	235037	237142
1	26	1_5	1	2	953	1	3929	2549	0L_4B	a_long.wav	243131	244084	247738
1	27	3_7	2	2	1261	1	3271	2175	6L_0G	k_asp_cut.wav	253097	254358	257322
1	28	8_3	5	1	814	1	2301	1588	4G_6L	norm_n.wav	261735	262549	265542
1	29	5_9	4	1	1198	0	3162	2563	4B_6G	norm_q.wav	270802	272000	275407
1	30	3_7	2	2	1318	1	2990	2016	6L_0G	k_asp_cut.wav	280455	281773	284501
1	31	8_2	5	1	1125	1	2192	2482	4G_4L	norm_n.wav	288747	289872	293290
1	32	5_8	4	2	1469	0	3221	1989	4B_4G	norm_q.wav	298566	300035	302638
1	33	1_2	1	1	1213	1	1752	1421	0L_4L	a_long.wav	306504	307717	309959
1	34	8_5	5	2	1013	1	2760	1933	4G_4B	norm_n.wav	314768	315781	318761
1	35	5_4	4	1	1666	1	2316	1642	4B_0B	norm_q.wav	323131	324797	326826
1	36	4_1	3	2	1660	1	2872	1426	0B_0L	u_long.wav	331760	333420	335267
1	37	5_8	4	2	1412	1	2698	1211	4B_4G	norm_q.wav	340026	341438	343325
1	38	4_1	3	2	1248	1	2398	1124	0B_0L	u_long.wav	347799	349047	350978
1	39	3_7	2	1	1532	1	2548	1600	6L_0G	k_asp_cut.wav	355588	357120	359243
1	40	5_3	4	2	1007	1	3057	1982	4B_6L	norm_q.wav	364353	365360	368448
