block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	3	1	594	0	2608	1588	0B4L	norm_q.wav	7504	8098	11127
1	2	3_8	2	2	1364	1	2872	2675	6L4G	norm_n.wav	13178	14542	16832
1	3	4_1	3	1	1197	0	2863	1733	0B0L	norm_q.wav	18865	20062	22486
1	4	5_6	4	1	1335	0	3788	1982	4B6B	k_asp_cut.wav	24536	25871	28174
1	5	1_5	1	1	1144	1	2316	1850	0L4B	u_long.wav	30224	31368	33845
1	6	4_9	3	2	1546	1	3271	1857	0B6G	norm_q.wav	35895	37441	39533
1	7	8_7	5	1	1307	0	4089	2258	4G0G	a_long.wav	41583	42890	45204
1	8	3_4	2	1	1653	0	3332	2358	6L0B	norm_n.wav	47254	48907	50892
1	9	1_9	1	1	1150	1	2685	2482	0L6G	u_long.wav	52941	54091	56579
1	10	3_1	2	1	1391	0	2990	1600	6L0L	norm_n.wav	58630	60021	62267
1	11	8_4	5	2	1288	1	2760	1989	4G0B	a_long.wav	64317	65605	67938
1	12	1_6	1	1	1418	1	3221	2549	0L6B	u_long.wav	69988	71406	73626
1	13	4_5	3	2	1371	1	2698	2350	0B4B	norm_q.wav	75676	77047	79314
1	14	3_8	2	2	1749	1	1752	998	6L4G	norm_n.wav	81363	83112	85001
1	15	4_3	3	0	0	2	3162	1584	0B6L	norm_q.wav	87035	0	90656
1	16	8_2	5	1	1992	0	3164	2168	4G4L	a_long.wav	92706	94698	96344
1	17	1_4	1	0	0	2	1892	2140	0L0B	u_long.wav	98394	0	102015
1	18	8_7	5	2	1339	1	2873	1933	4G0G	a_long.wav	104065	105404	107702
1	19	1_3	1	2	1845	0	2192	1869	0L6L	u_long.wav	109736	111581	113373
1	20	5_6	4	1	1438	0	2274	2304	4B6B	k_asp_cut.wav	115424	116862	119061
1	21	8_2	5	1	1583	0	2097	2509	4G4L	a_long.wav	121111	122694	124749
1	22	1_6	1	1	1576	1	3929	1968	0L6B	u_long.wav	126799	128375	130420
1	23	3_4	2	1	1570	0	2874	1510	6L0B	norm_n.wav	132470	134040	136091
1	24	5_9	4	2	1484	1	2398	1211	4B6G	k_asp_cut.wav	138141	139625	141796
1	25	4_1	3	2	1492	1	2548	2011	0B0L	norm_q.wav	143862	145354	147500
1	26	1_5	1	1	1581	1	3052	2260	0L4B	u_long.wav	149550	151131	153188
1	27	3_7	2	1	1462	0	2286	2175	6L0G	norm_n.wav	155238	156700	158859
1	28	8_3	5	0	0	2	3015	2563	4G6L	a_long.wav	160909	0	164530
1	29	5_9	4	2	1601	1	3282	2253	4B6G	k_asp_cut.wav	166580	168181	170218
1	30	3_7	2	1	1386	0	2301	1823	6L0G	norm_n.wav	172268	173654	175889
1	31	8_2	5	1	1628	0	3569	1642	4G4L	a_long.wav	177939	179567	181576
1	32	5_8	4	1	1973	0	3043	1346	4B4G	k_asp_cut.wav	183627	185600	187264
1	33	1_2	1	1	1999	1	2443	2704	0L4L	u_long.wav	189314	191313	192935
1	34	8_5	5	1	1816	0	3440	1421	4G4B	a_long.wav	195002	196818	198623
1	35	5_4	4	1	1537	0	3082	1861	4B0B	k_asp_cut.wav	200673	202210	204311
1	36	4_1	3	2	1995	1	2516	1124	0B0L	norm_q.wav	206361	208356	209982
1	37	5_8	4	1	1325	0	3050	2016	4B4G	k_asp_cut.wav	212015	213340	215653
1	38	4_1	3	0	0	2	2720	1333	0B0L	norm_q.wav	217686	0	221307
1	39	3_7	2	2	1664	1	3057	1426	6L0G	norm_n.wav	223377	225041	227012
1	40	5_3	4	2	1929	1	3374	1626	4B6L	k_asp_cut.wav	229062	230991	232699
