block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	3	1	1146	0	2874	1989	0B4L	u_long.wav	11350	12496	15448
1	2	3_8	2	2	1460	1	3282	1857	6L4G	k_asp_cut.wav	20778	22238	24690
1	3	4_1	3	2	991	1	2608	1600	0B0L	u_long.wav	29361	30352	33023
1	4	5_6	4	2	1637	0	2990	1850	4B6B	norm_q.wav	38083	39720	41963
1	5	1_5	1	1	1238	1	2301	1861	0L4B	a_long.wav	46335	47573	50231
1	6	4_9	3	2	1248	1	2274	2509	0B6G	u_long.wav	54581	55829	59202
1	7	8_7	5	2	1629	1	3788	2563	4G0G	norm_n.wav	65051	66680	69697
1	8	3_4	2	1	1385	1	2873	1333	6L0B	k_asp_cut.wav	74645	76030	78025
1	9	1_9	1	1	1269	1	1752	1346	0L6G	a_long.wav	81847	83116	85277
1	10	3_1	2	1	1493	1	3569	1869	6L0L	k_asp_cut.wav	90903	92396	94840
1	11	8_4	5	2	1757	1	2872	1421	4G0B	norm_n.wav	99763	101520	103249
