block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	3	2	1065	1	3440	2168	0B_4L	u_long.wav	67561	68626	71787
1	2	3_8	2	0	0	2	3788	1823	6L_4G	k_asp_cut.wav	77678	0	81550
1	3	4_1	3	2	712	1	3043	2704	0B_0L	u_long.wav	86691	87403	91438
1	4	5_6	4	0	0	2	4089	1421	4B_6B	norm_q.wav	97628	0	101080
1	5	1_5	1	1	790	1	3282	998	0L_4B	a_long.wav	106461	107251	109498
1	6	4_9	3	2	822	1	3164	2016	0B_6G	u_long.wav	114733	115555	118805
1	7	8_7	5	2	1202	1	3057	1989	4G_0G	norm_n.wav	123917	125119	127952
1	8	3_4	2	1	1281	1	3929	2011	6L_0B	k_asp_cut.wav	133979	135260	138049
1	9	1_9	1	2	1023	1	2760	1510	0L_6G	a_long.wav	142885	143908	146471
1	10	3_1	2	2	1081	1	2608	2509	6L_0L	k_asp_cut.wav	151139	152220	155693
1	11	8_4	5	2	822	1	2316	2304	4G_0B	norm_n.wav	160054	160876	164412
1	12	1_6	1	1	861	1	2873	1124	0L_6B	a_long.wav	169335	170196	172556
1	13	4_5	3	2	841	0	1752	2253	0B_4B	u_long.wav	176353	177194	180707
1	14	3_8	2	1	1315	1	2192	1861	6L_4G	k_asp_cut.wav	184966	186281	188888
1	15	4_3	3	2	1067	1	3052	1626	0B_6L	u_long.wav	194033	195100	197710
1	16	8_2	5	1	1006	1	2274	2563	4G_4L	norm_n.wav	202045	203051	206653
1	17	1_4	1	1	825	1	3332	1733	0L_0B	a_long.wav	212027	212852	215794
1	18	8_7	5	1	1071	0	2548	1211	4G_0G	norm_n.wav	220366	221437	223599
1	19	1_3	1	1	1002	1	2698	1600	0L_6L	a_long.wav	228344	229346	232010
1	20	5_6	4	2	1209	1	3374	1346	4B_6B	norm_q.wav	237438	238647	240831
1	21	8_2	5	1	793	1	3050	2140	4G_4L	norm_n.wav	245921	246714	250115
1	22	1_6	1	2	629	1	3271	2358	0L_6B	a_long.wav	255466	256095	259873
1	23	3_4	2	1	754	1	2097	2482	6L_0B	k_asp_cut.wav	264016	264770	268554
1	24	5_9	4	1	1070	1	3569	1584	4B_6G	norm_q.wav	274178	275248	277814
1	25	4_1	3	2	1016	1	3221	2675	0B_0L	u_long.wav	283204	284220	287928
1	26	1_5	1	2	975	1	2872	1426	0L_4B	a_long.wav	292863	293838	296337
1	27	3_7	2	2	1032	0	2301	1869	6L_0G	k_asp_cut.wav	300715	301747	304636
1	28	8_3	5	2	890	1	2863	1933	4G_6L	norm_n.wav	309550	310440	313557
1	29	5_9	4	1	1219	1	3162	1850	4B_6G	norm_q.wav	318773	319992	322681
1	30	3_7	2	1	887	1	3015	1982	6L_0G	k_asp_cut.wav	327750	328637	331787
1	31	8_2	5	2	810	1	2286	1333	4G_4L	norm_n.wav	336161	336971	339544
1	32	5_8	4	2	1500	0	2990	1857	4B_4G	norm_q.wav	344588	346088	348491
1	33	1_2	1	2	973	0	3082	1588	0L_4L	a_long.wav	353620	354593	357279
1	34	8_5	5	0	0	2	2720	2258	4G_4B	norm_n.wav	362048	0	366339
1	35	5_4	4	1	1305	1	1892	2260	4B_0B	norm_q.wav	370277	371582	374581
1	36	4_1	3	1	877	1	2398	2549	0B_0L	u_long.wav	379040	379917	383644
1	37	5_8	4	2	1003	1	2874	2175	4B_4G	norm_q.wav	388573	389576	392794
1	38	4_1	3	1	768	1	2443	2350	0B_0L	u_long.wav	397299	398067	401709
1	39	3_7	2	2	1172	1	2516	1968	6L_0G	k_asp_cut.wav	406279	407451	410300
1	40	5_3	4	1	831	1	2685	1642	4B_6L	norm_q.wav	415054	415885	418748
