block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	5_9	4	0	0	2	3332	2168	4B_6G	norm_q.wav	9945	0	14159
1	2	8_1	5	0	0	2	3271	1989	4G_0L	norm_n.wav	19516	0	23538
1	3	5_2	4	0	0	2	3929	2482	4B_4L	norm_q.wav	29531	0	34072
1	4	1_6	1	0	0	2	3015	2563	0L_6B	a_long.wav	39276	0	43927
1	5	3_9	2	0	0	2	2873	1982	6L_6G	k_asp_cut.wav	48858	0	52987
1	6	1_4	1	0	0	2	2608	2016	0L_0B	a_long.wav	57650	0	61711
1	7	4_3	3	0	0	2	2516	2675	0B_6L	u_long.wav	66281	0	71010
1	8	9_2	6	0	0	2	1752	2258	6G_4L	norm_au.wav	74825	0	79133
1	9	5_8	4	0	0	2	3082	1346	4B_4G	norm_q.wav	84261	0	87662
1	10	8_9	5	0	0	2	2316	998	4G_6G	norm_n.wav	92014	0	95070
1	11	3_1	2	0	0	2	3043	1600	6L_0L	k_asp_cut.wav	100151	0	103811
1	12	8_2	5	1	491	1	2990	1510	4G_4L	norm_n.wav	108888	109379	112461
1	13	4_7	3	2	1742	1	2760	2011	0B_0G	u_long.wav	117281	119023	121369
1	14	1_3	1	1	1164	1	2192	1989	0L_6L	a_long.wav	125620	126784	129670
1	15	3_2	2	1	1128	1	2874	1857	6L_4L	k_asp_cut.wav	134592	135720	138495
1	16	9_4	6	1	1273	0	2685	1823	6G_0B	norm_au.wav	143243	144516	147118
1	17	5_1	4	2	1638	0	3050	2253	4B_0L	norm_q.wav	152365	154003	156671
1	18	3_8	2	1	1173	1	2516	2304	6L_4G	k_asp_cut.wav	161272	162445	165613
1	19	5_3	4	2	1219	1	3271	1124	4B_6L	norm_q.wav	170967	172186	174140
1	20	9_5	6	1	1822	1	3164	1933	6G_4B	norm_au.wav	179367	181189	183456
1	21	4_9	3	0	0	2	3057	1333	0B_6G	u_long.wav	188583	0	191963
1	22	3_6	2	2	983	1	2286	2258	6L_6B	k_asp_cut.wav	196302	197285	200611
1	23	9_4	6	1	1790	0	1892	2509	6G_0B	norm_au.wav	204598	206388	209151
1	24	4_5	3	1	1345	1	2097	2168	0B_4B	u_long.wav	213377	214722	217617
1	25	8_3	5	1	1533	1	2192	1626	4G_6L	norm_n.wav	221945	223478	225632
1	26	1_5	1	1	1110	1	2548	1426	0L_4B	a_long.wav	230224	231334	233772
1	27	8_4	5	2	1220	1	2301	1626	4G_0B	norm_n.wav	238150	239370	241828
1	28	4_8	3	2	1127	1	2863	1968	0B_4G	u_long.wav	246751	247878	250793
1	29	8_7	5	1	1719	0	3374	1588	4G_0G	norm_n.wav	256219	257938	260054
1	30	1_9	1	2	1553	1	2274	2175	0L_6G	a_long.wav	264443	265996	268647
1	31	9_4	6	2	1570	1	3569	2704	6G_0B	norm_au.wav	274278	275848	279034
1	32	5_7	4	1	1368	0	3282	2350	4B_0G	norm_q.wav	284366	285734	288771
1	33	1_6	1	1	1429	1	2874	2140	0L_6B	a_long.wav	293699	295128	297868
1	34	9_3	6	1	1680	1	2398	2549	6G_6L	norm_au.wav	302313	303993	306917
1	35	5_8	4	2	1923	1	2720	1584	4B_4G	norm_q.wav	311692	313615	315326
1	36	4_5	3	2	959	1	2872	1850	0B_4B	u_long.wav	320251	321210	324149
1	37	3_1	2	1	952	0	3052	1861	6L_0L	k_asp_cut.wav	329288	330240	333217
1	38	4_7	3	2	1163	0	3221	2358	0B_0G	u_long.wav	338497	339660	342904
1	39	1_4	1	2	1276	1	4089	2304	0L_0B	a_long.wav	349106	350382	353458
1	40	8_1	5	1	1364	1	2274	2509	4G_0L	norm_n.wav	357782	359146	362337
1	41	3_6	2	0	0	2	3440	1869	6L_6B	k_asp_cut.wav	375895	0	379811
1	42	5_7	4	1	1460	0	2443	2260	4B_0G	norm_q.wav	384305	385765	388608
1	43	3_8	2	1	1051	1	3788	1211	6L_4G	k_asp_cut.wav	394457	395508	397717
1	44	9_7	6	1	1458	1	1892	1642	6G_0G	norm_au.wav	401668	403126	405354
1	45	4_5	3	1	1122	1	3050	1733	0B_4B	u_long.wav	410448	411570	414268
1	46	9_1	6	0	0	2	2698	1600	6G_0L	norm_au.wav	419154	0	422792
1	47	1_6	1	1	1685	1	2443	1982	0L_6B	a_long.wav	427305	428990	431347
1	48	8_2	5	2	1244	1	3162	1421	4G_4L	norm_n.wav	436614	437858	440093
