block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	3	0	0	2	2873	1968	0B4L	u_long.wav	8028	0	12108
1	2	3_8	2	1	711	0	3569	1588	6L4G	k_asp_cut.wav	14162	14873	18163
1	3	4_1	3	0	0	2	2720	2016	0B0L	u_long.wav	20233	0	24234
1	4	5_6	4	0	0	2	2685	1642	4B6B	norm_q.wav	26304	0	30305
1	5	1_5	1	0	0	2	1752	2704	0L4B	norm_n.wav	32359	0	36377
1	6	4_9	3	0	0	2	3082	1426	0B6G	u_long.wav	38431	0	42448
1	7	8_7	5	0	0	2	2316	1211	4G0G	a_long.wav	44519	0	48553
1	8	3_4	2	0	0	2	2443	1124	6L0B	k_asp_cut.wav	50607	0	54608
1	9	1_9	1	0	0	2	2863	2358	0L6G	norm_n.wav	56661	0	60679
1	10	3_1	2	0	0	2	2760	1510	6L0L	k_asp_cut.wav	62733	0	66750
1	11	8_4	5	0	0	2	3050	2350	4G0B	a_long.wav	68821	0	72838
1	12	1_6	1	0	0	2	2192	2482	0L6B	norm_n.wav	74909	0	78926
1	13	4_5	3	0	0	2	3052	1823	0B4B	u_long.wav	80980	0	84998
