block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	2	4	0	C	0	0	0	0	Ⴞ	cut_g_stereo_44KHz.wav
0	2	2	3	1	C	0	0	0	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	3	1	1	1	C	0	0	0	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	4	1	2	0	C	0	0	0	0	Ⴋ	cut_oo_stereo_44KHz.wav
0	5	1	1	1	C	2	1	269	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	6	2	3	1	C	2	1	928	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	7	1	2	0	C	2	0	978	0	Ⴋ	cut_oo_stereo_44KHz.wav
0	8	2	4	0	C	1	1	954	1	Ⴞ	cut_g_stereo_44KHz.wav
0	9	2	3	1	C	0	0	0	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	10	1	2	0	C	1	1	323	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	11	1	1	1	C	2	1	409	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	12	2	4	0	C	1	1	719	1	Ⴞ	cut_g_stereo_44KHz.wav
0	13	2	3	1	C	1	0	805	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	14	1	2	0	C	2	0	355	0	Ⴋ	cut_oo_stereo_44KHz.wav
0	15	2	4	0	C	1	1	752	1	Ⴞ	cut_g_stereo_44KHz.wav
0	16	1	1	1	C	2	1	513	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	17	2	3	1	C	2	1	589	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	18	2	4	0	C	1	1	336	1	Ⴞ	cut_g_stereo_44KHz.wav
0	19	1	1	1	C	2	1	477	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	20	1	2	0	C	1	1	631	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	21	2	3	1	C	2	1	472	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	22	2	4	0	C	2	0	973	0	Ⴞ	cut_g_stereo_44KHz.wav
0	23	1	1	1	C	1	0	325	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	24	1	2	0	C	2	0	480	0	Ⴋ	cut_oo_stereo_44KHz.wav
0	25	2	3	1	C	1	0	350	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	26	1	1	1	C	2	1	211	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	27	1	2	0	C	2	0	778	0	Ⴋ	cut_oo_stereo_44KHz.wav
0	28	2	4	0	C	1	1	388	1	Ⴞ	cut_g_stereo_44KHz.wav
0	29	2	4	0	C	2	0	468	0	Ⴞ	cut_g_stereo_44KHz.wav
0	30	2	3	1	C	1	0	417	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
avg_resp = 531
1	1	4	4	2	I	0	0	0	0	Ⴇ	cut_k_stereo_44KHz.wav
1	2	3	3	2	I	2	0	517	0	Ⴁ	cut_o_stereo_44KHz.wav
1	3	2	2	1	C	1	0	453	0	Ⴂ	cut_a_stereo_44KHz.wav
1	4	1	1	1	C	2	1	636	1	Ⴟ	cut_u_stereo_44KHz.wav
1	5	3	4	2	I	2	0	285	1	Ⴁ	cut_k_stereo_44KHz.wav
1	6	4	3	2	I	2	0	438	1	Ⴇ	cut_o_stereo_44KHz.wav
