block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	1	2	0	C	0	0	0	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	2	2	4	0	C	1	1	1207	1	Ⴞ	cut_g_stereo_44KHz.wav
0	3	1	1	1	C	0	0	0	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	4	2	3	1	C	1	0	902	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	5	2	4	0	C	1	1	723	1	Ⴞ	cut_g_stereo_44KHz.wav
0	6	1	1	1	C	2	1	755	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	7	2	3	1	C	2	1	1090	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	8	1	2	0	C	2	0	756	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	9	2	4	0	C	1	1	1006	1	Ⴞ	cut_g_stereo_44KHz.wav
0	10	2	3	1	C	2	1	792	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	11	1	1	1	C	1	0	614	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	12	1	2	0	C	2	0	806	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	13	1	2	0	C	1	1	1057	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	14	2	4	0	C	1	1	692	1	Ⴞ	cut_g_stereo_44KHz.wav
0	15	1	1	1	C	2	1	978	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	16	2	3	1	C	2	1	927	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	17	2	3	1	C	2	1	893	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	18	2	4	0	C	1	1	655	1	Ⴞ	cut_g_stereo_44KHz.wav
0	19	1	1	1	C	2	1	816	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	20	1	2	0	C	1	1	965	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	21	2	4	0	C	1	1	748	1	Ⴞ	cut_g_stereo_44KHz.wav
0	22	2	3	1	C	2	1	813	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	23	1	2	0	C	1	1	929	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	24	1	1	1	C	2	1	780	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	25	1	2	0	C	2	0	1239	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	26	1	1	1	C	2	1	741	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	27	2	4	0	C	1	1	857	1	Ⴞ	cut_g_stereo_44KHz.wav
0	28	2	3	1	C	2	1	752	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	29	2	4	0	C	1	1	805	1	Ⴞ	cut_g_stereo_44KHz.wav
0	30	1	2	0	C	1	1	791	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
avg_resp = 860
1	1	2	1	0	C	2	0	1090	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	2	4	4	2	I	1	0	1108	0	Ⴃ	cut_ei_stereo_44KHz.wav
1	3	3	4	2	I	1	0	881	1	Ⴟ	cut_ei_stereo_44KHz.wav
1	4	1	1	1	C	2	1	990	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	5	2	2	1	C	2	1	1426	1	Ⴡ	cut_r_stereo_44KHz.wav
1	6	1	2	0	C	1	1	810	1	Ⴂ	cut_r_stereo_44KHz.wav
