block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file

LR

0	1	1	2	0	C	0	0	0	0	Ⴢ	cut_eeuw.wav
0	2	2	3	1	C	1	0	1403	0	Ⴋ	cut_oo.wav
0	3	1	1	1	C	0	0	0	0	Ⴢ	cut_g.wav
0	4	2	4	0	C	1	1	1635	1	Ⴋ	cut_ee.wav
0	5	1	2	0	C	0	0	0	0	Ⴢ	cut_eeuw.wav
0	6	1	1	1	C	0	0	0	0	Ⴢ	cut_g.wav
0	7	2	4	0	C	0	0	0	0	Ⴋ	cut_ee.wav
0	8	2	3	1	C	0	0	0	0	Ⴋ	cut_oo.wav
0	9	2	4	0	C	0	0	0	0	Ⴋ	cut_ee.wav
0	10	1	1	1	C	2	1	1774	1	Ⴢ	cut_g.wav
0	11	1	2	0	C	2	0	768	0	Ⴢ	cut_eeuw.wav
0	12	2	3	1	C	1	0	860	0	Ⴋ	cut_oo.wav
0	13	2	3	1	C	2	1	903	1	Ⴋ	cut_oo.wav
0	14	1	2	0	C	2	0	1233	0	Ⴢ	cut_eeuw.wav
0	15	1	1	1	C	1	0	751	0	Ⴢ	cut_g.wav
0	16	2	4	0	C	2	0	692	0	Ⴋ	cut_ee.wav
0	17	1	2	0	C	2	0	1019	0	Ⴢ	cut_eeuw.wav
0	18	1	1	1	C	1	0	1315	0	Ⴢ	cut_g.wav
0	19	2	3	1	C	2	1	834	1	Ⴋ	cut_oo.wav
0	20	2	4	0	C	1	1	810	1	Ⴋ	cut_ee.wav
0	21	2	4	0	C	1	1	1015	1	Ⴋ	cut_ee.wav
0	22	1	1	1	C	1	0	1870	0	Ⴢ	cut_g.wav
0	23	2	3	1	C	1	0	1485	0	Ⴋ	cut_oo.wav
0	24	1	2	0	C	2	0	1536	0	Ⴢ	cut_eeuw.wav
0	25	2	3	1	C	1	0	779	0	Ⴋ	cut_oo.wav
0	26	1	2	0	C	0	0	0	0	Ⴢ	cut_eeuw.wav
0	27	2	4	0	C	1	1	1291	1	Ⴋ	cut_ee.wav
0	28	1	1	1	C	1	0	698	0	Ⴢ	cut_g.wav
0	29	2	4	0	C	1	1	789	1	Ⴋ	cut_ee.wav
0	30	2	3	1	C	2	1	1540	1	Ⴋ	cut_oo.wav
0	31	1	1	1	C	1	0	1391	0	Ⴢ	cut_g.wav
0	32	1	2	0	C	1	1	1524	1	Ⴢ	cut_eeuw.wav
0	33	1	2	0	C	2	0	753	0	Ⴢ	cut_eeuw.wav
0	34	1	1	1	C	0	0	0	0	Ⴢ	cut_g.wav
0	35	2	3	1	C	1	0	862	0	Ⴋ	cut_oo.wav
0	36	2	4	0	C	1	1	1821	1	Ⴋ	cut_ee.wav
0	37	2	4	0	C	1	1	1414	1	Ⴋ	cut_ee.wav
0	38	1	1	1	C	0	0	0	0	Ⴢ	cut_g.wav
0	39	1	2	0	C	2	0	1222	0	Ⴢ	cut_eeuw.wav
0	40	2	3	1	C	2	1	1946	1	Ⴋ	cut_oo.wav
0	41	1	1	1	C	2	1	1138	1	Ⴢ	cut_g.wav
0	42	2	4	0	C	1	1	1827	1	Ⴋ	cut_ee.wav
0	43	1	2	0	C	2	0	1370	0	Ⴢ	cut_eeuw.wav
0	44	2	3	1	C	2	1	937	1	Ⴋ	cut_oo.wav
0	45	1	1	1	C	1	0	1489	0	Ⴢ	cut_g.wav
0	46	2	3	1	C	1	0	762	0	Ⴋ	cut_oo.wav
0	47	2	4	0	C	2	0	1272	0	Ⴋ	cut_ee.wav
0	48	1	2	0	C	1	1	998	1	Ⴢ	cut_eeuw.wav
0	49	2	4	0	C	1	1	1201	1	Ⴋ	cut_ee.wav
0	50	2	3	1	C	1	0	1230	0	Ⴋ	cut_oo.wav
0	51	1	2	0	C	1	1	1794	1	Ⴢ	cut_eeuw.wav
0	52	1	1	1	C	1	0	813	0	Ⴢ	cut_g.wav
0	53	1	1	1	C	1	0	1011	0	Ⴢ	cut_g.wav
0	54	1	2	0	C	1	1	1393	1	Ⴢ	cut_eeuw.wav
0	55	2	3	1	C	0	0	0	0	Ⴋ	cut_oo.wav
0	56	2	4	0	C	1	1	735	1	Ⴋ	cut_ee.wav
0	57	1	1	1	C	2	1	1155	1	Ⴢ	cut_g.wav
0	58	2	4	0	C	1	1	989	1	Ⴋ	cut_ee.wav
0	59	2	3	1	C	1	0	1389	0	Ⴋ	cut_oo.wav
0	60	1	2	0	C	2	0	688	0	Ⴢ	cut_eeuw.wav
avg_resp = 1281
