block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file

RL

0	1	2	4	0	C	1	0	1431	0	Ⴞ	cut_ee.wav
0	2	1	1	1	C	2	0	980	0	Ⴋ	cut_eeuw.wav
0	3	2	3	1	C	2	0	1163	0	Ⴞ	cut_g.wav
0	4	1	2	0	C	1	0	980	0	Ⴋ	cut_oo.wav
0	5	1	1	1	C	1	1	978	1	Ⴋ	cut_eeuw.wav
0	6	1	2	0	C	2	1	626	1	Ⴋ	cut_oo.wav
0	7	2	3	1	C	1	1	651	1	Ⴞ	cut_g.wav
0	8	2	4	0	C	1	0	856	0	Ⴞ	cut_ee.wav
0	9	2	4	0	C	2	1	914	1	Ⴞ	cut_ee.wav
0	10	1	1	1	C	1	1	841	1	Ⴋ	cut_eeuw.wav
0	11	1	2	0	C	1	0	863	0	Ⴋ	cut_oo.wav
0	12	2	3	1	C	1	1	1017	1	Ⴞ	cut_g.wav
0	13	2	4	0	C	2	1	649	1	Ⴞ	cut_ee.wav
0	14	1	2	0	C	1	0	462	0	Ⴋ	cut_oo.wav
0	15	2	3	1	C	1	1	813	1	Ⴞ	cut_g.wav
0	16	1	1	1	C	2	0	1028	0	Ⴋ	cut_eeuw.wav
0	17	1	1	1	C	1	1	878	1	Ⴋ	cut_eeuw.wav
0	18	2	4	0	C	1	0	813	0	Ⴞ	cut_ee.wav
0	19	2	3	1	C	1	1	1110	1	Ⴞ	cut_g.wav
0	20	1	2	0	C	2	1	765	1	Ⴋ	cut_oo.wav
0	21	1	1	1	C	1	1	998	1	Ⴋ	cut_eeuw.wav
0	22	2	4	0	C	1	0	811	0	Ⴞ	cut_ee.wav
0	23	2	3	1	C	1	1	1086	1	Ⴞ	cut_g.wav
0	24	1	2	0	C	2	1	841	1	Ⴋ	cut_oo.wav
0	25	1	2	0	C	2	1	845	1	Ⴋ	cut_oo.wav
0	26	2	3	1	C	1	1	672	1	Ⴞ	cut_g.wav
0	27	1	1	1	C	1	1	923	1	Ⴋ	cut_eeuw.wav
0	28	2	4	0	C	1	0	882	0	Ⴞ	cut_ee.wav
0	29	2	4	0	C	2	1	954	1	Ⴞ	cut_ee.wav
0	30	2	3	1	C	1	1	955	1	Ⴞ	cut_g.wav
avg_resp = 869
1	1	3	4	2	I	1	0	947	1	Ⴟ	cut_o.wav
1	2	2	1	0	C	1	0	800	0	Ⴢ	cut_a.wav
1	3	1	1	1	C	2	0	912	0	Ⴂ	cut_a.wav
1	4	4	4	2	I	2	0	935	1	Ⴡ	cut_o.wav
1	5	3	3	2	I	1	0	776	1	Ⴟ	cut_k.wav
1	6	2	2	1	C	1	1	1124	1	Ⴢ	cut_u.wav
1	7	4	3	2	I	2	0	1025	1	Ⴡ	cut_k.wav
1	8	1	2	0	C	2	1	744	1	Ⴂ	cut_u.wav
1	9	3	4	2	I	2	0	765	0	Ⴟ	cut_o.wav
1	10	1	2	0	C	2	1	694	1	Ⴂ	cut_u.wav
1	11	4	3	2	I	2	0	796	0	Ⴡ	cut_k.wav
1	12	2	2	1	C	1	1	755	1	Ⴢ	cut_u.wav
1	13	4	4	2	I	2	0	798	0	Ⴡ	cut_o.wav
1	14	3	3	2	I	1	0	943	1	Ⴟ	cut_k.wav
1	15	1	1	1	C	1	1	957	1	Ⴂ	cut_a.wav
1	16	2	1	0	C	1	0	1128	0	Ⴢ	cut_a.wav
1	17	3	4	2	I	2	0	859	0	Ⴟ	cut_o.wav
1	18	4	3	2	I	2	0	881	0	Ⴡ	cut_k.wav
1	19	2	2	1	C	2	0	1129	0	Ⴢ	cut_u.wav
1	20	1	2	0	C	2	1	607	1	Ⴂ	cut_u.wav
1	21	4	4	2	I	1	0	1003	0	Ⴡ	cut_o.wav
1	22	2	1	0	C	1	0	1124	0	Ⴢ	cut_a.wav
1	23	3	3	2	I	2	0	941	1	Ⴟ	cut_k.wav
1	24	1	1	1	C	1	1	977	1	Ⴂ	cut_a.wav
1	25	4	4	2	I	1	0	845	1	Ⴡ	cut_o.wav
1	26	3	3	2	I	2	0	835	1	Ⴟ	cut_k.wav
1	27	1	2	0	C	2	1	666	1	Ⴂ	cut_u.wav
1	28	2	1	0	C	2	1	743	1	Ⴢ	cut_a.wav
1	29	3	4	2	I	2	0	784	0	Ⴟ	cut_o.wav
1	30	1	1	1	C	1	1	973	1	Ⴂ	cut_a.wav
1	31	2	2	1	C	2	0	1123	0	Ⴢ	cut_u.wav
1	32	4	3	2	I	1	0	778	0	Ⴡ	cut_k.wav
1	33	3	3	2	I	1	0	808	1	Ⴟ	cut_k.wav
1	34	2	1	0	C	1	0	1095	0	Ⴢ	cut_a.wav
1	35	4	4	2	I	2	0	1107	0	Ⴡ	cut_o.wav
1	36	1	2	0	C	2	1	1382	1	Ⴂ	cut_u.wav
1	37	2	2	1	C	1	1	573	1	Ⴢ	cut_u.wav
1	38	1	1	1	C	1	1	868	1	Ⴂ	cut_a.wav
1	39	4	3	2	I	1	0	990	0	Ⴡ	cut_k.wav
1	40	3	4	2	I	2	0	776	1	Ⴟ	cut_o.wav
1	41	2	1	0	C	1	0	1033	0	Ⴢ	cut_a.wav
1	42	1	2	0	C	1	0	1360	0	Ⴂ	cut_u.wav
1	43	3	3	2	I	2	0	1037	0	Ⴟ	cut_k.wav
1	44	4	4	2	I	1	0	1533	0	Ⴡ	cut_o.wav
1	45	3	4	2	I	1	0	761	1	Ⴟ	cut_o.wav
1	46	2	2	1	C	2	0	1166	0	Ⴢ	cut_u.wav
1	47	1	1	1	C	1	1	1054	1	Ⴂ	cut_a.wav
1	48	4	3	2	I	2	0	761	0	Ⴡ	cut_k.wav
1	49	1	1	1	C	1	1	989	1	Ⴂ	cut_a.wav
1	50	2	1	0	C	1	0	814	0	Ⴢ	cut_a.wav
1	51	3	4	2	I	2	0	1130	0	Ⴟ	cut_o.wav
1	52	4	4	2	I	2	0	710	1	Ⴡ	cut_o.wav
1	53	1	2	0	C	2	1	740	1	Ⴂ	cut_u.wav
1	54	4	3	2	I	2	0	1019	0	Ⴡ	cut_k.wav
1	55	2	2	1	C	1	1	1045	1	Ⴢ	cut_u.wav
1	56	3	3	2	I	2	0	833	0	Ⴟ	cut_k.wav
1	57	1	1	1	C	1	1	1100	1	Ⴂ	cut_a.wav
1	58	2	2	1	C	1	1	1005	1	Ⴢ	cut_u.wav
1	59	3	4	2	I	2	0	943	1	Ⴟ	cut_o.wav
1	60	4	3	2	I	2	0	696	1	Ⴡ	cut_k.wav
1	61	1	2	0	C	2	1	830	1	Ⴂ	cut_u.wav
1	62	3	3	2	I	1	0	603	1	Ⴟ	cut_k.wav
1	63	2	1	0	C	2	1	815	1	Ⴢ	cut_a.wav
1	64	4	4	2	I	2	0	801	1	Ⴡ	cut_o.wav
1	65	1	2	0	C	2	1	962	1	Ⴂ	cut_u.wav
1	66	4	3	2	I	2	0	569	0	Ⴡ	cut_k.wav
1	67	3	4	2	I	1	0	1232	1	Ⴟ	cut_o.wav
1	68	2	2	1	C	2	0	952	0	Ⴢ	cut_u.wav
1	69	4	4	2	I	2	0	832	1	Ⴡ	cut_o.wav
1	70	3	3	2	I	2	0	728	0	Ⴟ	cut_k.wav
1	71	1	1	1	C	1	1	950	1	Ⴂ	cut_a.wav
1	72	2	1	0	C	1	0	1132	0	Ⴢ	cut_a.wav
1	73	3	4	2	I	1	0	901	1	Ⴟ	cut_o.wav
1	74	1	2	0	C	2	1	884	1	Ⴂ	cut_u.wav
1	75	4	4	2	I	2	0	758	1	Ⴡ	cut_o.wav
1	76	2	1	0	C	2	1	966	1	Ⴢ	cut_a.wav
1	77	1	1	1	C	1	1	789	1	Ⴂ	cut_a.wav
1	78	4	3	2	I	2	0	549	0	Ⴡ	cut_k.wav
1	79	2	2	1	C	2	0	1317	0	Ⴢ	cut_u.wav
1	80	3	3	2	I	2	0	798	1	Ⴟ	cut_k.wav
1	81	1	2	0	C	2	1	1000	1	Ⴂ	cut_u.wav
1	82	4	4	2	I	2	0	937	0	Ⴡ	cut_o.wav
1	83	3	3	2	I	2	0	842	1	Ⴟ	cut_k.wav
1	84	2	2	1	C	2	0	940	0	Ⴢ	cut_u.wav
1	85	3	4	2	I	1	0	729	0	Ⴟ	cut_o.wav
1	86	2	1	0	C	2	1	943	1	Ⴢ	cut_a.wav
1	87	4	3	2	I	1	0	1190	1	Ⴡ	cut_k.wav
1	88	1	1	1	C	2	0	726	0	Ⴂ	cut_a.wav
1	89	2	2	1	C	1	1	1085	1	Ⴢ	cut_u.wav
1	90	4	3	2	I	2	0	1110	0	Ⴡ	cut_k.wav
1	91	3	4	2	I	2	0	1075	0	Ⴟ	cut_o.wav
1	92	1	2	0	C	2	1	993	1	Ⴂ	cut_u.wav
1	93	2	1	0	C	2	1	917	1	Ⴢ	cut_a.wav
1	94	3	3	2	I	2	0	481	1	Ⴟ	cut_k.wav
1	95	1	1	1	C	1	1	990	1	Ⴂ	cut_a.wav
1	96	4	4	2	I	2	0	633	1	Ⴡ	cut_o.wav
1	97	2	1	0	C	2	1	1043	1	Ⴢ	cut_a.wav
1	98	4	4	2	I	1	0	1065	0	Ⴡ	cut_o.wav
1	99	3	3	2	I	2	0	697	1	Ⴟ	cut_k.wav
1	100	1	1	1	C	2	0	670	0	Ⴂ	cut_a.wav
1	101	3	4	2	I	1	0	757	0	Ⴟ	cut_o.wav
1	102	2	2	1	C	1	1	981	1	Ⴢ	cut_u.wav
1	103	4	3	2	I	1	0	1167	1	Ⴡ	cut_k.wav
1	104	1	2	0	C	2	1	1032	1	Ⴂ	cut_u.wav
1	105	4	3	2	I	1	0	1051	0	Ⴡ	cut_k.wav
1	106	3	4	2	I	1	0	1175	1	Ⴟ	cut_o.wav
1	107	2	2	1	C	2	0	655	0	Ⴢ	cut_u.wav
1	108	1	1	1	C	1	1	858	1	Ⴂ	cut_a.wav
1	109	3	3	2	I	1	0	666	0	Ⴟ	cut_k.wav
1	110	1	2	0	C	1	0	1367	0	Ⴂ	cut_u.wav
1	111	2	1	0	C	2	1	1286	1	Ⴢ	cut_a.wav
1	112	4	4	2	I	2	0	797	1	Ⴡ	cut_o.wav
1	113	2	2	1	C	2	0	947	0	Ⴢ	cut_u.wav
1	114	4	4	2	I	1	0	880	1	Ⴡ	cut_o.wav
1	115	3	4	2	I	2	0	1028	1	Ⴟ	cut_o.wav
1	116	1	1	1	C	1	1	1282	1	Ⴂ	cut_a.wav
1	117	2	1	0	C	2	1	421	1	Ⴢ	cut_a.wav
1	118	3	3	2	I	2	0	507	0	Ⴟ	cut_k.wav
1	119	1	2	0	C	1	0	1093	0	Ⴂ	cut_u.wav
1	120	4	3	2	I	2	0	983	1	Ⴡ	cut_k.wav
1	121	1	2	0	C	2	1	885	1	Ⴂ	cut_u.wav
1	122	2	1	0	C	2	1	1079	1	Ⴢ	cut_a.wav
1	123	3	4	2	I	2	0	810	0	Ⴟ	cut_o.wav
1	124	4	4	2	I	2	0	865	1	Ⴡ	cut_o.wav
1	125	2	2	1	C	1	1	928	1	Ⴢ	cut_u.wav
1	126	3	3	2	I	2	0	1000	1	Ⴟ	cut_k.wav
1	127	4	3	2	I	1	0	755	1	Ⴡ	cut_k.wav
1	128	1	1	1	C	1	1	981	1	Ⴂ	cut_a.wav
1	129	4	4	2	I	2	0	653	1	Ⴡ	cut_o.wav
1	130	1	1	1	C	1	1	707	1	Ⴂ	cut_a.wav
1	131	3	3	2	I	2	0	866	1	Ⴟ	cut_k.wav
1	132	2	1	0	C	2	1	702	1	Ⴢ	cut_a.wav
1	133	1	2	0	C	2	1	965	1	Ⴂ	cut_u.wav
1	134	4	3	2	I	2	0	769	1	Ⴡ	cut_k.wav
1	135	2	2	1	C	2	0	863	0	Ⴢ	cut_u.wav
1	136	3	4	2	I	2	0	1098	0	Ⴟ	cut_o.wav
1	137	4	3	2	I	2	0	1407	1	Ⴡ	cut_k.wav
1	138	1	2	0	C	2	1	923	1	Ⴂ	cut_u.wav
1	139	3	4	2	I	2	0	845	0	Ⴟ	cut_o.wav
1	140	2	1	0	C	2	1	875	1	Ⴢ	cut_a.wav
1	141	3	3	2	I	2	0	860	0	Ⴟ	cut_k.wav
1	142	2	2	1	C	2	0	921	0	Ⴢ	cut_u.wav
1	143	1	1	1	C	1	1	1143	1	Ⴂ	cut_a.wav
1	144	4	4	2	I	2	0	872	0	Ⴡ	cut_o.wav
1	145	2	1	0	C	2	1	771	1	Ⴢ	cut_a.wav
1	146	1	2	0	C	2	1	889	1	Ⴂ	cut_u.wav
1	147	3	3	2	I	2	0	666	0	Ⴟ	cut_k.wav
1	148	4	4	2	I	1	0	698	0	Ⴡ	cut_o.wav
1	149	1	1	1	C	1	1	693	1	Ⴂ	cut_a.wav
1	150	3	4	2	I	2	0	1026	1	Ⴟ	cut_o.wav
1	151	4	3	2	I	2	0	1088	0	Ⴡ	cut_k.wav
1	152	2	2	1	C	2	0	1149	0	Ⴢ	cut_u.wav
1	153	4	4	2	I	1	0	968	1	Ⴡ	cut_o.wav
1	154	1	1	1	C	2	0	1250	0	Ⴂ	cut_a.wav
1	155	3	4	2	I	2	0	1168	0	Ⴟ	cut_o.wav
1	156	2	1	0	C	1	0	889	0	Ⴢ	cut_a.wav
1	157	3	3	2	I	2	0	903	0	Ⴟ	cut_k.wav
1	158	1	2	0	C	2	1	1365	1	Ⴂ	cut_u.wav
1	159	4	3	2	I	2	0	784	0	Ⴡ	cut_k.wav
1	160	2	2	1	C	1	1	1273	1	Ⴢ	cut_u.wav
1	161	1	1	1	C	1	1	1096	1	Ⴂ	cut_a.wav
1	162	4	4	2	I	2	0	780	1	Ⴡ	cut_o.wav
1	163	3	3	2	I	2	0	497	0	Ⴟ	cut_k.wav
1	164	2	2	1	C	1	1	981	1	Ⴢ	cut_u.wav
1	165	4	3	2	I	1	0	1419	1	Ⴡ	cut_k.wav
1	166	3	4	2	I	2	0	1013	1	Ⴟ	cut_o.wav
1	167	1	2	0	C	2	1	995	1	Ⴂ	cut_u.wav
1	168	2	1	0	C	2	1	798	1	Ⴢ	cut_a.wav
1	169	4	4	2	I	2	0	395	1	Ⴡ	cut_o.wav
1	170	2	1	0	C	2	1	771	1	Ⴢ	cut_a.wav
1	171	1	1	1	C	1	1	810	1	Ⴂ	cut_a.wav
1	172	3	3	2	I	2	0	1037	0	Ⴟ	cut_k.wav
1	173	1	2	0	C	2	1	1106	1	Ⴂ	cut_u.wav
1	174	2	2	1	C	2	0	1316	0	Ⴢ	cut_u.wav
1	175	3	4	2	I	1	0	941	0	Ⴟ	cut_o.wav
1	176	4	3	2	I	2	0	1206	0	Ⴡ	cut_k.wav
1	177	1	2	0	C	1	0	1709	0	Ⴂ	cut_u.wav
1	178	2	2	1	C	1	1	1210	1	Ⴢ	cut_u.wav
1	179	3	4	2	I	2	0	1549	1	Ⴟ	cut_o.wav
1	180	4	3	2	I	2	0	862	0	Ⴡ	cut_k.wav
1	181	1	1	1	C	1	1	1058	1	Ⴂ	cut_a.wav
1	182	3	3	2	I	1	0	1115	0	Ⴟ	cut_k.wav
1	183	4	4	2	I	2	0	1177	0	Ⴡ	cut_o.wav
1	184	2	1	0	C	2	1	826	1	Ⴢ	cut_a.wav
1	185	3	4	2	I	1	0	1100	1	Ⴟ	cut_o.wav
1	186	4	3	2	I	1	0	1094	1	Ⴡ	cut_k.wav
1	187	2	2	1	C	1	1	1107	1	Ⴢ	cut_u.wav
1	188	1	2	0	C	2	1	711	1	Ⴂ	cut_u.wav
1	189	4	4	2	I	2	0	894	0	Ⴡ	cut_o.wav
1	190	2	1	0	C	2	1	1005	1	Ⴢ	cut_a.wav
1	191	3	3	2	I	1	0	783	0	Ⴟ	cut_k.wav
1	192	1	1	1	C	1	1	1186	1	Ⴂ	cut_a.wav
1	193	2	2	1	C	1	1	1020	1	Ⴢ	cut_u.wav
1	194	4	4	2	I	2	0	877	1	Ⴡ	cut_o.wav
1	195	1	1	1	C	1	1	1154	1	Ⴂ	cut_a.wav
1	196	3	4	2	I	2	0	804	1	Ⴟ	cut_o.wav
1	197	4	3	2	I	2	0	1029	0	Ⴡ	cut_k.wav
1	198	3	3	2	I	2	0	562	0	Ⴟ	cut_k.wav
1	199	1	2	0	C	1	0	1157	0	Ⴂ	cut_u.wav
1	200	2	1	0	C	1	0	1014	0	Ⴢ	cut_a.wav
2	1	4	3	2	I	2	0	1938	1	Ⴏ	cut_ei.wav
2	2	2	2	1	C	1	1	1153	1	Ⴐ	cut_f.wav
2	3	3	4	2	I	1	0	1556	1	Ⴉ	cut_r.wav
2	4	1	1	1	C	1	1	1105	1	Ⴔ	cut_ui.wav
2	5	3	3	2	I	2	0	1037	0	Ⴉ	cut_ei.wav
2	6	2	1	0	C	2	1	1341	1	Ⴐ	cut_ui.wav
2	7	1	2	0	C	2	1	1369	1	Ⴔ	cut_f.wav
2	8	4	4	2	I	2	0	988	1	Ⴏ	cut_r.wav
2	9	1	1	1	C	1	1	1149	1	Ⴔ	cut_ui.wav
2	10	4	3	2	I	2	0	921	0	Ⴏ	cut_ei.wav
2	11	2	2	1	C	2	0	1183	0	Ⴐ	cut_f.wav
2	12	3	3	2	I	1	0	1058	1	Ⴉ	cut_ei.wav
2	13	1	2	0	C	2	1	1223	1	Ⴔ	cut_f.wav
2	14	3	4	2	I	1	0	1207	0	Ⴉ	cut_r.wav
2	15	2	1	0	C	1	0	981	0	Ⴐ	cut_ui.wav
2	16	4	4	2	I	2	0	1412	1	Ⴏ	cut_r.wav
2	17	1	1	1	C	1	1	791	1	Ⴔ	cut_ui.wav
2	18	4	3	2	I	1	0	1063	0	Ⴏ	cut_ei.wav
2	19	3	3	2	I	1	0	792	0	Ⴉ	cut_ei.wav
2	20	2	1	0	C	1	0	1199	0	Ⴐ	cut_ui.wav
2	21	3	4	2	I	1	0	1578	1	Ⴉ	cut_r.wav
2	22	1	2	0	C	2	1	1088	1	Ⴔ	cut_f.wav
2	23	2	2	1	C	1	1	745	1	Ⴐ	cut_f.wav
2	24	4	4	2	I	2	0	929	0	Ⴏ	cut_r.wav
2	25	2	1	0	C	2	1	1253	1	Ⴐ	cut_ui.wav
2	26	4	4	2	I	1	0	1296	1	Ⴏ	cut_r.wav
2	27	1	2	0	C	2	1	787	1	Ⴔ	cut_f.wav
2	28	3	4	2	I	1	0	1240	0	Ⴉ	cut_r.wav
2	29	4	3	2	I	2	0	913	1	Ⴏ	cut_ei.wav
2	30	3	3	2	I	1	0	820	1	Ⴉ	cut_ei.wav
2	31	1	1	1	C	1	1	943	1	Ⴔ	cut_ui.wav
2	32	2	2	1	C	1	1	1378	1	Ⴐ	cut_f.wav
2	33	4	4	2	I	2	0	983	1	Ⴏ	cut_r.wav
2	34	2	2	1	C	1	1	1432	1	Ⴐ	cut_f.wav
2	35	3	4	2	I	2	0	1362	1	Ⴉ	cut_r.wav
2	36	1	1	1	C	1	1	1035	1	Ⴔ	cut_ui.wav
2	37	2	1	0	C	2	1	933	1	Ⴐ	cut_ui.wav
2	38	3	3	2	I	1	0	1270	1	Ⴉ	cut_ei.wav
2	39	4	3	2	I	2	0	951	1	Ⴏ	cut_ei.wav
2	40	1	2	0	C	2	1	1065	1	Ⴔ	cut_f.wav
2	41	2	2	1	C	1	1	897	1	Ⴐ	cut_f.wav
2	42	3	4	2	I	2	0	685	1	Ⴉ	cut_r.wav
2	43	1	1	1	C	1	1	1196	1	Ⴔ	cut_ui.wav
2	44	4	3	2	I	2	0	732	0	Ⴏ	cut_ei.wav
2	45	1	2	0	C	2	1	837	1	Ⴔ	cut_f.wav
2	46	4	4	2	I	1	0	1419	1	Ⴏ	cut_r.wav
2	47	3	3	2	I	1	0	862	1	Ⴉ	cut_ei.wav
2	48	2	1	0	C	2	1	1129	1	Ⴐ	cut_ui.wav
2	49	3	4	2	I	2	0	1048	1	Ⴉ	cut_r.wav
2	50	2	2	1	C	1	1	910	1	Ⴐ	cut_f.wav
2	51	1	2	0	C	2	1	1102	1	Ⴔ	cut_f.wav
2	52	4	3	2	I	2	0	886	0	Ⴏ	cut_ei.wav
2	53	2	1	0	C	2	1	881	1	Ⴐ	cut_ui.wav
2	54	3	3	2	I	1	0	691	0	Ⴉ	cut_ei.wav
2	55	1	1	1	C	1	1	1716	1	Ⴔ	cut_ui.wav
2	56	4	4	2	I	2	0	1243	0	Ⴏ	cut_r.wav
2	57	3	4	2	I	2	0	798	1	Ⴉ	cut_r.wav
2	58	1	1	1	C	1	1	1075	1	Ⴔ	cut_ui.wav
2	59	4	4	2	I	2	0	1271	0	Ⴏ	cut_r.wav
2	60	2	2	1	C	1	1	830	1	Ⴐ	cut_f.wav
2	61	4	3	2	I	2	0	844	1	Ⴏ	cut_ei.wav
2	62	3	3	2	I	1	0	884	0	Ⴉ	cut_ei.wav
2	63	2	1	0	C	1	0	845	0	Ⴐ	cut_ui.wav
2	64	1	2	0	C	2	1	923	1	Ⴔ	cut_f.wav
2	65	2	2	1	C	1	1	758	1	Ⴐ	cut_f.wav
2	66	1	2	0	C	2	1	901	1	Ⴔ	cut_f.wav
2	67	4	3	2	I	2	0	824	1	Ⴏ	cut_ei.wav
2	68	3	4	2	I	2	0	518	0	Ⴉ	cut_r.wav
2	69	4	4	2	I	1	0	1034	0	Ⴏ	cut_r.wav
2	70	1	1	1	C	1	1	929	1	Ⴔ	cut_ui.wav
2	71	2	1	0	C	2	1	689	1	Ⴐ	cut_ui.wav
2	72	3	3	2	I	2	0	1048	0	Ⴉ	cut_ei.wav
2	73	1	1	1	C	1	1	1185	1	Ⴔ	cut_ui.wav
2	74	4	4	2	I	1	0	940	1	Ⴏ	cut_r.wav
2	75	3	3	2	I	1	0	1087	0	Ⴉ	cut_ei.wav
2	76	2	1	0	C	2	1	858	1	Ⴐ	cut_ui.wav
2	77	3	4	2	I	2	0	1213	1	Ⴉ	cut_r.wav
2	78	1	2	0	C	2	1	755	1	Ⴔ	cut_f.wav
2	79	4	3	2	I	2	0	832	0	Ⴏ	cut_ei.wav
2	80	2	2	1	C	1	1	998	1	Ⴐ	cut_f.wav
2	81	4	4	2	I	1	0	889	0	Ⴏ	cut_r.wav
2	82	2	1	0	C	2	1	789	1	Ⴐ	cut_ui.wav
2	83	3	3	2	I	2	0	935	1	Ⴉ	cut_ei.wav
2	84	1	2	0	C	2	1	1166	1	Ⴔ	cut_f.wav
2	85	2	2	1	C	1	1	783	1	Ⴐ	cut_f.wav
2	86	3	4	2	I	2	0	1239	0	Ⴉ	cut_r.wav
2	87	1	1	1	C	1	1	1171	1	Ⴔ	cut_ui.wav
2	88	4	3	2	I	2	0	856	1	Ⴏ	cut_ei.wav
2	89	2	1	0	C	2	1	956	1	Ⴐ	cut_ui.wav
2	90	3	3	2	I	1	0	1035	1	Ⴉ	cut_ei.wav
2	91	4	3	2	I	1	0	842	1	Ⴏ	cut_ei.wav
2	92	1	2	0	C	2	1	798	1	Ⴔ	cut_f.wav
2	93	2	2	1	C	1	1	698	1	Ⴐ	cut_f.wav
2	94	4	4	2	I	1	0	821	1	Ⴏ	cut_r.wav
2	95	1	1	1	C	1	1	982	1	Ⴔ	cut_ui.wav
2	96	3	4	2	I	2	0	683	0	Ⴉ	cut_r.wav
2	97	1	2	0	C	2	1	709	1	Ⴔ	cut_f.wav
2	98	4	3	2	I	2	0	750	1	Ⴏ	cut_ei.wav
2	99	2	1	0	C	2	1	757	1	Ⴐ	cut_ui.wav
2	100	3	4	2	I	2	0	811	0	Ⴉ	cut_r.wav
2	101	2	2	1	C	1	1	905	1	Ⴐ	cut_f.wav
2	102	1	1	1	C	1	1	765	1	Ⴔ	cut_ui.wav
2	103	3	3	2	I	2	0	872	0	Ⴉ	cut_ei.wav
2	104	4	4	2	I	1	0	1169	0	Ⴏ	cut_r.wav
2	105	3	4	2	I	2	0	876	1	Ⴉ	cut_r.wav
2	106	2	1	0	C	2	1	655	1	Ⴐ	cut_ui.wav
2	107	4	4	2	I	1	0	1008	0	Ⴏ	cut_r.wav
2	108	1	1	1	C	1	1	1299	1	Ⴔ	cut_ui.wav
2	109	3	3	2	I	2	0	1040	1	Ⴉ	cut_ei.wav
2	110	4	3	2	I	1	0	602	0	Ⴏ	cut_ei.wav
2	111	1	2	0	C	2	1	1130	1	Ⴔ	cut_f.wav
2	112	2	2	1	C	1	1	815	1	Ⴐ	cut_f.wav
2	113	4	3	2	I	2	0	782	0	Ⴏ	cut_ei.wav
2	114	1	2	0	C	2	1	1382	1	Ⴔ	cut_f.wav
2	115	2	1	0	C	1	0	1651	0	Ⴐ	cut_ui.wav
2	116	3	4	2	I	2	0	1099	1	Ⴉ	cut_r.wav
2	117	2	2	1	C	1	1	1246	1	Ⴐ	cut_f.wav
2	118	3	3	2	I	2	0	1201	0	Ⴉ	cut_ei.wav
2	119	1	1	1	C	1	1	1307	1	Ⴔ	cut_ui.wav
2	120	4	4	2	I	1	0	1448	0	Ⴏ	cut_r.wav
2	121	3	4	2	I	2	0	856	1	Ⴉ	cut_r.wav
2	122	4	3	2	I	2	0	786	1	Ⴏ	cut_ei.wav
2	123	2	2	1	C	1	1	1091	1	Ⴐ	cut_f.wav
2	124	1	2	0	C	2	1	1097	1	Ⴔ	cut_f.wav
2	125	3	3	2	I	2	0	731	1	Ⴉ	cut_ei.wav
2	126	1	1	1	C	1	1	845	1	Ⴔ	cut_ui.wav
2	127	4	4	2	I	2	0	486	0	Ⴏ	cut_r.wav
2	128	2	1	0	C	2	1	887	1	Ⴐ	cut_ui.wav
2	129	1	2	0	C	2	1	1039	1	Ⴔ	cut_f.wav
2	130	4	4	2	I	2	0	776	0	Ⴏ	cut_r.wav
2	131	3	4	2	I	2	0	592	1	Ⴉ	cut_r.wav
2	132	2	1	0	C	2	1	977	1	Ⴐ	cut_ui.wav
2	133	4	3	2	I	2	0	906	1	Ⴏ	cut_ei.wav
2	134	2	2	1	C	1	1	1111	1	Ⴐ	cut_f.wav
2	135	3	3	2	I	2	0	777	0	Ⴉ	cut_ei.wav
2	136	1	1	1	C	1	1	1055	1	Ⴔ	cut_ui.wav
2	137	4	4	2	I	2	0	993	1	Ⴏ	cut_r.wav
2	138	2	2	1	C	1	1	905	1	Ⴐ	cut_f.wav
2	139	3	3	2	I	2	0	1022	1	Ⴉ	cut_ei.wav
2	140	1	2	0	C	1	0	931	0	Ⴔ	cut_f.wav
2	141	3	4	2	I	1	0	1014	0	Ⴉ	cut_r.wav
2	142	4	3	2	I	2	0	1001	1	Ⴏ	cut_ei.wav
2	143	1	1	1	C	1	1	1254	1	Ⴔ	cut_ui.wav
2	144	2	1	0	C	2	1	859	1	Ⴐ	cut_ui.wav
2	145	3	4	2	I	2	0	768	1	Ⴉ	cut_r.wav
2	146	1	1	1	C	1	1	1188	1	Ⴔ	cut_ui.wav
2	147	4	3	2	I	2	0	961	0	Ⴏ	cut_ei.wav
2	148	2	2	1	C	1	1	930	1	Ⴐ	cut_f.wav
2	149	3	3	2	I	2	0	872	1	Ⴉ	cut_ei.wav
2	150	1	2	0	C	2	1	1012	1	Ⴔ	cut_f.wav
2	151	2	1	0	C	2	1	905	1	Ⴐ	cut_ui.wav
2	152	4	4	2	I	1	0	1779	1	Ⴏ	cut_r.wav
2	153	2	2	1	C	1	1	955	1	Ⴐ	cut_f.wav
2	154	3	4	2	I	2	0	1290	0	Ⴉ	cut_r.wav
2	155	4	4	2	I	2	0	942	0	Ⴏ	cut_r.wav
2	156	1	1	1	C	0	0	0	0	Ⴔ	cut_ui.wav
