block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	3	1	478	1	2720	1933	0B_4L	u_long.wav	9702	10180	13708
1	2	3_8	2	0	0	2	2301	1124	6L_4G	k_asp_cut.wav	18129	0	21322
1	3	4_1	3	0	0	2	1892	1600	0B_0L	u_long.wav	25276	0	28937
1	4	5_6	4	1	1390	1	3164	2549	4B_6B	norm_q.wav	34154	35544	38742
1	5	1_5	1	1	1876	0	2863	1857	0L_4B	a_long.wav	43661	45537	47575
1	6	4_9	3	0	0	2	2548	1510	0B_6G	u_long.wav	52169	0	55717
1	7	8_7	5	1	1331	1	2097	998	4G_0G	norm_n.wav	59865	61196	62911
1	8	3_4	2	1	1369	1	2872	2168	6L_0B	k_asp_cut.wav	67838	69207	72038
1	9	1_9	1	1	1136	1	2192	1733	0L_6G	a_long.wav	76282	77418	80076
1	10	3_1	2	2	1431	1	3440	1989	6L_0L	k_asp_cut.wav	85570	87001	89622
1	11	8_4	5	1	1077	1	2698	1968	4G_0B	norm_n.wav	94485	95562	98508
1	12	1_6	1	1	991	1	3929	2258	0L_6B	a_long.wav	104490	105481	108806
1	13	4_5	3	1	1304	1	2685	1333	0B_4B	u_long.wav	113537	114841	116921
