block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	3	2	1449	1	3282	1584	0B_4L	u_long.wav	17025	18474	20681
1	2	3_8	2	0	0	2	2286	2675	6L_4G	k_asp_cut.wav	25120	0	29845
1	3	4_1	3	2	1094	1	2316	2016	0B_0L	u_long.wav	34207	35301	38310
1	4	5_6	4	0	0	2	2698	1861	4B_6B	norm_q.wav	43095	0	47011
1	5	1_5	1	1	1093	1	2548	1510	0L_4B	a_long.wav	51619	52712	55184
1	6	4_9	3	2	940	1	3043	1124	0B_6G	u_long.wav	60320	61260	63521
1	7	8_7	5	2	1158	1	2874	2563	4G_0G	norm_n.wav	68508	69666	73150
1	8	3_4	2	2	863	1	2720	1733	6L_0B	k_asp_cut.wav	77978	78841	81760
1	9	1_9	1	2	937	1	3788	2549	0L_6G	a_long.wav	87602	88539	92201
1	10	3_1	2	2	1026	0	2097	1346	6L_0L	k_asp_cut.wav	96419	97445	99855
1	11	8_4	5	2	1765	0	1752	2358	4G_0B	norm_n.wav	103664	105429	108072
1	12	1_6	1	2	859	1	3015	1421	0L_6B	a_long.wav	113166	114025	116659
1	13	4_5	3	2	1149	0	2873	1857	0B_4B	u_long.wav	121581	122730	125468
1	14	3_8	2	2	1043	1	3164	2011	6L_4G	k_asp_cut.wav	130696	131739	134779
1	15	4_3	3	2	765	1	2685	2140	0B_6L	u_long.wav	139524	140289	143715
1	16	8_2	5	2	1108	1	2443	1626	4G_4L	norm_n.wav	148205	149313	151891
1	17	1_4	1	1	1013	1	2516	2260	0L_0B	a_long.wav	156468	157481	160848
1	18	8_7	5	1	1166	0	2398	2350	4G_0G	norm_n.wav	165307	166473	169712
1	19	1_3	1	1	1399	0	2760	1642	0L_6L	a_long.wav	174526	175925	178244
1	20	5_6	4	2	1014	0	3082	2704	4B_6B	norm_q.wav	183438	184452	188197
1	21	8_2	5	1	1253	1	3271	2258	4G_4L	norm_n.wav	193535	194788	197825
1	22	1_6	1	1	957	1	3057	1933	0L_6B	a_long.wav	202995	203952	207091
1	23	3_4	2	1	781	1	1892	1426	6L_0B	k_asp_cut.wav	211037	211818	214540
1	24	5_9	4	2	1470	0	4089	1968	4B_6G	norm_q.wav	220690	222160	224723
1	25	4_1	3	1	1159	1	3929	1600	0B_0L	u_long.wav	230704	231863	234363
1	26	1_5	1	2	1215	0	2990	1211	0L_4B	a_long.wav	239387	240602	242630
1	27	3_7	2	1	823	1	3374	2168	6L_0G	k_asp_cut.wav	248063	248886	252272
1	28	8_3	5	1	1053	1	3332	1333	4G_6L	norm_n.wav	257645	258698	261017
1	29	5_9	4	1	962	0	3440	1823	4B_6G	norm_q.wav	266510	267472	270363
1	30	3_7	2	1	783	1	3221	1982	6L_0G	k_asp_cut.wav	275648	276431	279746
1	31	8_2	5	1	1026	1	3052	1588	4G_4L	norm_n.wav	284853	285879	288493
1	32	5_8	4	1	1441	1	2608	2175	4B_4G	norm_q.wav	293149	294590	297403
1	33	1_2	1	1	1412	1	2301	2304	0L_4L	a_long.wav	301749	303161	306105
1	34	8_5	5	1	1277	0	2192	1869	4G_4B	norm_n.wav	310380	311657	314294
1	35	5_4	4	1	1398	1	2863	998	4B_0B	norm_q.wav	319224	320622	322296
1	36	4_1	3	0	0	2	3050	1989	0B_0L	u_long.wav	327418	0	331443
1	37	5_8	4	2	1352	1	3569	2253	4B_4G	norm_q.wav	337111	338463	341415
1	38	4_1	3	2	897	1	2872	2482	0B_0L	u_long.wav	346354	347251	350884
1	39	3_7	2	2	922	1	2274	1850	6L_0G	k_asp_cut.wav	355214	356136	359109
1	40	5_3	4	1	1055	1	3162	2509	4B_6L	norm_q.wav	364342	365397	368909
