block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
4	1	5_2	2	2	1404	1	2221	2123	r_;_switched	f_2_2.wav	27880	29284	32535
4	2	1_3	1	1	2015	1	3581	1289	n_v	g_2_1.wav	38181	40196	41995
4	3	6_2	2	2	877	1	2786	1146	r_2_switched	f_2_2.wav	46812	47689	50494
4	4	4_3	3	2	1394	1	3740	1855	v_9_switched	d_2_1.wav	56258	57652	60646
4	5	2_1	1	2	1169	1	1991	1380	n_r_switched	g_2_1.wav	64669	65838	68579
4	6	5_1	5	1	1791	1	3066	2130	;_n	sch_2_1.wav	73702	75493	78371
4	7	2_3	2	1	1250	1	3200	2189	r_v	f_2_2.wav	83596	84846	88324
4	8	4_5	4	1	1333	1	2503	1599	9_;	ö_short_2_2.wav	92909	94242	97043
4	9	6_3	6	1	1878	1	3114	2602	2_v	ez_2_2.wav	102262	104140	107389
4	10	5_3	3	2	1052	1	2836	1656	v_;_switched	d_2_1.wav	112261	113313	116453
4	11	4_2	2	2	1328	1	1889	1654	r_9_switched	f_2_2.wav	120373	121701	124559
4	12	2_3	3	2	900	1	2466	899	v_r_switched	d_2_1.wav	129058	129958	132496
4	13	1_6	1	1	1413	1	2885	1670	n_2	g_2_1.wav	137419	138832	141642
4	14	3_5	5	2	926	1	2720	1779	;_v_switched	sch_2_1.wav	146396	147322	150710
4	15	2_4	4	2	1209	1	2182	1582	9_r_switched	ö_short_2_2.wav	154917	156126	159038
4	16	3_5	5	2	1793	1	2632	2244	;_v_switched	sch_2_1.wav	163692	165485	168475
4	17	2_4	2	1	999	1	2035	1066	r_9	f_2_2.wav	172538	173537	176139
4	18	6_5	5	1	1630	0	2010	1628	;_2_switched	sch_2_1.wav	180187	181817	184342
4	19	4_2	4	1	1119	1	2586	2220	9_r	ö_short_2_2.wav	188955	190074	193710
4	20	6_5	6	2	1676	0	2269	2754	2_;	ez_2_2.wav	198014	199690	203303
4	21	3_1	1	2	1097	1	1738	1509	n_v_switched	g_2_1.wav	207075	208172	211117
4	22	2_1	2	1	1363	1	2678	1453	r_n	f_2_2.wav	215823	217186	219803
4	23	4_5	4	1	1266	1	1615	1395	9_;	ö_short_2_2.wav	223452	224718	227386
4	24	3_4	3	1	1138	1	2639	2155	v_9	d_2_1.wav	232051	233189	236738
4	25	6_1	1	2	1119	1	1760	2898	n_2_switched	g_2_1.wav	240531	241650	245956
4	26	5_4	5	1	1151	1	1927	2341	;_9	sch_2_1.wav	249907	251058	254775
4	27	1_6	6	2	1125	1	2911	2582	2_n_switched	ez_2_2.wav	259717	260842	264826
4	28	5_3	3	2	1539	1	2670	1796	v_;_switched	d_2_1.wav	269519	271058	273850
4	29	6_1	6	1	879	1	2134	1574	2_n	ez_2_2.wav	278009	278888	282120
4	30	4_5	4	1	971	1	2364	1996	9_;	ö_short_2_2.wav	286514	287485	291033
4	31	3_4	3	1	1046	1	2954	2422	v_9	d_2_1.wav	296012	297058	300969
4	32	6_5	5	2	1533	1	2986	2151	;_2_switched	sch_2_1.wav	305988	307521	310674
4	33	1_3	1	1	1803	1	3315	2173	n_v	g_2_1.wav	316026	317829	320723
4	34	4_6	4	1	1087	1	2532	1105	9_2	ö_short_2_2.wav	325287	326374	328914
4	35	3_1	3	1	865	1	2871	2403	v_n	d_2_1.wav	333817	334682	338754
4	36	6_1	1	2	1088	1	1852	2041	n_2_switched	g_2_1.wav	342642	343730	347234
4	37	6_4	6	1	790	1	2219	2131	2_9	ez_2_2.wav	351484	352274	356150
4	38	2_1	1	2	1862	1	2881	2576	n_r_switched	g_2_1.wav	361055	362917	366171
4	39	3_4	4	2	945	1	2925	1465	9_v_switched	ö_short_2_2.wav	371125	372070	375120
4	40	2_1	2	1	778	1	2334	1795	r_n	f_2_2.wav	379493	380271	383825
4	41	6_5	6	1	766	1	2335	2619	2_;	ez_2_2.wav	388186	388952	393341
4	42	6_5	5	2	1405	1	3387	1639	;_2_switched	sch_2_1.wav	398764	400169	402939
4	43	3_2	3	1	899	1	2841	2324	v_r	d_2_1.wav	407811	408710	412666
4	44	4_2	2	2	1652	1	2458	2924	r_9_switched	f_2_2.wav	417155	418807	422609
4	45	6_1	6	1	1525	1	2448	1592	2_n	ez_2_2.wav	427088	428613	431203
4	46	2_5	5	2	1041	1	2350	1320	;_r_switched	sch_2_1.wav	435582	436623	439440
4	47	1_4	4	2	858	1	2671	1718	9_n_switched	ö_short_2_2.wav	444144	445002	448413
4	48	2_6	6	2	823	1	2195	2035	2_r_switched	ez_2_2.wav	452644	453467	457205
