block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	1_3	1	1	720	1	2443	2704	02	d_sh_retr_cut.wav	15433	16153	20200
1	2	7_3	3	1	560	0	2192	998	62	s_palat_cut.wav	24492	25052	27534
1	3	4_2	2	1	572	0	2872	1626	31	s_alv_cut.wav	32494	33066	36168
1	4	3_8	3	2	854	0	2873	2011	27	s_palat_cut.wav	41102	41956	45160
1	5	5_7	5	1	602	1	3221	1600	46	t_sl_cut.wav	50457	51059	54106
1	6	6_2	2	1	1406	0	3440	1510	51	s_alv_cut.wav	59633	61039	63240
1	7	2_4	4	1	738	0	3043	2258	13	s_dent_cut.wav	68376	69114	72728
1	8	2_6	2	0	0	2	3164	2358	15	s_alv_cut.wav	77938	0	82352
1	9	6_1	1	0	0	2	3057	2304	50	d_sh_retr_cut.wav	87505	0	91856
1	10	5_8	5	0	0	2	2608	1968	47	t_sl_cut.wav	96514	0	100660
1	11	6_4	4	0	0	2	3052	1861	53	s_dent_cut.wav	105764	0	109744
1	12	2_7	2	0	0	2	3788	1642	16	s_alv_cut.wav	115608	0	119299
1	13	8_3	3	1	1949	0	2760	2175	72	s_palat_cut.wav	124104	126053	128322
1	14	1_7	1	1	760	1	4089	2253	06	d_sh_retr_cut.wav	134456	135216	138758
1	15	4_8	4	1	557	1	3569	1124	37	s_dent_cut.wav	144394	144951	147570
