block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	6_3	3	0	0	2	2881	1996	V_5_switched	t_2_1_loudCheck.wav	55884	0	60403
1	2	8_6	6	2	1164	1	2035	1599	5_¯_switched	in_short_2_1_loudCheck.wav	64463	65627	68598
1	3	1_2	2	0	0	2	2269	2324	R_N_switched	e_short_2_2.wav	72905	0	77781
1	4	1_7	1	2	900	0	1852	2131	N_®	a_short_2_2.wav	81664	82564	86330
1	5	4_5	5	1	1771	0	1927	1628	4_3_switched	b_2_1.wav	90281	92052	94436
1	6	1_2	2	2	1429	1	2364	1465	R_N_switched	e_short_2_2.wav	98826	100255	102815
1	7	5_2	5	2	1839	0	2334	1582	4_R	b_2_1.wav	107188	109027	111323
1	8	4_6	4	1	1097	1	1991	1380	3_5	l_2_2_loudCheck.wav	115337	116434	119246
1	9	1_5	1	2	1631	0	3114	1105	N_4	a_short_2_2.wav	124384	126015	128030
1	10	4_3	3	1	1608	0	2670	1066	V_3_switched	t_2_1_loudCheck.wav	132732	134340	136333
1	11	2_5	5	0	0	2	2954	1718	4_R_switched	b_2_1.wav	141325	0	145577
1	12	4_1	4	1	1051	1	2632	2155	3_N	l_2_2_loudCheck.wav	150245	151296	154939
1	13	8_2	2	2	763	1	2836	1592	R_¯_switched	e_short_2_2.wav	159808	160571	163936
1	14	6_4	4	2	1495	1	2350	2602	3_5_switched	l_2_2_loudCheck.wav	168315	169810	173455
1	15	3_2	3	2	1156	0	2466	1656	V_R	t_2_1_loudCheck.wav	177957	179113	182151
1	16	6_4	4	2	1321	1	2639	2341	3_5_switched	l_2_2_loudCheck.wav	186822	188143	191695
1	17	4_6	6	1	1400	0	2885	1654	5_3_switched	in_short_2_1_loudCheck.wav	196611	198011	200801
1	18	3_5	3	2	1283	0	2678	1289	V_4	t_2_1_loudCheck.wav	205513	206796	209329
1	19	8_1	1	1	1337	0	2219	899	N_¯_switched	a_short_2_2.wav	213579	214916	217030
1	20	7_6	6	2	1817	1	1738	1453	5_®_switched	in_short_2_1_loudCheck.wav	220806	222623	224791
1	21	1_3	1	1	1653	1	1889	1855	N_V	a_short_2_2.wav	228715	230368	233101
1	22	4_3	3	2	1588	1	2010	2220	V_3_switched	t_2_1_loudCheck.wav	237144	238732	241891
1	23	8_5	5	2	1219	1	1615	2189	4_¯_switched	b_2_1.wav	245541	246760	250269
1	24	4_3	4	1	1263	1	2335	2422	3_V	l_2_2_loudCheck.wav	254636	255899	259594
1	25	6_4	6	1	1916	1	2671	2123	5_3	in_short_2_1_loudCheck.wav	264298	266214	268971
1	26	1_5	1	2	1575	0	2786	1670	N_4	a_short_2_2.wav	273789	275364	277995
1	27	2_6	6	1	1050	0	2458	2754	5_R_switched	in_short_2_1_loudCheck.wav	282487	283537	287771
1	28	3_1	1	2	1115	1	3200	1509	N_V_switched	a_short_2_2.wav	293005	294120	297069
1	29	4_5	4	2	1651	0	2503	1639	3_4	l_2_2_loudCheck.wav	301601	303252	305791
1	30	1_3	1	1	1562	1	2221	2244	N_V	a_short_2_2.wav	310044	311606	314821
1	31	6_7	6	1	1068	1	3315	1395	5_®	in_short_2_1_loudCheck.wav	320164	321232	324099
1	32	5_2	5	2	1818	0	3066	1574	4_R	b_2_1.wav	329191	331009	333287
1	33	7_3	3	2	986	1	2841	2151	V_®_switched	t_2_1_loudCheck.wav	338158	339144	342840
1	34	4_6	4	2	1135	0	2532	1795	3_5	l_2_2_loudCheck.wav	347409	348544	351743
1	35	3_6	6	2	978	1	3740	2173	5_V_switched	in_short_2_1_loudCheck.wav	357509	358487	362215
1	36	5_2	2	1	1278	0	2134	2403	R_4_switched	e_short_2_2.wav	366380	367658	371320
1	37	1_5	5	2	953	1	2925	2041	4_N_switched	b_2_1.wav	376280	377233	380851
1	38	6_3	3	1	1471	0	2448	2130	V_5_switched	t_2_1_loudCheck.wav	385329	386800	389983
1	39	2_7	2	1	1050	1	3581	2924	R_®	e_short_2_2.wav	395588	396638	401054
1	40	3_1	3	1	1277	1	2586	1320	V_N	t_2_1_loudCheck.wav	405671	406948	409526
1	41	2_5	2	1	1356	1	1760	1796	R_4	e_short_2_2.wav	413320	414676	417643
1	42	5_1	5	1	1630	1	2195	2035	4_N	b_2_1.wav	421863	423493	426441
1	43	2_8	2	1	932	1	2986	2582	R_¯	e_short_2_2.wav	431463	432395	436581
1	44	1_7	1	1	1273	1	2720	1146	N_®	a_short_2_2.wav	441324	442597	445005
1	45	5_4	5	1	1480	1	2911	2619	4_3	b_2_1.wav	449940	451420	455086
1	46	3_2	2	2	1256	1	2182	1779	R_V_switched	e_short_2_2.wav	459304	460560	463622
1	47	4_8	4	1	951	1	2871	2898	3_¯	l_2_2_loudCheck.wav	468519	469470	473950
1	48	2_6	6	1	2043	0	3387	2576	5_R_switched	in_short_2_1_loudCheck.wav	479361	481404	484473
