trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFtrained	:	435	9828	
2	1	2	FFtrained	I	199	11020	
3	1	3	FFtrained	®	286	11981	
4	1	4	FFtrained	0	178	13026	
5	1	5	FFtrained	V	366	13955	
6	1	6	FFtrained	N	269	15082	
7	1	7	FFtrained	R	213	16110	
8	1	8	FFtrained	A	331	17072	
9	1	9	FFtrained	E	249	18166	
10	1	10	FFtrained	3	214	19177	
11	1	1	FFfamiliar	b	269	23143	
12	1	2	FFfamiliar	h	178	24167	
13	1	3	FFfamiliar	f	331	25096	
14	1	4	FFfamiliar	FFfamiliarTarget	249	26190	
15	1	5	FFfamiliar	a	366	27201	
16	1	6	FFfamiliar	g	199	28329	
17	1	7	FFfamiliar	j	435	29290	
18	1	8	FFfamiliar	i	214	30484	
19	1	9	FFfamiliar	d	286	31446	
20	1	10	FFfamiliar	c	213	32473	
21	1	1	FFnew	l	331	38454	
22	1	2	FFnew	t	199	39536	
23	1	3	FFnew	FFnewTarget	214	40498	
24	1	4	FFnew	p	435	41460	
25	1	5	FFnew	k	249	42653	
26	1	6	FFnew	s	269	43664	
27	1	7	FFnew	n	178	44693	
28	1	8	FFnew	m	366	45621	
29	1	9	FFnew	r	213	46748	
30	1	10	FFnew	q	286	47710	
31	1	1	letter	e	286	55775	
32	1	2	letter	g	178	56812	
33	1	3	letter	m_target	199	57740	
34	1	4	letter	r	331	58702	
35	1	5	letter	u	269	59796	
36	1	6	letter	z	214	60824	
37	1	7	letter	a	435	61786	
38	1	8	letter	t	213	62979	
39	1	9	letter	p_target	249	63941	
40	1	10	letter	b	366	64952	
41	2	1	FFtrained	E	269	75098	
42	2	2	FFtrained	I	331	76127	
43	2	3	FFtrained	A	213	77221	
44	2	4	FFtrained	3	249	78183	
45	2	5	FFtrained	V	366	79194	
46	2	6	FFtrained	FFtrainedTarget	435	80321	
47	2	7	FFtrained	0	214	81515	
48	2	8	FFtrained	®	178	82477	
49	2	9	FFtrained	:	199	83389	
50	2	10	FFtrained	R	286	84350	
51	2	1	FFfamiliar	d	199	94413	
52	2	2	FFfamiliar	a	286	95375	
53	2	3	FFfamiliar	j	178	96420	
54	2	4	FFfamiliar	FFfamiliarTarget	269	97348	
55	2	5	FFfamiliar	f	366	98376	
56	2	6	FFfamiliar	h	249	99504	
57	2	7	FFfamiliar	e	435	100515	
58	2	8	FFfamiliar	c	331	101709	
59	2	9	FFfamiliar	i	214	102803	
60	2	10	FFfamiliar	g	213	103765	
61	2	1	FFnew	m	213	111728	
62	2	2	FFnew	t	249	112684	
63	2	3	FFnew	q	199	113696	
64	2	4	FFnew	FFnewTarget	214	114657	
65	2	5	FFnew	k	178	115619	
66	2	6	FFnew	n	435	116531	
67	2	7	FFnew	FFnewTarget	269	117724	
68	2	8	FFnew	l	286	118752	
69	2	9	FFnew	p	331	119797	
70	2	10	FFnew	o	366	120891	
71	2	1	letter	p	214	127037	
72	2	2	letter	r	249	127987	
73	2	3	letter	t	269	128982	
74	2	4	letter	m	286	130010	
75	2	5	letter	e	435	131054	
76	2	6	letter	z	199	132248	
77	2	7	letter	u	178	133209	
78	2	8	letter	a	331	134138	
79	2	9	letter	g	213	135232	
