trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	letter	g	269	5019	
2	1	2	letter	r	286	6038	
3	1	3	letter	e	213	7082	
4	1	4	letter	u	366	8044	
5	1	5	letter	p	435	9171	
6	1	6	letter	z	178	10365	
7	1	7	letter	b	214	11293	
8	1	8	letter	a	331	12255	
9	1	9	letter	m	199	13333	
10	1	10	letter	t	249	14294	
11	1	1	FFtrained	I	331	18341	
12	1	2	FFtrained	V	435	19434	
13	1	3	FFtrained	®	213	20628	
14	1	4	FFtrained	3	286	21589	
15	1	5	FFtrained	N	178	22634	
16	1	6	FFtrained	R	249	23562	
17	1	7	FFtrained	E	366	24573	
18	1	8	FFtrained	A	214	25701	
19	1	9	FFtrained	FFtrainedTarget	199	26662	
20	1	10	FFtrained	0	269	27607	
21	1	1	FFfamiliar	e	366	33668	
22	1	2	FFfamiliar	g	178	34786	
23	1	3	FFfamiliar	d	214	35715	
24	1	4	FFfamiliar	FFfamiliarTarget	269	36676	
25	1	5	FFfamiliar	j	213	37688	
26	1	6	FFfamiliar	c	331	38649	
27	1	7	FFfamiliar	a	199	39744	
28	1	8	FFfamiliar	b	435	40705	
29	1	9	FFfamiliar	i	286	41899	
30	1	10	FFfamiliar	h	249	42943	
31	1	1	FFnew	l	331	50986	
32	1	2	FFnew	f	214	52079	
33	1	3	FFnew	FFnewTarget	435	53040	
34	1	4	FFnew	t	366	54234	
35	1	5	FFnew	j	249	55361	
36	1	6	FFnew	q	286	56373	
37	1	7	FFnew	u	199	57417	
38	1	8	FFnew	c	178	58379	
39	1	9	FFnew	FFnewTarget	213	59307	
40	1	10	FFnew	h	269	60269	
41	2	1	letter	g	435	70316	
42	2	2	letter	t	178	71509	
43	2	3	letter	e	286	72438	
44	2	4	letter	u	366	73482	
45	2	5	letter	b	331	74610	
46	2	6	letter	m	214	75704	
47	2	7	letter	p_target	213	76666	
48	2	8	letter	a	269	77611	
49	2	9	letter	r	199	78639	
50	2	10	letter	z	249	79600	
51	2	1	FFtrained	R	213	89630	
52	2	2	FFtrained	:	199	90592	
53	2	3	FFtrained	FFtrainedTarget	249	91554	
54	2	4	FFtrained	®	269	92565	
55	2	5	FFtrained	A	331	93593	
56	2	6	FFtrained	V	435	94687	
57	2	7	FFtrained	I	178	95881	
58	2	8	FFtrained	3	286	96810	
59	2	9	FFtrained	E	214	97854	
60	2	10	FFtrained	0	366	98816	
61	2	1	FFfamiliar	d	435	106945	
62	2	2	FFfamiliar	h	178	108133	
63	2	3	FFfamiliar	j	286	109062	
64	2	4	FFfamiliar	FFfamiliarTarget	213	110106	
65	2	5	FFfamiliar	c	249	111068	
66	2	6	FFfamiliar	b	331	112079	
