Scenario - 
Logfile written - 03/27/2021 11:29:47

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

GPL002	1	Response	20	126189	126024	0
GPL002	2	Picture	start	126335	0	1	537616	220	0	next	other	0
GPL002	2	Response	20	153869	27535	0
GPL002	3	Pulse	199	663950	510080	0
GPL002	3	Picture	100	663950	510081	220	50123	220	0	50000	other	0
GPL002	4	Picture	70	714239	0	1	7129	1	0	7000	other	0
GPL002	5	Picture	40	721534	0	1	2155	1	0	2130	other	0
GPL002	6	Picture	70	723855	0	1	7129	1	0	7000	other	0
GPL002	7	Picture	40	731150	0	1	2653	1	0	2490	other	0
GPL002	8	Picture	70	733969	0	1	7129	1	0	7000	other	0
GPL002	9	Picture	40	741264	0	1	4476	1	0	4350	other	0
GPL002	10	Picture	70	745906	0	1	7129	1	0	7000	other	0
GPL002	11	Picture	40	753201	0	1	3482	1	0	3310	other	0
GPL002	12	Picture	70	756848	0	1	7129	1	0	7000	other	0
GPL002	13	Picture	40	764143	0	1	1824	1	0	1780	other	0
GPL002	14	Picture	70	766133	0	1	7129	1	0	7000	other	0
GPL002	15	Picture	40	773428	0	1	2818	1	0	2690	other	0
GPL002	16	Picture	70	776412	0	1	7129	1	0	7000	other	0
GPL002	17	Picture	40	783707	0	1	2155	1	0	2140	other	0
GPL002	18	Picture	70	786028	0	1	7129	1	0	7000	other	0
GPL002	19	Picture	40	793323	0	1	2155	1	0	1990	other	0
GPL002	20	Picture	70	795644	0	1	7129	1	0	7000	other	0
GPL002	21	Picture	40	802939	0	1	2984	1	0	2860	other	0
GPL002	22	Picture	70	806089	0	1	7129	1	0	7000	other	0
GPL002	23	Picture	40	813384	0	1	3813	1	0	3660	other	0
GPL002	24	Picture	50	817363	0	1	30174	1	0	next	other	0
GPL002	25	Picture	60	847537	0	1	7129	1	0	7000	other	0
GPL002	26	Picture	40	854832	0	1	1824	1	0	1780	other	0
GPL002	27	Picture	60	856822	0	1	7129	1	0	7000	other	0
GPL002	28	Picture	40	864117	0	1	3482	1	0	3310	other	0
GPL002	29	Picture	60	867764	0	1	7129	1	0	7000	other	0
GPL002	30	Picture	40	875059	0	1	2155	1	0	1990	other	0
GPL002	31	Picture	60	877380	0	1	7129	1	0	7000	other	0
GPL002	32	Picture	40	884675	0	1	2984	1	0	2860	other	0
GPL002	33	Picture	60	887825	0	1	7129	1	0	7000	other	0
GPL002	34	Picture	40	895120	0	1	2653	1	0	2490	other	0
GPL002	35	Picture	60	897939	0	1	7129	1	0	7000	other	0
GPL002	36	Picture	40	905233	0	1	3813	1	0	3660	other	0
GPL002	37	Picture	65	909213	0	1	7129	1	0	7000	miss	0
GPL002	38	Picture	40	916508	0	1	4476	1	0	4350	other	0
GPL002	39	Picture	60	921150	0	1	7129	1	0	7000	other	0
GPL002	40	Picture	40	928445	0	1	2155	1	0	2130	other	0
GPL002	41	Picture	60	930766	0	1	7129	1	0	7000	other	0
GPL002	42	Picture	40	938061	0	1	2818	1	0	2690	other	0
GPL002	43	Picture	60	941045	0	1	7129	1	0	7000	other	0
GPL002	44	Picture	40	948340	0	1	2155	1	0	2140	other	0
GPL002	45	Picture	50	950661	0	1	50235	1	0	next	other	0
GPL002	46	Picture	90	1000897	0	1	7129	1	0	7000	other	0
GPL002	47	Picture	40	1008191	0	1	2155	1	0	2130	other	0
GPL002	48	Picture	90	1010513	0	1	7129	1	0	7000	other	0
GPL002	49	Picture	40	1017807	0	1	4476	1	0	4350	other	0
GPL002	50	Picture	90	1022450	0	1	7129	1	0	7000	other	0
GPL002	51	Picture	40	1029745	0	1	3813	1	0	3660	other	0
GPL002	52	Picture	90	1033724	0	1	7129	1	0	7000	other	0
GPL002	53	Picture	40	1041019	0	1	2155	1	0	1990	other	0
GPL002	54	Picture	90	1043340	0	1	7129	2	0	7000	other	0
GPL002	55	Picture	40	1050635	0	1	2653	1	0	2490	other	0
GPL002	56	Picture	90	1053453	0	1	7129	1	0	7000	other	0
GPL002	57	Picture	40	1060748	0	1	2984	1	0	2860	other	0
GPL002	58	Picture	90	1063898	0	1	7129	1	0	7000	other	0
GPL002	59	Picture	40	1071193	0	1	3482	1	0	3310	other	0
GPL002	60	Picture	90	1074840	0	1	7129	1	0	7000	other	0
GPL002	61	Picture	40	1082135	0	1	2818	1	0	2690	other	0
GPL002	62	Picture	95	1085120	0	1	7129	1	0	7000	miss	0
GPL002	63	Picture	40	1092415	0	1	2155	1	0	2140	other	0
GPL002	64	Picture	90	1094736	0	1	7129	1	0	7000	other	0
GPL002	65	Picture	40	1102031	0	1	1824	1	0	1780	other	0
GPL002	66	Picture	50	1104020	0	1	70296	1	0	next	other	0
GPL002	67	Picture	80	1174317	0	1	7129	1	0	7000	other	0
GPL002	68	Picture	40	1181612	0	1	2155	1	0	2130	other	0
GPL002	69	Picture	80	1183933	0	1	7129	1	0	7000	other	0
GPL002	70	Picture	40	1191228	0	1	3482	1	0	3310	other	0
GPL002	71	Picture	85	1194875	0	1	7129	1	0	7000	miss	0
GPL002	72	Picture	40	1202170	0	1	2653	1	0	2490	other	0
GPL002	73	Picture	80	1204989	0	1	7129	1	0	7000	other	0
GPL002	74	Picture	40	1212283	0	1	2155	1	0	1990	other	0
GPL002	75	Picture	80	1214605	0	1	7129	1	0	7000	other	0
GPL002	76	Picture	40	1221899	0	1	2819	1	0	2690	other	0
GPL002	77	Picture	80	1224884	0	1	7129	1	0	7000	other	0
GPL002	78	Picture	40	1232179	0	1	3813	1	0	3660	other	0
GPL002	79	Picture	80	1236158	0	1	7129	1	0	7000	other	0
GPL002	80	Picture	40	1243453	0	1	4476	1	0	4350	other	0
GPL002	81	Picture	80	1248095	0	1	7129	1	0	7000	other	0
GPL002	82	Picture	40	1255390	0	1	2984	1	0	2860	other	0
GPL002	83	Picture	85	1258540	0	1	7129	1	0	7000	miss	0
GPL002	84	Picture	40	1265835	0	1	1824	1	0	1780	other	0
GPL002	85	Picture	80	1267824	0	1	7129	1	0	7000	other	0
GPL002	86	Picture	40	1275119	0	1	2155	1	0	2140	other	0
GPL002	87	Picture	50	1277285	0	322	90182	322	0	next	other	0
GPL002	88	Picture	70	1367466	0	1	7129	1	0	7000	other	0
GPL002	89	Picture	40	1374761	0	1	3482	1	0	3310	other	0
GPL002	90	Picture	70	1378409	0	1	7129	1	0	7000	other	0
GPL002	91	Picture	40	1385704	0	1	2984	1	0	2860	other	0
GPL002	92	Picture	70	1388854	0	1	7129	1	0	7000	other	0
GPL002	93	Picture	40	1396149	0	1	2819	1	0	2690	other	0
GPL002	94	Picture	70	1399133	0	1	7129	1	0	7000	other	0
GPL002	95	Picture	40	1406428	0	1	2155	1	0	2140	other	0
GPL002	96	Picture	70	1408749	0	1	7129	1	0	7000	other	0
GPL002	97	Picture	40	1416044	0	1	2155	1	0	2130	other	0
GPL002	98	Picture	75	1418365	0	1	7129	1	0	7000	miss	0
GPL002	99	Picture	40	1425660	0	1	2155	1	0	1990	other	0
GPL002	100	Picture	70	1427981	0	1	7129	1	0	7000	other	0
GPL002	101	Picture	40	1435276	0	1	4476	1	0	4350	other	0
GPL002	102	Picture	70	1439918	0	1	7129	1	0	7000	other	0
GPL002	103	Picture	40	1447213	0	1	2653	1	0	2490	other	0
GPL002	104	Picture	70	1450032	0	1	7129	1	0	7000	other	0
GPL002	105	Picture	40	1457327	0	1	1824	1	0	1780	other	0
GPL002	106	Picture	70	1459316	0	1	7129	1	0	7000	other	0
GPL002	107	Picture	40	1466611	0	1	3813	1	0	3660	other	0
GPL002	108	Picture	50	1470590	0	1	90192	1	0	next	other	0
GPL002	109	Picture	60	1560782	0	1	7129	1	0	7000	other	0
GPL002	110	Picture	40	1568077	0	1	1824	1	0	1780	other	0
GPL002	111	Picture	60	1570066	0	1	7129	1	0	7000	other	0
GPL002	112	Picture	40	1577361	0	1	4476	1	0	4350	other	0
GPL002	113	Picture	60	1582003	0	1	7129	1	0	7000	other	0
GPL002	114	Picture	40	1589298	0	1	3482	1	0	3310	other	0
GPL002	115	Picture	65	1592946	0	1	7129	1	0	7000	miss	0
GPL002	116	Picture	40	1600241	0	1	2155	1	0	2130	other	0
GPL002	117	Picture	60	1602562	0	1	7129	1	0	7000	other	0
GPL002	118	Picture	40	1609857	0	1	3813	1	0	3660	other	0
GPL002	119	Picture	60	1613836	0	1	7129	1	0	7000	other	0
GPL002	120	Picture	40	1621131	0	1	2653	1	0	2490	other	0
GPL002	121	Picture	60	1623949	0	1	7129	1	0	7000	other	0
GPL002	122	Picture	40	1631244	0	1	2984	1	0	2860	other	0
GPL002	123	Picture	60	1634394	0	1	7129	1	0	7000	other	0
GPL002	124	Picture	40	1641689	0	1	2155	1	0	2140	other	0
GPL002	125	Picture	60	1644010	0	1	7129	1	0	7000	other	0
GPL002	126	Picture	40	1651305	0	1	2819	1	0	2690	other	0
GPL002	127	Picture	60	1654290	0	1	7129	1	0	7000	other	0
GPL002	128	Picture	40	1661584	0	1	2155	1	0	1990	other	0
