trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFfamiliar	i	214	17065	
2	1	2	FFfamiliar	h	435	18020	
3	1	3	FFfamiliar	f	366	19210	
4	1	4	FFfamiliar	g	178	20317	
5	1	5	FFfamiliar	b	249	21239	
6	1	6	FFfamiliar	e	269	22228	
7	1	7	FFfamiliar	j	286	23250	
8	1	8	FFfamiliar	c	213	24289	
9	1	9	FFfamiliar	a	331	25245	
10	1	10	FFfamiliar	d	199	26318	
11	1	1	letter	m	249	30273	
12	1	2	letter	g	286	31263	
13	1	3	letter	b	214	32302	
14	1	4	letter	r	435	33257	
15	1	5	letter	z	366	34447	
16	1	6	letter	t	199	35554	
17	1	7	letter	letterTarget	213	36493	
18	1	8	letter	a	331	37448	
19	1	9	letter	e	269	38521	
20	1	10	letter	p	178	39543	
21	1	1	FFnew	j	269	45512	
22	1	2	FFnew	a	331	46534	
23	1	3	FFnew	h	366	47607	
24	1	4	FFnew	b	214	48713	
25	1	5	FFnew	i	199	49669	
26	1	6	FFnew	e	286	50607	
27	1	7	FFnew	f	435	51647	
28	1	8	FFnew	g	178	52837	
29	1	9	FFnew	FFnewTarget	249	53758	
30	1	10	FFnew	d	213	54748	
31	1	1	FFtrained	E	331	62720	
32	1	2	FFtrained	N	366	63783	
33	1	3	FFtrained	I	435	64889	
34	1	4	FFtrained	:	214	66079	
35	1	5	FFtrained	®	249	67035	
36	1	6	FFtrained	V	269	68024	
37	1	7	FFtrained	A	178	69047	
38	1	8	FFtrained	0	199	69968	
39	1	9	FFtrained	FFtrainedTarget	286	70907	
40	1	10	FFtrained	FFtrainedTarget	213	71946	
41	2	1	FFfamiliar	d	366	81919	
42	2	2	FFfamiliar	j	286	83027	
43	2	3	FFfamiliar	e	213	84067	
44	2	4	FFfamiliar	g	331	85022	
45	2	5	FFfamiliar	i	178	86095	
46	2	6	FFfamiliar	c	435	87017	
47	2	7	FFfamiliar	b	214	88207	
48	2	8	FFfamiliar	f	199	89163	
49	2	9	FFfamiliar	a	269	90101	
50	2	10	FFfamiliar	FFfamiliarTarget	249	91123	
51	2	1	letter	e	331	101129	
52	2	2	letter	g	286	102203	
53	2	3	letter	a	199	103243	
54	2	4	letter	r	249	104181	
55	2	5	letter	m	178	105170	
56	2	6	letter	z	269	106092	
57	2	7	letter	letterTarget	366	107115	
58	2	8	letter	t	435	108221	
59	2	9	letter	b	213	109411	
60	2	10	letter	p	214	110367	
61	2	1	FFnew	g	213	118340	
62	2	2	FFnew	h	331	119286	
63	2	3	FFnew	d	435	120359	
64	2	4	FFnew	i	214	121549	
65	2	5	FFnew	c	286	122504	
66	2	6	FFnew	b	199	123544	
67	2	7	FFnew	e	366	124482	
68	2	8	FFnew	f	249	125589	
69	2	9	FFnew	FFnewTarget	269	126577	
70	2	10	FFnew	FFnewTarget	178	127599	
71	2	1	FFtrained	A	213	133539	
72	2	2	FFtrained	E	435	134490	
73	2	3	FFtrained	I	331	135680	
74	2	4	FFtrained	0	366	136753	
75	2	5	FFtrained	R	178	137859	
76	2	6	FFtrained	N	199	138781	
77	2	7	FFtrained	V	249	139720	
78	2	8	FFtrained	:	269	140709	
79	2	9	FFtrained	®	286	141731	
80	2	10	FFtrained	3	214	142770	
81	3	1	FFfamiliar	f	249	146743	
82	3	2	FFfamiliar	c	269	147732	
83	3	3	FFfamiliar	a	435	148755	
84	3	4	FFfamiliar	b	366	149945	
85	3	5	FFfamiliar	g	286	151052	
86	3	6	FFfamiliar	FFfamiliarTarget	178	152090	
87	3	7	FFfamiliar	d	214	153013	
88	3	8	FFfamiliar	e	213	153968	
89	3	9	FFfamiliar	h	199	154924	
90	3	10	FFfamiliar	j	331	155863	
91	3	1	letter	a	249	163951	
92	3	2	letter	g	286	164930	
93	3	3	letter	r	435	165970	
94	3	4	letter	t	269	167160	
95	3	5	letter	u	199	168182	
96	3	6	letter	letterTarget	331	169121	
97	3	7	letter	z	178	170194	
98	3	8	letter	letterTarget	213	171116	
99	3	9	letter	b	214	172072	
100	3	10	letter	m	366	173027	
