trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFnew	t	249	8398	
2	1	2	FFnew	s	435	9387	
3	1	3	FFnew	n	214	10577	
4	1	4	FFnew	m	286	11533	
5	1	5	FFnew	p	178	12572	
6	1	6	FFnew	l	213	13494	
7	1	7	FFnew	q	366	14450	
8	1	8	FFnew	r	199	15556	
9	1	9	FFnew	k	269	16511	
10	1	10	FFnew	o	331	17534	
11	1	1	FFfamiliar	c	269	21624	
12	1	2	FFfamiliar	e	366	22647	
13	1	3	FFfamiliar	FFfamiliarTarget	249	23753	
14	1	4	FFfamiliar	d	178	24742	
15	1	5	FFfamiliar	b	214	25664	
16	1	6	FFfamiliar	j	331	26619	
17	1	7	FFfamiliar	i	199	27692	
18	1	8	FFfamiliar	h	435	28631	
19	1	9	FFfamiliar	f	286	29821	
20	1	10	FFfamiliar	g	213	30860	
21	1	1	letter	m	249	36832	
22	1	2	letter	r	213	37817	
23	1	3	letter	p	366	38772	
24	1	4	letter	a	269	39879	
25	1	5	letter	u	199	40901	
26	1	6	letter	letterTarget	286	41857	
27	1	7	letter	g	435	42896	
28	1	8	letter	b	214	44086	
29	1	9	letter	z	178	45042	
30	1	10	letter	e	331	45964	
31	1	1	FFtrained	E	199	54054	
32	1	2	FFtrained	N	178	54982	
33	1	3	FFtrained	FFtrainedTarget	249	55904	
34	1	4	FFtrained	®	366	56893	
35	1	5	FFtrained	:	214	58000	
36	1	6	FFtrained	0	435	58955	
37	1	7	FFtrained	A	331	60145	
38	1	8	FFtrained	3	286	61218	
39	1	9	FFtrained	FFtrainedTarget	269	62257	
40	1	10	FFtrained	I	213	63280	
41	2	1	FFnew	m	286	73253	
42	2	2	FFnew	n	199	74294	
43	2	3	FFnew	FFnewTarget	249	75249	
44	2	4	FFnew	q	214	76255	
45	2	5	FFnew	p	213	77211	
46	2	6	FFnew	l	366	78166	
47	2	7	FFnew	t	269	79272	
48	2	8	FFnew	r	331	80295	
49	2	9	FFnew	o	435	81368	
50	2	10	FFnew	s	178	82558	
51	2	1	FFfamiliar	b	331	92497	
52	2	2	FFfamiliar	e	269	93571	
53	2	3	FFfamiliar	h	213	94594	
54	2	4	FFfamiliar	FFfamiliarTarget	366	95549	
55	2	5	FFfamiliar	g	199	96656	
56	2	6	FFfamiliar	i	178	97594	
57	2	7	FFfamiliar	c	249	98516	
58	2	8	FFfamiliar	d	435	99505	
59	2	9	FFfamiliar	j	214	100695	
60	2	10	FFfamiliar	a	286	101651	
61	2	1	letter	p	199	109706	
62	2	2	letter	z	178	110635	
63	2	3	letter	b	331	111557	
64	2	4	letter	letterTarget	213	112630	
65	2	5	letter	u	435	113585	
66	2	6	letter	e	366	114776	
67	2	7	letter	letterTarget	269	115882	
68	2	8	letter	r	249	116905	
69	2	9	letter	g	214	117894	
70	2	10	letter	a	286	118849	
71	2	1	FFtrained	I	199	124906	
72	2	2	FFtrained	R	366	125839	
73	2	3	FFtrained	E	286	126946	
