trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFnew	t	199	5016	
2	1	2	FFnew	q	249	5977	
3	1	3	FFnew	u	286	6987	
4	1	4	FFnew	h	366	8032	
5	1	5	FFnew	j	214	9159	
6	1	6	FFnew	f	435	10121	
7	1	7	FFnew	p	269	11315	
8	1	8	FFnew	c	178	12342	
9	1	9	FFnew	l	213	13271	
10	1	10	FFnew	t	331	14232	
11	1	1	letter	p	214	18346	
12	1	2	letter	u	331	19306	
13	1	3	letter	z	286	20384	
14	1	4	letter	t	366	21428	
15	1	5	letter	a	269	22555	
16	1	6	letter	LetterTarget	213	23583	
17	1	7	letter	e	199	24545	
18	1	8	letter	g	435	25506	
19	1	9	letter	b	249	26700	
20	1	10	letter	m	178	27712	
21	1	1	FFtrained	E	366	33659	
22	1	2	FFtrained	R	199	34774	
23	1	3	FFtrained	A	269	35737	
24	1	4	FFtrained	N	435	36764	
25	1	5	FFtrained	FFtrainedTarget	249	37958	
26	1	6	FFtrained	:	331	38969	
27	1	7	FFtrained	4	213	40063	
28	1	8	FFtrained	V	214	41025	
29	1	9	FFtrained	0	178	41986	
30	1	10	FFtrained	I	286	42898	
31	1	1	FFfamiliar	i	286	50963	
32	1	2	FFfamiliar	b	178	52000	
33	1	3	FFfamiliar	FFfamiliarTarget	214	52929	
34	1	4	FFfamiliar	c	435	53890	
35	1	5	FFfamiliar	a	269	55084	
36	1	6	FFfamiliar	d	213	56112	
37	1	7	FFfamiliar	h	199	57073	
38	1	8	FFfamiliar	g	331	58035	
39	1	9	FFfamiliar	FFfamiliarTarget	249	59129	
40	1	10	FFfamiliar	f	366	60141	
41	2	1	FFnew	q	366	70286	
42	2	2	FFnew	j	269	71414	
43	2	3	FFnew	u	214	72442	
44	2	4	FFnew	c	178	73404	
45	2	5	FFnew	t	213	74316	
46	2	6	FFnew	f	286	75277	
47	2	7	FFnew	h	331	76322	
48	2	8	FFnew	p	435	77416	
49	2	9	FFnew	FFnewTarget	249	78610	
50	2	10	FFnew	t	199	79621	
51	2	1	letter	g	199	89601	
52	2	2	letter	u	435	90563	
53	2	3	letter	r	366	91757	
54	2	4	letter	b	249	92885	
55	2	5	letter	m	178	93896	
56	2	6	letter	LetterTarget	286	94824	
57	2	7	letter	z	213	95869	
58	2	8	letter	e	269	96830	
59	2	9	letter	t	331	97858	
60	2	10	letter	a	214	98953	
61	2	1	FFtrained	4	269	106917	
62	2	2	FFtrained	3	249	107939	
63	2	3	FFtrained	E	214	108950	
64	2	4	FFtrained	FFtrainedTarget	435	109912	
65	2	5	FFtrained	A	286	111105	
66	2	6	FFtrained	R	366	112150	
67	2	7	FFtrained	FFtrainedTarget	213	113277	
68	2	8	FFtrained	N	199	114239	
69	2	9	FFtrained	0	331	115200	
70	2	10	FFtrained	V	178	116295	
71	2	1	FFfamiliar	f	331	122242	
72	2	2	FFfamiliar	c	286	123324	
73	2	3	FFfamiliar	a	199	124369	
74	2	4	FFfamiliar	e	178	125330	
75	2	5	FFfamiliar	b	269	126259	
76	2	6	FFfamiliar	h	366	127287	
77	2	7	FFfamiliar	g	214	128414	
78	2	8	FFfamiliar	i	435	129376	
79	2	9	FFfamiliar	d	213	130569	
80	2	10	FFfamiliar	j	249	131531	
81	3	1	FFnew	u	331	135561	
82	3	2	FFnew	f	178	136654	
83	3	3	FFnew	p	199	137583	
84	3	4	FFnew	t	269	138544	
85	3	5	FFnew	l	213	139572	
86	3	6	FFnew	q	249	140534	
87	3	7	FFnew	t	366	141545	
88	3	8	FFnew	c	286	142672	
89	3	9	FFnew	j	214	143717	
90	3	10	FFnew	FFnewTarget	435	144678	
91	3	1	letter	u	269	152891	
92	3	2	letter	e	178	153913	
93	3	3	letter	r	435	154842	
94	3	4	letter	LetterTarget	286	156035	
95	3	5	letter	m	213	157080	
96	3	6	letter	LetterTarget	331	158041	
97	3	7	letter	a	199	159136	
98	3	8	letter	g	366	160097	
99	3	9	letter	p	249	161225	
100	3	10	letter	b	214	162236	
101	3	1	FFtrained	I	249	166216	
102	3	2	FFtrained	4	435	167226	
103	3	3	FFtrained	0	199	168420	
104	3	4	FFtrained	N	286	169382	
105	3	5	FFtrained	:	214	170426	
106	3	6	FFtrained	E	269	171388	
107	3	7	FFtrained	R	213	172399	
108	3	8	FFtrained	A	178	173361	
109	3	9	FFtrained	V	366	174289	
110	3	10	FFtrained	3	331	175417	
111	3	1	FFfamiliar	d	435	185529	
112	3	2	FFfamiliar	c	269	186724	
113	3	3	FFfamiliar	FFfamiliarTarget	178	187752	
114	3	4	FFfamiliar	g	249	188680	
115	3	5	FFfamiliar	h	286	189691	
116	3	6	FFfamiliar	b	214	190736	
117	3	7	FFfamiliar	e	213	191698	
118	3	8	FFfamiliar	a	331	192643	
119	3	9	FFfamiliar	f	199	193737	
120	3	10	FFfamiliar	i	366	194698	
121	4	1	FFnew	u	178	200844	
122	4	2	FFnew	q	269	201761	
123	4	3	FFnew	f	435	202789	
124	4	4	FFnew	FFnewTarget	213	203983	
125	4	5	FFnew	j	366	204944	
126	4	6	FFnew	t	286	206072	
127	4	7	FFnew	FFnewTarget	199	207116	
128	4	8	FFnew	p	214	208078	
129	4	9	FFnew	h	249	209040	
130	4	10	FFnew	t	331	210051	
131	4	1	letter	r	366	216164	
132	4	2	letter	z	178	217280	
133	4	3	letter	p	214	218208	
134	4	4	letter	b	331	219170	
135	4	5	letter	u	269	220247	
136	4	6	letter	e	286	221275	
137	4	7	letter	g	213	222320	
138	4	8	letter	m	249	223281	
139	4	9	letter	a	199	224293	
140	4	10	letter	t	435	225254	
141	4	1	FFtrained	V	213	235466	
142	4	2	FFtrained	R	178	236429	
143	4	3	FFtrained	0	331	237357	
144	4	4	FFtrained	E	214	238451	
145	4	5	FFtrained	I	269	239413	
146	4	6	FFtrained	A	435	240424	
147	4	7	FFtrained	3	366	241618	
148	4	8	FFtrained	:	286	242745	
149	4	9	FFtrained	FFtrainedTarget	249	243790	
150	4	10	FFtrained	N	199	244801	
151	4	1	FFfamiliar	i	286	248781	
152	4	2	FFfamiliar	a	331	249825	
153	4	3	FFfamiliar	e	269	250919	
154	4	4	FFfamiliar	FFfamiliarTarget	178	251947	
155	4	5	FFfamiliar	b	214	252875	
156	4	6	FFfamiliar	f	199	253837	
