trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFfamiliar	FFfamiliarTarget	423	
2	1	2	FFfamiliar	h	257	
3	1	3	FFfamiliar	g	207	
4	1	4	FFfamiliar	h	199	
5	1	5	FFfamiliar	e	408	
6	1	6	FFfamiliar	e	127	
7	1	7	FFfamiliar	a	333	
8	1	8	FFfamiliar	b	283	
9	1	9	FFfamiliar	a	118	
10	1	10	FFfamiliar	FFfamiliarTarget	202	
11	1	11	FFfamiliar	d	321	
12	1	12	FFfamiliar	f	472	
13	1	13	FFfamiliar	b	190	
14	1	14	FFfamiliar	c	215	
15	1	15	FFfamiliar	f	163	
16	1	16	FFfamiliar	d	255	
17	1	17	FFfamiliar	g	164	
18	1	18	FFfamiliar	c	151	
19	1	1	letter	d	118	
20	1	2	letter	letterTarget	215	
21	1	3	letter	b	333	
22	1	4	letter	b	202	
23	1	5	letter	u	199	
24	1	6	letter	u	321	
25	1	7	letter	q	190	
26	1	8	letter	p	255	
27	1	9	letter	e	423	
28	1	10	letter	e	207	
29	1	11	letter	q	151	
30	1	12	letter	p	164	
31	1	13	letter	d	127	
32	1	15	letter	m	283	
33	1	16	letter	n	408	
34	1	17	letter	m	163	
35	1	18	letter	n	472	
36	1	1	FFnew	f	164	
37	1	2	FFnew	e	472	
38	1	3	FFnew	h	118	
39	1	4	FFnew	g	207	
40	1	5	FFnew	c	199	
41	1	6	FFnew	c	190	
42	1	7	FFnew	b	333	
43	1	8	FFnew	e	215	
44	1	9	FFnew	d	151	
45	1	10	FFnew	d	163	
46	1	11	FFnew	a	127	
47	1	12	FFnew	FFnewTarget	423	
48	1	13	FFnew	h	283	
49	1	14	FFnew	a	321	
50	1	15	FFnew	f	255	
51	1	17	FFnew	g	202	
52	1	18	FFnew	b	408	
53	1	1	FFtrained	a	472	
54	1	2	FFtrained	e	321	
55	1	3	FFtrained	a	283	
56	1	4	FFtrained	c	151	
57	1	6	FFtrained	e	255	
58	1	7	FFtrained	d	257	
59	1	8	FFtrained	h	164	
60	1	9	FFtrained	f	215	
61	1	10	FFtrained	g	408	
62	1	11	FFtrained	f	333	
63	1	12	FFtrained	g	127	
64	1	13	FFtrained	b	163	
65	1	14	FFtrained	d	199	
66	1	16	FFtrained	h	207	
67	1	17	FFtrained	c	202	
68	1	18	FFtrained	b	190	
69	2	1	FFnew	c	118	
70	2	2	FFnew	a	127	
71	2	3	FFnew	FFnewTarget	190	
72	2	4	FFnew	e	408	
73	2	5	FFnew	h	472	
74	2	6	FFnew	a	164	
75	2	7	FFnew	d	151	
76	2	8	FFnew	c	423	
77	2	9	FFnew	d	202	
78	2	10	FFnew	b	283	
79	2	11	FFnew	f	199	
80	2	12	FFnew	b	163	
81	2	13	FFnew	e	215	
82	2	14	FFnew	g	255	
83	2	15	FFnew	g	321	
84	2	17	FFnew	f	257	
85	2	18	FFnew	h	333	
86	2	1	FFfamiliar	f	151	
87	2	2	FFfamiliar	FFfamiliarTarget	283	
88	2	4	FFfamiliar	h	472	
89	2	5	FFfamiliar	b	215	
