trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	letter	e	269	5023	
2	1	2	letter	t	366	6041	
3	1	3	letter	a	178	7168	
4	1	4	letter	z	286	8097	
5	1	5	letter	u	214	9141	
6	1	6	letter	g	213	10103	
7	1	7	letter	m	331	11065	
8	1	8	letter	p	199	12159	
9	1	9	letter	b	249	13120	
10	1	10	letter	r	435	14132	
11	1	1	FFfamiliar	h	435	18345	
12	1	2	FFfamiliar	g	331	19537	
13	1	3	FFfamiliar	a	269	20631	
14	1	4	FFfamiliar	c	286	21659	
15	1	5	FFfamiliar	j	366	22703	
16	1	6	FFfamiliar	FFfamiliarTarget	199	23831	
17	1	7	FFfamiliar	i	178	24792	
18	1	8	FFfamiliar	e	214	25721	
19	1	9	FFfamiliar	f	213	26682	
20	1	10	FFfamiliar	d	249	27644	
21	1	1	FFtrained	0	286	33674	
22	1	2	FFtrained	:	331	34707	
23	1	3	FFtrained	FFtrainedTarget	213	35801	
24	1	4	FFtrained	R	178	36763	
25	1	5	FFtrained	E	214	37691	
26	1	6	FFtrained	3	435	38653	
27	1	7	FFtrained	A	269	39846	
28	1	8	FFtrained	N	249	40874	
29	1	9	FFtrained	I	199	41886	
30	1	10	FFtrained	®	366	42847	
31	1	1	FFnew	Z	286	50994	
32	1	2	FFnew	N	199	52032	
33	1	3	FFnew	Y	366	52994	
34	1	4	FFnew	FFnewTarget	269	54121	
35	1	5	FFnew	L	331	55149	
36	1	6	FFnew	FFnewTarget	249	56243	
37	1	7	FFnew	b	178	57255	
38	1	8	FFnew	w	213	58183	
39	1	9	FFnew	P	435	59145	
40	1	10	FFnew	k	214	60339	
41	2	1	letter	g	213	70318	
42	2	2	letter	m	249	71281	
43	2	3	letter	t	199	72292	
44	2	4	letter	b	178	73254	
45	2	5	letter	z_target	286	74182	
46	2	6	letter	r	435	75227	
47	2	7	letter	e	366	76420	
48	2	8	letter	u	331	77548	
49	2	9	letter	p	269	78642	
50	2	10	letter	a	214	79670	
51	2	1	FFfamiliar	b	178	89650	
52	2	2	FFfamiliar	j	331	90579	
53	2	3	FFfamiliar	d	366	91673	
54	2	4	FFfamiliar	FFfamiliarTarget	286	92801	
55	2	5	FFfamiliar	e	213	93845	
56	2	6	FFfamiliar	a	435	94807	
57	2	7	FFfamiliar	i	249	96001	
58	2	8	FFfamiliar	h	199	97012	
59	2	9	FFfamiliar	g	214	97974	
60	2	10	FFfamiliar	f	269	98935	
61	2	1	FFtrained	3	199	106981	
62	2	2	FFtrained	A	178	107938	
63	2	3	FFtrained	FFtrainedTarget	214	108866	
64	2	4	FFtrained	V	269	109828	
65	2	5	FFtrained	®	435	110856	
66	2	6	FFtrained	I	286	112049	
67	2	7	FFtrained	R	249	113094	
68	2	8	FFtrained	N	331	114105	
69	2	9	FFtrained	FFtrainedTarget	213	115199	
70	2	10	FFtrained	:	366	116161	
71	2	1	FFnew	Z	269	122307	
72	2	2	FFnew	y	199	123323	
73	2	3	FFnew	L	249	124285	
74	2	4	FFnew	k	286	125296	
75	2	5	FFnew	K	178	126341	
76	2	6	FFnew	N	214	127269	
77	2	7	FFnew	Y	331	128231	
78	2	8	FFnew	b	213	129325	
79	2	9	FFnew	P	435	130287	
80	2	10	FFnew	w	366	131480	
81	3	1	letter	b	331	135626	
82	3	2	letter	p	214	136720	
83	3	3	letter	u_target	286	137681	
84	3	4	letter	m	269	138726	
85	3	5	letter	z	178	139754	
86	3	6	letter	g	213	140682	
87	3	7	letter	r	366	141644	
88	3	8	letter	t	199	142771	
89	3	9	letter	e	435	143733	
90	3	10	letter	a	249	144926	
91	3	1	FFfamiliar	g	435	152956	
92	3	2	FFfamiliar	a	213	154144	
93	3	3	FFfamiliar	d	199	155106	
94	3	4	FFfamiliar	FFfamiliarTarget	249	156068	
95	3	5	FFfamiliar	h	269	157079	
96	3	6	FFfamiliar	e	286	158107	
97	3	7	FFfamiliar	FFfamiliarTarget	214	159151	
98	3	8	FFfamiliar	j	366	160113	
99	3	9	FFfamiliar	f	178	161240	
100	3	10	FFfamiliar	b	331	162169	
101	3	1	FFtrained	R	331	166281	
102	3	2	FFtrained	3	269	167375	
103	3	3	FFtrained	:	366	168403	
104	3	4	FFtrained	E	199	169530	
105	3	5	FFtrained	®	214	170492	
106	3	6	FFtrained	V	286	171453	
107	3	7	FFtrained	N	213	172498	
108	3	8	FFtrained	I	249	173459	
109	3	9	FFtrained	A	435	174471	
110	3	10	FFtrained	0	178	175664	
111	3	1	FFnew	P	178	185611	
112	3	2	FFnew	y	286	186541	
113	3	3	FFnew	FFnewTarget	331	187585	
114	3	4	FFnew	L	199	188679	
115	3	5	FFnew	b	269	189641	
116	3	6	FFnew	k	435	190669	
117	3	7	FFnew	w	214	191863	
118	3	8	FFnew	Z	249	192824	
119	3	9	FFnew	K	366	193835	
120	3	10	FFnew	N	213	194963	
121	4	1	letter	t	269	200943	
122	4	2	letter	m	214	201959	
123	4	3	letter	a	178	202921	
124	4	4	letter	g_target	286	203849	
125	4	5	letter	p	249	204894	
126	4	6	letter	z	435	205905	
127	4	7	letter	u_target	213	207099	
128	4	8	letter	b	331	208061	
129	4	9	letter	r	199	209155	
130	4	10	letter	e	366	210116	
131	4	1	FFfamiliar	e	435	216262	
132	4	2	FFfamiliar	h	249	217445	
133	4	3	FFfamiliar	d	214	218456	
134	4	4	FFfamiliar	c	331	219417	
135	4	5	FFfamiliar	g	199	220512	
136	4	6	FFfamiliar	f	286	221473	
137	4	7	FFfamiliar	j	269	222518	
138	4	8	FFfamiliar	b	178	223546	
139	4	9	FFfamiliar	a	366	224474	
140	4	10	FFfamiliar	i	213	225602	
141	4	1	FFtrained	E	178	235581	
142	4	2	FFtrained	3	269	236511	
143	4	3	FFtrained	R	249	237539	
144	4	4	FFtrained	:	435	238550	
145	4	5	FFtrained	FFtrainedTarget	286	239744	
146	4	6	FFtrained	V	199	240788	
147	4	7	FFtrained	®	213	241750	
148	4	8	FFtrained	I	331	242711	
149	4	9	FFtrained	0	366	243806	
150	4	10	FFtrained	N	214	244933	
151	4	1	FFnew	Z	214	248913	
152	4	2	FFnew	w	249	249874	
153	4	3	FFnew	K	199	250885	
154	4	4	FFnew	P	178	251847	
155	4	5	FFnew	FFnewTarget	213	252775	
156	4	6	FFnew	y	269	253737	
157	4	7	FFnew	N	435	254765	
158	4	8	FFnew	b	331	255958	
159	4	9	FFnew	k	286	257053	
