trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFnew	k	199	10410	
2	1	2	FFnew	p	366	11365	
3	1	3	FFnew	t	178	12471	
4	1	4	FFnew	m	269	13394	
5	1	5	FFnew	n	213	14416	
6	1	6	FFnew	o	286	15372	
7	1	7	FFnew	l	435	16411	
8	1	8	FFnew	s	331	17601	
9	1	9	FFnew	r	214	18674	
10	1	10	FFnew	q	249	19629	
11	1	1	letter	b	435	23635	
12	1	2	letter	m	199	24826	
13	1	3	letter	t	269	25781	
14	1	4	letter	u	331	26804	
15	1	5	letter	a	178	27876	
16	1	6	letter	p	213	28798	
17	1	7	letter	e	214	29754	
18	1	8	letter	z	366	30709	
19	1	9	letter	letterTarget	286	31816	
20	1	10	letter	r	249	32855	
21	1	1	FFfamiliar	h	178	38861	
22	1	2	FFfamiliar	b	435	39779	
23	1	3	FFfamiliar	a	366	40969	
24	1	4	FFfamiliar	g	331	42075	
25	1	5	FFfamiliar	i	213	43148	
26	1	6	FFfamiliar	FFfamiliarTarget	269	44103	
27	1	7	FFfamiliar	d	249	45126	
28	1	8	FFfamiliar	f	214	46115	
29	1	9	FFfamiliar	e	286	47070	
30	1	10	FFfamiliar	c	199	48110	
31	1	1	FFtrained	E	249	56082	
32	1	2	FFtrained	:	178	57061	
33	1	3	FFtrained	FFtrainedTarget	199	57983	
34	1	4	FFtrained	R	213	58939	
35	1	5	FFtrained	0	269	59894	
36	1	6	FFtrained	I	286	60917	
37	1	7	FFtrained	®	435	61956	
38	1	8	FFtrained	N	366	63146	
39	1	9	FFtrained	FFtrainedTarget	214	64252	
40	1	10	FFtrained	3	331	65208	
41	2	1	FFnew	o	199	75298	
42	2	2	FFnew	p	249	76255	
43	2	3	FFnew	t	366	77244	
44	2	4	FFnew	s	213	78351	
45	2	5	FFnew	r	331	79306	
46	2	6	FFnew	FFnewTarget	269	80378	
47	2	7	FFnew	q	286	81402	
48	2	8	FFnew	l	178	82441	
49	2	9	FFnew	n	435	83363	
50	2	10	FFnew	m	214	84553	
51	2	1	letter	m	213	94525	
52	2	2	letter	z	199	95482	
53	2	3	letter	p	366	96437	
54	2	4	letter	e	286	97560	
55	2	5	letter	a	331	98600	
56	2	6	letter	letterTarget	214	99673	
57	2	7	letter	u	435	100628	
58	2	8	letter	b	269	101818	
59	2	9	letter	t	249	102841	
60	2	10	letter	r	178	103830	
61	2	1	FFfamiliar	i	286	111769	
62	2	2	FFfamiliar	b	269	112799	
63	2	3	FFfamiliar	f	249	113821	
64	2	4	FFfamiliar	c	214	114810	
65	2	5	FFfamiliar	FFfamiliarTarget	366	115765	
66	2	6	FFfamiliar	d	213	116872	
67	2	7	FFfamiliar	e	331	117828	
68	2	8	FFfamiliar	h	435	118901	
69	2	9	FFfamiliar	g	199	120091	
70	2	10	FFfamiliar	FFfamiliarTarget	178	121045	
71	2	1	FFtrained	N	199	126985	
72	2	2	FFtrained	®	178	127936	
73	2	3	FFtrained	I	269	128858	
74	2	4	FFtrained	0	331	129880	
75	2	5	FFtrained	:	435	130953	
76	2	6	FFtrained	R	249	132143	
77	2	7	FFtrained	A	366	133132	
78	2	8	FFtrained	E	213	134239	
79	2	9	FFtrained	3	286	135194	
80	2	10	FFtrained	V	214	136233	
81	3	1	FFnew	o	199	140206	
82	3	2	FFnew	m	249	141162	
83	3	3	FFnew	FFnewTarget	269	142150	
84	3	4	FFnew	t	366	143174	
85	3	5	FFnew	p	435	144280	
86	3	6	FFnew	r	213	145470	
87	3	7	FFnew	k	286	146425	
88	3	8	FFnew	s	331	147465	
89	3	9	FFnew	n	214	148538	
90	3	10	FFnew	q	178	149493	
91	3	1	letter	a	331	157431	
92	3	2	letter	g	249	158494	
93	3	3	letter	e	366	159483	
94	3	4	letter	letterTarget	435	160589	
95	3	5	letter	r	199	161780	
96	3	6	letter	letterTarget	269	162735	
97	3	7	letter	z	214	163758	
98	3	8	letter	p	286	164713	
99	3	9	letter	t	213	165752	
100	3	10	letter	m	178	166708	
101	3	1	FFfamiliar	d	435	170648	
102	3	2	FFfamiliar	c	213	171838	
103	3	3	FFfamiliar	f	249	172794	
104	3	4	FFfamiliar	e	286	173783	
105	3	5	FFfamiliar	a	199	174822	
106	3	6	FFfamiliar	b	366	175778	
107	3	7	FFfamiliar	g	331	
