trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	letter	t	178	
2	1	2	letter	m	435	
3	1	3	letter	b	213	
4	1	5	letter	e	331	
5	1	6	letter	z	286	
6	1	7	letter	p	249	
7	1	9	letter	u	199	
8	1	10	letter	g	214	
9	1	1	FFtrained	d	286	
10	1	2	FFtrained	FFtrainedTarget	331	
11	1	3	FFtrained	f	249	
12	1	5	FFtrained	e	435	
13	1	6	FFtrained	g	213	
14	1	7	FFtrained	a	199	
15	1	8	FFtrained	b	269	
16	1	9	FFtrained	h	214	
17	1	10	FFtrained	c	178	
18	1	1	FFnew	h	213	
19	1	2	FFnew	e	435	
20	1	3	FFnew	d	214	
21	1	4	FFnew	b	249	
22	1	5	FFnew	FFnewTarget	366	
23	1	6	FFnew	c	286	
24	1	8	FFnew	f	269	
25	1	9	FFnew	g	199	
26	1	10	FFnew	a	331	
27	1	1	FFfamiliar	d	199	
28	1	2	FFfamiliar	c	435	
29	1	3	FFfamiliar	h	331	
30	1	4	FFfamiliar	FFfamiliarTarget	269	
31	1	5	FFfamiliar	g	249	
32	1	6	FFfamiliar	b	366	
33	1	7	FFfamiliar	e	178	
34	1	8	FFfamiliar	f	214	
35	1	9	FFfamiliar	a	286	
36	1	10	FFfamiliar	FFfamiliarTarget	213	
37	2	1	letter	e	435	
38	2	2	letter	p	366	
39	2	3	letter	t	249	
40	2	4	letter	b	286	
41	2	5	letter	g	178	
42	2	6	letter	letterTarget	214	
43	2	7	letter	u	199	
44	2	9	letter	z	213	
45	2	10	letter	m	269	
46	2	1	FFtrained	g	178	
47	2	2	FFtrained	FFtrainedTarget	249	
48	2	3	FFtrained	b	199	
49	2	4	FFtrained	c	331	
50	2	5	FFtrained	e	286	
51	2	7	FFtrained	d	269	
52	2	8	FFtrained	f	214	
53	2	9	FFtrained	a	435	
54	2	10	FFtrained	h	366	
55	2	1	FFnew	g	249	
56	2	2	FFnew	f	178	
57	2	3	FFnew	b	214	
58	2	4	FFnew	d	199	
59	2	5	FFnew	a	435	
60	2	6	FFnew	e	286	
61	2	7	FFnew	h	331	
62	2	8	FFnew	c	213	
63	2	9	FFnew	FFnewTarget	366	
64	2	10	FFnew	FFnewTarget	269	
65	2	1	FFfamiliar	g	199	
66	2	2	FFfamiliar	f	178	
67	2	3	FFfamiliar	h	366	
68	2	5	FFfamiliar	a	435	
69	2	6	FFfamiliar	c	286	
70	2	7	FFfamiliar	d	213	
71	2	8	FFfamiliar	e	214	
72	2	10	FFfamiliar	b	269	
73	3	1	letter	b	331	
74	3	2	letter	p	269	
75	3	3	letter	u	435	
76	3	4	letter	z	178	
77	3	5	letter	e	249	
78	3	6	letter	letterTarget	213	
79	3	7	letter	g	286	
80	3	8	letter	m	199	
81	3	10	letter	t	366	
82	3	1	FFtrained	a	178	
83	3	2	FFtrained	b	331	
84	3	3	FFtrained	h	199	
85	3	4	FFtrained	f	269	
86	3	5	FFtrained	c	286	
87	3	6	FFtrained	FFtrainedTarget	249	
88	3	7	FFtrained	d	435	
89	3	8	FFtrained	FFtrainedTarget	214	
90	3	9	FFtrained	g	213	
91	3	10	FFtrained	e	366	
92	3	1	FFnew	g	214	
93	3	2	FFnew	c	286	
94	3	3	FFnew	h	178	
95	3	5	FFnew	b	199	
96	3	6	FFnew	d	435	
97	3	8	FFnew	a	249	
98	3	9	FFnew	f	269	
99	3	10	FFnew	e	331	
100	3	1	FFfamiliar	c	331	
101	3	2	FFfamiliar	a	286	
102	3	3	FFfamiliar	d	269	
103	3	4	FFfamiliar	e	435	
104	3	5	FFfamiliar	b	366	
105	3	6	FFfamiliar	h	249	
106	3	7	FFfamiliar	f	214	
107	3	8	FFfamiliar	FFfamiliarTarget	199	
108	3	10	FFfamiliar	g	178	
109	4	1	letter	m	435	
110	4	2	letter	letterTarget	286	
111	4	3	letter	e	331	
112	4	4	letter	p	214	
113	4	5	letter	g	269	
114	4	6	letter	b	366	
115	4	7	letter	u	249	
116	4	8	letter	z	178	
117	4	9	letter	t	213	
118	4	10	letter	letterTarget	199	
119	4	1	FFtrained	b	286	
120	4	2	FFtrained	a	214	
121	4	3	FFtrained	g	269	
122	4	4	FFtrained	d	199	
123	4	7	FFtrained	f	249	
124	4	8	FFtrained	h	435	
125	4	9	FFtrained	e	366	
126	4	10	FFtrained	c	331	
127	4	1	FFnew	e	249	
128	4	2	FFnew	FFnewTarget	286	
129	4	3	FFnew	f	214	
130	4	5	FFnew	g	269	
131	4	6	FFnew	a	199	
132	4	7	FFnew	d	331	
133	4	8	FFnew	b	435	
134	4	9	FFnew	c	178	
135	4	10	FFnew	h	366	
136	4	1	FFfamiliar	c	435	
137	4	2	FFfamiliar	f	331	
138	4	3	FFfamiliar	h	214	
139	4	4	FFfamiliar	d	178	
140	4	5	FFfamiliar	e	286	
141	4	6	FFfamiliar	FFfamiliarTarget	199	
142	4	7	FFfamiliar	a	249	
143	4	8	FFfamiliar	b	366	
144	4	9	FFfamiliar	g	213	
145	5	1	letter	b	199	
