trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFfamiliar	f	214	
2	1	2	FFfamiliar	b	435	
3	1	4	FFfamiliar	e	249	
4	1	5	FFfamiliar	g	213	
5	1	6	FFfamiliar	c	286	
6	1	8	FFfamiliar	d	366	
7	1	9	FFfamiliar	h	178	
8	1	10	FFfamiliar	a	199	
9	1	1	FFnew	b	366	
10	1	2	FFnew	g	199	
11	1	3	FFnew	a	213	
12	1	4	FFnew	d	249	
13	1	5	FFnew	c	269	
14	1	6	FFnew	FFnewTarget	331	
15	1	7	FFnew	f	214	
16	1	8	FFnew	h	435	
17	1	9	FFnew	e	178	
18	1	1	letter	letterTarget	269	
19	1	3	letter	m	178	
20	1	4	letter	t	199	
21	1	5	letter	g	249	
22	1	6	letter	e	214	
23	1	7	letter	b	286	
24	1	8	letter	u	213	
25	1	9	letter	z	366	
26	1	10	letter	p	331	
27	1	1	FFtrained	b	199	
28	1	2	FFtrained	h	269	
29	1	3	FFtrained	FFtrainedTarget	214	
30	1	4	FFtrained	a	178	
31	1	5	FFtrained	d	286	
32	1	6	FFtrained	g	213	
33	1	7	FFtrained	f	435	
34	1	8	FFtrained	e	366	
35	1	9	FFtrained	FFtrainedTarget	331	
36	1	10	FFtrained	c	249	
37	2	1	FFfamiliar	e	213	
