trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	letter	p	249	7191	
2	1	2	letter	r	269	8180	
3	1	3	letter	b	435	9202	
4	1	4	letter	z	213	10393	
5	1	5	letter	a	286	11348	
6	1	6	letter	g	331	12387	
7	1	7	letter	u	178	13460	
8	1	8	letter	m	199	14382	
9	1	9	letter	t	366	15338	
10	1	10	letter	e	214	16444	
11	1	1	FFfamiliar	d	269	20417	
12	1	2	FFfamiliar	b	286	21440	
13	1	3	FFfamiliar	g	214	22479	
14	1	4	FFfamiliar	c	178	23434	
15	1	5	FFfamiliar	f	435	24356	
16	1	6	FFfamiliar	a	199	25547	
17	1	7	FFfamiliar	e	213	26485	
18	1	8	FFfamiliar	j	366	27441	
19	1	9	FFfamiliar	h	249	28547	
20	1	10	FFfamiliar	FFfamiliarTarget	331	29536	
21	1	1	FFnew	a	435	35626	
22	1	2	FFnew	j	249	36811	
23	1	3	FFnew	FFnewTarget	269	37800	
24	1	4	FFnew	f	286	38823	
25	1	5	FFnew	i	199	39862	
26	1	6	FFnew	b	331	40801	
27	1	7	FFnew	h	178	41874	
28	1	8	FFnew	c	366	42796	
29	1	9	FFnew	e	214	43902	
30	1	10	FFnew	g	213	44858	
31	1	1	FFtrained	A	214	52830	
32	1	2	FFtrained	I	435	53775	
33	1	3	FFtrained	FFtrainedTarget	286	54965	
34	1	4	FFtrained	3	199	56005	
35	1	5	FFtrained	V	366	56944	
36	1	6	FFtrained	®	178	58050	
37	1	7	FFtrained	N	269	58972	
38	1	8	FFtrained	R	213	59994	
39	1	9	FFtrained	FFtrainedTarget	331	60950	
40	1	10	FFtrained	:	249	62023	
41	2	1	letter	e	366	72028	
42	2	2	letter	u	331	73136	
43	2	3	letter	p	435	74209	
44	2	4	letter	a	178	75399	
45	2	5	letter	z	213	76321	
46	2	6	letter	letterTarget	286	77277	
47	2	7	letter	b	269	78316	
48	2	8	letter	m	214	79339	
49	2	9	letter	t	249	80294	
50	2	10	letter	g	199	81283	
51	2	1	FFfamiliar	c	366	91240	
