trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFnew	c	269	
2	1	2	FFnew	d	249	
3	1	3	FFnew	b	214	
4	1	4	FFnew	g	199	
5	1	5	FFnew	e	213	
6	1	7	FFnew	h	435	
7	1	8	FFnew	a	331	
8	1	10	FFnew	f	286	
9	1	1	letter	m	249	
10	1	2	letter	p	178	
11	1	3	letter	e	269	
12	1	4	letter	u	214	
13	1	5	letter	b	366	
14	1	6	letter	letterTarget	213	
15	1	7	letter	g	199	
16	1	9	letter	t	286	
17	1	10	letter	z	331	
18	1	1	FFfamiliar	e	331	
19	1	2	FFfamiliar	f	366	
20	1	3	FFfamiliar	c	269	
21	1	4	FFfamiliar	FFfamiliarTarget	435	
22	1	5	FFfamiliar	d	249	
23	1	6	FFfamiliar	h	178	
24	1	7	FFfamiliar	g	286	
25	1	9	FFfamiliar	b	214	
26	1	10	FFfamiliar	a	199	
27	1	1	FFtrained	f	286	
28	1	2	FFtrained	g	435	
29	1	3	FFtrained	FFtrainedTarget	269	
30	1	4	FFtrained	c	213	
31	1	5	FFtrained	d	199	
32	1	6	FFtrained	FFtrainedTarget	214	
33	1	7	FFtrained	h	331	
34	1	8	FFtrained	b	366	
35	1	9	FFtrained	a	249	
36	1	10	FFtrained	e	178	
37	2	1	FFnew	b	269	
38	2	2	FFnew	a	199	
39	2	3	FFnew	c	286	
40	2	4	FFnew	g	435	
41	2	5	FFnew	f	213	
42	2	6	FFnew	FFnewTarget	366	
43	2	7	FFnew	d	331	
44	2	8	FFnew	e	214	
45	2	10	FFnew	h	249	
46	2	1	letter	e	199	
47	2	2	letter	u	435	
48	2	3	letter	g	249	
49	2	4	letter	b	213	
50	2	5	letter	m	286	
51	2	6	letter	z	178	
52	2	7	letter	t	214	
53	2	8	letter	letterTarget	331	
54	2	10	letter	p	366	
55	2	1	FFfamiliar	a	214	
56	2	2	FFfamiliar	f	366	
57	2	3	FFfamiliar	h	435	
58	2	4	FFfamiliar	FFfamiliarTarget	269	
59	2	5	FFfamiliar	b	213	
60	2	6	FFfamiliar	d	286	
61	2	7	FFfamiliar	e	249	
