trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFfamiliar	c	178	5015	
2	1	2	FFfamiliar	a	214	5940	
3	1	3	FFfamiliar	b	366	6902	
4	1	4	FFfamiliar	e	286	8029	
5	1	5	FFfamiliar	i	435	9074	
6	1	6	FFfamiliar	h	331	10267	
7	1	7	FFfamiliar	g	249	11362	
8	1	8	FFfamiliar	d	199	12373	
9	1	9	FFfamiliar	f	269	13335	
10	1	10	FFfamiliar	j	213	14363	
11	1	1	FFtrained	:	249	18343	
12	1	2	FFtrained	I	366	19353	
13	1	3	FFtrained	A	331	20480	
14	1	4	FFtrained	N	213	21575	
15	1	5	FFtrained	V	269	22536	
16	1	6	FFtrained	®	214	23564	
17	1	7	FFtrained	FFtrainedTarget	286	24526	
18	1	8	FFtrained	R	435	25554	
19	1	9	FFtrained	3	199	26747	
20	1	10	FFtrained	0	178	27709	
21	1	1	FFnew	Z	366	33656	
22	1	2	FFnew	K	213	34772	
23	1	3	FFnew	N	286	35733	
24	1	4	FFnew	k	249	36778	
25	1	5	FFnew	FFnewTarget	331	37789	
26	1	6	FFnew	P	435	38884	
27	1	7	FFnew	b	178	40077	
28	1	8	FFnew	Y	199	41005	
29	1	9	FFnew	w	214	41967	
30	1	10	FFnew	y	269	42929	
31	1	1	letter	t	435	50961	
32	1	2	letter	e	249	52147	
33	1	3	letter	g	213	53158	
34	1	4	letter	LetterTarget	178	54119	
35	1	5	letter	b	199	55048	
36	1	6	letter	LetterTarget	269	56009	
37	1	7	letter	m	331	57038	
38	1	8	letter	p	366	58132	
39	1	9	letter	u	286	59259	
40	1	10	letter	z	214	60304	
41	2	1	FFfamiliar	g	214	70284	
42	2	2	FFfamiliar	i	366	71246	
43	2	3	FFfamiliar	j	269	72373	
44	2	4	FFfamiliar	b	178	73401	
45	2	5	FFfamiliar	c	199	74330	
46	2	6	FFfamiliar	d	286	75291	
47	2	7	FFfamiliar	h	435	76336	
48	2	8	FFfamiliar	FFfamiliarTarget	331	77530	
49	2	9	FFfamiliar	e	213	78624	
50	2	10	FFfamiliar	a	249	79585	
51	2	1	FFtrained	0	435	89615	
52	2	2	FFtrained	I	214	90810	
53	2	3	FFtrained	:	213	91771	
54	2	4	FFtrained	N	366	92733	
55	2	5	FFtrained	A	249	93860	
56	2	6	FFtrained	V	269	94872	
57	2	7	FFtrained	3	286	95899	
58	2	8	FFtrained	®	331	96944	
59	2	9	FFtrained	FFtrainedTarget	199	98038	
60	2	10	FFtrained	R	178	99000	
61	2	1	FFnew	K	269	106947	
62	2	2	FFnew	L	199	107969	
63	2	3	FFnew	FFnewTarget	214	108931	
64	2	4	FFnew	w	286	109892	
65	2	5	FFnew	y	331	110937	
66	2	6	FFnew	N	249	112031	
67	2	7	FFnew	Y	435	113043	
68	2	8	FFnew	b	366	114236	
69	2	9	FFnew	FFnewTarget	213	115364	
70	2	10	FFnew	Z	178	116325	
71	2	1	letter	b	199	122272	
72	2	2	letter	m	366	123222	
73	2	3	letter	t	213	124350	
74	2	4	letter	z	249	125311	
75	2	5	letter	r	214	126323	
76	2	6	letter	e	178	127284	
77	2	7	letter	u	331	128213	
78	2	8	letter	p	435	129307	
79	2	9	letter	g	286	130501	
80	2	10	letter	a	269	131545	
81	3	1	FFfamiliar	b	286	135592	
82	3	2	FFfamiliar	f	214	136635	
83	3	3	FFfamiliar	e	249	137597	
84	3	4	FFfamiliar	a	269	138608	
85	3	5	FFfamiliar	i	199	139636	
86	3	6	FFfamiliar	c	213	140597	
87	3	7	FFfamiliar	h	435	141559	
88	3	8	FFfamiliar	j	178	142753	
89	3	9	FFfamiliar	d	331	143681	
90	3	10	FFfamiliar	FFfamiliarTarget	366	144775	
91	3	1	FFtrained	I	249	152921	
92	3	2	FFtrained	®	286	153927	
93	3	3	FFtrained	V	214	154972	
94	3	4	FFtrained	FFtrainedTarget	366	155933	
95	3	5	FFtrained	E	331	157061	
96	3	6	FFtrained	A	213	158155	
97	3	7	FFtrained	FFtrainedTarget	199	159117	
98	3	8	FFtrained	:	269	160078	
99	3	9	FFtrained	N	435	161106	
100	3	10	FFtrained	R	178	162300	
101	3	1	FFnew	Y	249	166247	
102	3	2	FFnew	K	178	167257	
103	3	3	FFnew	b	214	168185	
104	3	4	FFnew	P	199	169147	
105	3	5	FFnew	L	435	170109	
106	3	6	FFnew	N	366	171302	
107	3	7	FFnew	Z	213	172430	
108	3	8	FFnew	k	331	173391	
109	3	9	FFnew	y	286	174486	
110	3	10	FFnew	w	269	175530	
111	3	1	letter	z	249	185577	
112	3	2	letter	r	214	186589	
113	3	3	letter	m	178	187550	
114	3	4	letter	p	213	188479	
115	3	5	letter	u	199	189440	
116	3	6	letter	g	269	190402	
