trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFfamiliar	i	249	5016	
2	1	2	FFfamiliar	b	213	6023	
3	1	3	FFfamiliar	d	331	6985	
4	1	4	FFfamiliar	j	214	8079	
5	1	5	FFfamiliar	h	435	9041	
6	1	6	FFfamiliar	e	199	10218	
7	1	7	FFfamiliar	g	286	11180	
8	1	8	FFfamiliar	a	269	12224	
9	1	9	FFfamiliar	c	366	13252	
10	1	10	FFfamiliar	f	178	14379	
11	1	1	FFnew	t	214	18326	
12	1	2	FFnew	k	366	19287	
13	1	3	FFnew	m	286	20398	
14	1	4	FFnew	FFnewTarget	331	21442	
15	1	5	FFnew	l	199	22536	
16	1	6	FFnew	p	178	23498	
17	1	7	FFnew	r	435	24427	
18	1	8	FFnew	n	269	25620	
19	1	9	FFnew	q	213	26648	
20	1	10	FFnew	s	249	27610	
21	1	1	letter	p	213	33641	
22	1	2	letter	m	199	34590	
23	1	3	letter	g	286	35551	
24	1	4	letter	b	269	36596	
25	1	5	letter	u	178	37624	
26	1	6	letter	e_target	249	38552	
27	1	7	letter	z	331	39563	
28	1	8	letter	t	214	40658	
29	1	9	letter	r	366	41619	
30	1	10	letter	a	435	42730	
31	1	1	FFtrained	R	199	50942	
32	1	2	FFtrained	:	214	51899	
33	1	3	FFtrained	FFtrainedTarget	435	52860	
34	1	4	FFtrained	0	331	54037	
35	1	5	FFtrained	3	286	55132	
36	1	6	FFtrained	A	178	56176	
37	1	7	FFtrained	E	249	57104	
38	1	8	FFtrained	V	269	58116	
39	1	9	FFtrained	FFtrainedTarget	366	59144	
40	1	10	FFtrained	®	213	60271	
41	2	1	FFfamiliar	j	286	70251	
42	2	2	FFfamiliar	d	331	71296	
43	2	3	FFfamiliar	FFfamiliarTarget	435	72390	
44	2	4	FFfamiliar	f	214	73584	
45	2	5	FFfamiliar	g	178	74546	
46	2	6	FFfamiliar	c	199	75458	
47	2	7	FFfamiliar	e	366	76419	
48	2	8	FFfamiliar	b	249	77547	
49	2	9	FFfamiliar	i	213	78558	
50	2	10	FFfamiliar	h	269	79519	
51	2	1	FFnew	l	214	89566	
52	2	2	FFnew	p	178	90528	
53	2	3	FFnew	s	286	91440	
54	2	4	FFnew	m	213	92485	
55	2	5	FFnew	FFnewTarget	199	93446	
56	2	6	FFnew	t	249	94391	
57	2	7	FFnew	o	331	95402	
58	2	8	FFnew	q	269	96497	
59	2	9	FFnew	k	435	97525	
60	2	10	FFnew	n	366	98718	
61	2	1	letter	b	286	106864	
62	2	2	letter	g	199	107903	
63	2	3	letter	m	214	108865	
64	2	4	letter	p_target	366	109826	
65	2	5	letter	u	331	110954	
66	2	6	letter	r	435	112048	
67	2	7	letter	a_target	249	113242	
68	2	8	letter	t	213	114253	
69	2	9	letter	e	178	115215	
70	2	10	letter	z	269	116143	
71	2	1	FFtrained	N	286	122189	
72	2	2	FFtrained	3	435	123223	
73	2	3	FFtrained	R	178	124416	
74	2	4	FFtrained	:	269	125345	
75	2	5	FFtrained	A	249	126373	
76	2	6	FFtrained	V	214	127384	
77	2	7	FFtrained	0	366	128346	
78	2	8	FFtrained	E	199	129457	
79	2	9	FFtrained	I	331	130418	
80	2	10	FFtrained	®	213	131512	
81	3	1	FFfamiliar	e	249	135492	
82	3	2	FFfamiliar	d	366	136503	
83	3	3	FFfamiliar	a	199	137630	
84	3	4	FFfamiliar	j	331	138592	
85	3	5	FFfamiliar	i	213	139686	
86	3	6	FFfamiliar	b	178	140648	
87	3	7	FFfamiliar	f	286	141576	
88	3	8	FFfamiliar	c	214	142620	
89	3	9	FFfamiliar	h	269	143582	
90	3	10	FFfamiliar	FFfamiliarTarget	435	144593	
91	3	1	FFnew	m	435	152805	
92	3	2	FFnew	l	286	153994	
93	3	3	FFnew	t	269	155038	
94	3	4	FFnew	FFnewTarget	214	156066	
95	3	5	FFnew	s	199	157028	
96	3	6	FFnew	FFnewTarget	366	157990	
97	3	7	FFnew	n	178	159117	
98	3	8	FFnew	o	213	160045	
99	3	9	FFnew	k	331	161007	
100	3	10	FFnew	q	249	162101	
101	3	1	letter	g	286	166131	
102	3	2	letter	m	214	167175	
103	3	3	letter	z	366	168136	
104	3	4	letter	a	331	169263	
105	3	5	letter	t	178	170358	
106	3	6	letter	e	199	171286	
107	3	7	letter	r	435	172248	
108	3	8	letter	p	213	173441	
109	3	9	letter	u	249	174403	
110	3	10	letter	b	269	175414	
111	3	1	FFtrained	3	214	185461	
112	3	2	FFtrained	V	366	186423	
113	3	3	FFtrained	E	199	187534	
114	3	4	FFtrained	R	269	188495	
115	3	5	FFtrained	®	249	189523	
116	3	6	FFtrained	:	286	190535	
117	3	7	FFtrained	A	178	191579	
118	3	8	FFtrained	FFtrainedTarget	331	192508	
119	3	9	FFtrained	N	213	193602	
120	3	10	FFtrained	I	435	194564	
121	4	1	FFfamiliar	c	331	200776	
122	4	2	FFfamiliar	i	249	201858	
123	4	3	FFfamiliar	h	199	202870	
124	4	4	FFfamiliar	FFfamiliarTarget	269	203831	
125	4	5	FFfamiliar	a	366	204859	
126	4	6	FFfamiliar	d	435	205987	
127	4	7	FFfamiliar	FFfamiliarTarget	213	207180	
128	4	8	FFfamiliar	e	178	208142	
129	4	9	FFfamiliar	b	214	209070	
130	4	10	FFfamiliar	j	286	210032	
131	4	1	FFnew	m	331	216078	
132	4	2	FFnew	n	269	217162	
133	4	3	FFnew	p	213	218189	
134	4	4	FFnew	q	366	219151	
135	4	5	FFnew	s	214	220278	
136	4	6	FFnew	r	249	221240	
137	4	7	FFnew	o	435	222234	
138	4	8	FFnew	k	178	223428	
139	4	9	FFnew	t	199	224357	
140	4	10	FFnew	l	286	225318	
141	4	1	letter	m	286	235381	
142	4	2	letter	b	249	236426	
143	4	3	letter	z	213	237438	
144	4	4	letter	u	331	238399	
145	4	5	letter	a_target	214	239493	
146	4	6	letter	p	269	240455	
147	4	7	letter	t	199	241483	
148	4	8	letter	e	178	242445	
149	4	9	letter	g	366	243373	
150	4	10	letter	r	435	244500	
151	4	1	FFtrained	E	366	248713	
152	4	2	FFtrained	N	199	249839	
153	4	3	FFtrained	3	435	250801	
154	4	4	FFtrained	R	286	251994	
155	4	5	FFtrained	I	249	253039	
156	4	6	FFtrained	V	178	254050	
157	4	7	FFtrained	FFtrainedTarget	269	254979	
158	4	8	FFtrained	:	213	256007	
159	4	9	FFtrained	A	214	256968	
160	4	10	FFtrained	0	331	257930	
161	5	1	FFfamiliar	j	366	266026	
162	5	2	FFfamiliar	c	213	267148	
163	5	3	FFfamiliar	g	331	268109	
164	5	4	FFfamiliar	a	269	269204	
165	5	5	FFfamiliar	FFfamiliarTarget	178	270232	
166	5	6	FFfamiliar	f	249	271160	
167	5	7	FFfamiliar	b	435	272171	
168	5	8	FFfamiliar	d	286	273365	
169	5	9	FFfamiliar	e	214	274410	
170	5	10	FFfamiliar	h	199	275371	
171	5	1	FFnew	q	435	285335	
172	5	2	FFnew	r	366	286529	
173	5	3	FFnew	m	269	287657	
174	5	4	FFnew	k	249	288684	
175	5	5	FFnew	FFnewTarget	199	289696	
176	5	6	FFnew	o	178	290657	
177	5	7	FFnew	FFnewTarget	331	291586	
178	5	8	FFnew	l	286	292680	
179	5	9	FFnew	s	214	293725	
180	5	10	FFnew	n	213	294686	
181	5	1	letter	p	199	298649	
182	5	2	letter	m	331	299610	
183	5	3	letter	b	213	300704	
184	5	4	letter	u	178	301666	
185	5	5	letter	e	286	302594	
186	5	6	letter	g	214	303639	
187	5	7	letter	z	366	304601	
188	5	8	letter	a	435	305728	
189	5	9	letter	r	269	306922	
190	5	10	letter	t	249	307950	
191	5	1	FFtrained	E	331	313979	
192	5	2	FFtrained	N	435	315062	
193	5	3	FFtrained	:	214	316256	
194	5	4	FFtrained	R	213	317217	
195	5	5	FFtrained	0	178	318162	
196	5	6	FFtrained	FFtrainedTarget	366	319091	
197	5	7	FFtrained	A	269	320218	
198	5	8	FFtrained	3	249	321246	
199	5	9	FFtrained	V	286	322258	
200	5	10	FFtrained	I	199	323302	
201	6	1	FFfamiliar	h	366	331282	
202	6	2	FFfamiliar	i	269	332404	
203	6	3	FFfamiliar	FFfamiliarTarget	331	333432	
204	6	4	FFfamiliar	f	435	334526	
205	6	5	FFfamiliar	c	249	335720	
206	6	6	FFfamiliar	d	214	336731	
207	6	7	FFfamiliar	e	178	337693	
208	6	8	FFfamiliar	b	213	338605	
209	6	9	FFfamiliar	FFfamiliarTarget	199	339566	
210	6	10	FFfamiliar	g	286	340528	
211	6	1	FFnew	s	249	348591	
212	6	2	FFnew	k	435	349597	
213	6	3	FFnew	t	366	350791	
214	6	4	FFnew	m	286	351918	
215	6	5	FFnew	q	331	352962	
216	6	6	FFnew	l	213	354057	
217	6	7	FFnew	n	199	355018	
218	6	8	FFnew	p	214	355980	
219	6	9	FFnew	r	269	356942	
220	6	10	FFnew	o	178	357953	
221	6	1	letter	z	366	363900	
222	6	2	letter	m	249	365016	
223	6	3	letter	b	331	366027	
224	6	4	letter	t	286	367121	
225	6	5	letter	e_target	214	368166	
226	6	6	letter	p	178	369127	
227	6	7	letter	r	435	370056	
228	6	8	letter	a	213	371250	
229	6	9	letter	u	269	372211	
230	6	10	letter	g	199	373239	
231	6	1	FFtrained	0	178	383219	
232	6	2	FFtrained	®	269	384148	
233	6	3	FFtrained	E	249	385176	
234	6	4	FFtrained	V	435	386187	
235	6	5	FFtrained	R	199	387381	
236	6	6	FFtrained	3	214	388343	
237	6	7	FFtrained	FFtrainedTarget	213	389304	
238	6	8	FFtrained	N	331	390249	
239	6	9	FFtrained	I	366	391344	
240	6	10	FFtrained	:	286	392471	
241	7	1	FFfamiliar	f	214	396534	
242	7	2	FFfamiliar	g	213	397495	
243	7	3	FFfamiliar	d	249	398440	
244	7	4	FFfamiliar	j	178	399434	
245	7	5	FFfamiliar	i	331	400363	
246	7	6	FFfamiliar	c	366	401457	
247	7	7	FFfamiliar	h	269	402585	
248	7	8	FFfamiliar	e	199	403612	
249	7	9	FFfamiliar	b	435	404574	
250	7	10	FFfamiliar	a	286	405768	
251	7	1	FFnew	s	286	411831	
252	7	2	FFnew	t	435	412864	
253	7	3	FFnew	l	366	414057	
254	7	4	FFnew	k	331	415185	
255	7	5	FFnew	FFnewTarget	249	416279	
256	7	6	FFnew	m	269	417290	
257	7	7	FFnew	r	178	418318	
258	7	8	FFnew	n	214	419247	
259	7	9	FFnew	p	199	420208	
260	7	10	FFnew	q	213	421153	
261	7	1	letter	p	178	429133	
262	7	2	letter	u	269	430057	
263	7	3	letter	a	435	431084	
264	7	4	letter	m	249	432278	
265	7	5	letter	z	331	433289	
266	7	6	letter	e	214	434384	
267	7	7	letter	b_target	199	435345	
268	7	8	letter	r	366	436290	
269	7	9	letter	g	213	437418	
270	7	10	letter	t	286	438379	
271	7	1	FFtrained	N	269	442442	
272	7	2	FFtrained	®	286	443469	
273	7	3	FFtrained	R	214	444514	
274	7	4	FFtrained	A	249	445475	
275	7	5	FFtrained	E	199	446470	
276	7	6	FFtrained	V	178	447432	
277	7	7	FFtrained	FFtrainedTarget	366	448360	
278	7	8	FFtrained	:	331	449487	
279	7	9	FFtrained	FFtrainedTarget	213	450582	
280	7	10	FFtrained	3	435	451543	
281	8	1	FFfamiliar	b	331	461755	
282	8	2	FFfamiliar	c	213	462850	
283	8	3	FFfamiliar	i	199	463812	
284	8	4	FFfamiliar	e	435	464774	
285	8	5	FFfamiliar	a	214	465967	
286	8	6	FFfamiliar	g	178	466929	
287	8	7	FFfamiliar	d	286	467841	
288	8	8	FFfamiliar	f	269	468885	
289	8	9	FFfamiliar	h	366	469913	
290	8	10	FFfamiliar	FFfamiliarTarget	249	471041	
291	8	1	FFnew	p	249	475070	
292	8	2	FFnew	m	213	476081	
293	8	3	FFnew	FFnewTarget	435	477042	
294	8	4	FFnew	o	331	478236	
295	8	5	FFnew	t	286	479330	
296	8	6	FFnew	l	366	480375	
297	8	7	FFnew	r	214	481502	
298	8	8	FFnew	k	178	482464	
299	8	9	FFnew	n	199	483376	
300	8	10	FFnew	q	269	484337	
301	8	1	letter	z	213	494383	
302	8	2	letter	p	269	495346	
303	8	3	letter	e_target	178	496374	
304	8	4	letter	t	214	497302	
305	8	5	letter	b_target	435	498264	
306	8	6	letter	u	366	499458	
307	8	7	letter	m	331	500585	
308	8	8	letter	g	249	501679	
309	8	9	letter	a	199	502691	
310	8	10	letter	r	286	503652	
311	8	1	FFtrained	E	199	511715	
312	8	2	FFtrained	N	269	512671	
313	8	3	FFtrained	:	435	513699	
314	8	4	FFtrained	I	178	514893	
315	8	5	FFtrained	0	214	515821	
316	8	6	FFtrained	®	249	516783	
317	8	7	FFtrained	A	286	517778	
318	8	8	FFtrained	V	331	518822	
319	8	9	FFtrained	3	213	519916	
320	8	10	FFtrained	R	366	520878	
