Scenario - 
Logfile written - 03/26/2021 14:28:36

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

GPL001	1	Response	20	138982	138817	0
GPL001	2	Picture	start	139101	0	1	620042	193	0	next	other	0
GPL001	2	Response	20	176423	37322	0
GPL001	3	Pulse	199	759143	582720	0
GPL001	3	Picture	100	759143	582720	193	50096	193	0	50000	other	0
GPL001	4	Picture	60	809405	0	1	7129	1	0	7000	other	0
GPL001	5	Picture	40	816700	0	1	2819	1	0	2690	other	0
GPL001	6	Picture	60	819684	0	1	7129	1	0	7000	other	0
GPL001	7	Picture	40	826979	0	1	2984	1	0	2860	other	0
GPL001	8	Picture	60	830129	0	1	7129	1	0	7000	other	0
GPL001	9	Picture	40	837424	0	1	2155	1	0	2130	other	0
GPL001	10	Picture	60	839745	0	1	7129	1	0	7000	other	0
GPL001	11	Picture	40	847040	0	1	3813	1	0	3660	other	0
GPL001	12	Picture	60	851019	0	1	7129	1	0	7000	other	0
GPL001	13	Picture	40	858314	0	1	4476	1	0	4350	other	0
GPL001	14	Picture	60	862957	0	1	7129	1	0	7000	other	0
GPL001	15	Picture	40	870251	0	1	1824	1	0	1780	other	0
GPL001	16	Picture	60	872241	0	1	7129	1	0	7000	other	0
GPL001	17	Picture	40	879536	0	1	2155	1	0	2140	other	0
GPL001	18	Picture	60	881701	0	322	7119	322	0	7000	other	0
GPL001	19	Picture	40	888986	0	1	3482	1	0	3310	other	0
GPL001	20	Picture	60	892634	0	1	7129	1	0	7000	other	0
GPL001	21	Picture	40	899929	0	1	2155	1	0	1990	other	0
GPL001	22	Picture	60	902250	0	1	7129	1	0	7000	other	0
GPL001	23	Picture	40	909545	0	1	2653	1	0	2490	other	0
GPL001	24	Picture	50	912363	0	1	30340	1	0	next	other	0
GPL001	25	Picture	70	942703	0	1	7129	1	0	7000	other	0
GPL001	26	Picture	40	949998	0	1	3482	1	0	3310	other	0
GPL001	27	Picture	70	953646	0	1	7129	1	0	7000	other	0
GPL001	28	Picture	40	960941	0	1	4476	1	0	4350	other	0
GPL001	29	Picture	70	965583	0	1	7129	1	0	7000	other	0
GPL001	30	Picture	40	972878	0	1	2155	1	0	2130	other	0
GPL001	31	Picture	70	975199	0	1	7129	1	0	7000	other	0
GPL001	32	Picture	40	982494	0	1	2984	1	0	2860	other	0
GPL001	33	Picture	70	985644	0	1	7129	1	0	7000	other	0
GPL001	34	Picture	40	992939	0	1	1824	1	0	1780	other	0
GPL001	35	Picture	70	994928	0	1	7129	1	0	7000	other	0
GPL001	36	Picture	40	1002223	0	1	2653	1	0	2490	other	0
GPL001	37	Picture	70	1005042	0	1	7129	1	0	7000	other	0
GPL001	38	Picture	40	1012337	0	1	3813	1	0	3660	other	0
GPL001	39	Picture	70	1016316	0	1	7129	1	0	7000	other	0
GPL001	40	Picture	40	1023611	0	1	2155	1	0	2140	other	0
GPL001	41	Picture	75	1025776	0	322	7119	322	0	7000	hit	44
GPL001	41	Response	25	1029743	3967	0
GPL001	42	Picture	40	1033061	0	1	2155	1	0	1990	other	0
GPL001	43	Picture	70	1035382	0	1	7129	1	0	7000	other	0
GPL001	44	Picture	40	1042677	0	1	2819	1	0	2690	other	0
GPL001	45	Picture	50	1045661	0	1	50235	1	0	next	other	0
GPL001	46	Picture	80	1095897	0	1	7129	1	0	7000	other	0
GPL001	47	Picture	40	1103192	0	1	3813	1	0	3660	other	0
GPL001	48	Picture	80	1107171	0	1	7129	1	0	7000	other	0
