trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFtrained	N	213	5015	
2	1	2	FFtrained	E	249	5974	
3	1	3	FFtrained	V	435	6985	
4	1	4	FFtrained	3	331	8179	
5	1	5	FFtrained	:	178	9273	
6	1	6	FFtrained	0	269	10201	
7	1	7	FFtrained	®	214	11229	
8	1	8	FFtrained	A	199	12191	
9	1	9	FFtrained	I	286	13153	
10	1	10	FFtrained	R	366	14197	
11	1	1	letter	b	178	18344	
12	1	2	letter	p	331	19270	
13	1	3	letter	m	199	20365	
14	1	4	letter	t	286	21326	
15	1	5	letter	g	249	22371	
16	1	6	letter	z	366	23382	
17	1	7	letter	LetterTarget	435	24509	
18	1	8	letter	u	213	25703	
19	1	9	letter	e	269	26665	
20	1	10	letter	a	214	27693	
21	1	1	FFnew	t	213	33687	
22	1	2	FFnew	q	435	34640	
23	1	3	FFnew	p	366	35833	
24	1	4	FFnew	h	199	36961	
25	1	5	FFnew	u	249	37922	
26	1	6	FFnew	j	286	38934	
27	1	7	FFnew	f	331	39978	
28	1	8	FFnew	c	269	41072	
29	1	9	FFnew	FFnewTarget	214	42100	
30	1	10	FFnew	l	178	43062	
31	1	1	FFfamiliar	j	213	51026	
32	1	2	FFfamiliar	b	331	51982	
33	1	3	FFfamiliar	FFfamiliarTarget	249	53076	
34	1	4	FFfamiliar	d	199	54087	
35	1	5	FFfamiliar	c	269	55049	
36	1	6	FFfamiliar	i	366	56077	
37	1	7	FFfamiliar	e	435	57204	
38	1	8	FFfamiliar	f	286	58398	
39	1	9	FFfamiliar	FFfamiliarTarget	178	59442	
40	1	10	FFfamiliar	a	214	60371	
41	2	1	FFtrained	3	331	70335	
42	2	2	FFtrained	N	286	71429	
43	2	3	FFtrained	I	269	72473	
44	2	4	FFtrained	:	214	73501	
45	2	5	FFtrained	V	213	74463	
46	2	6	FFtrained	FFtrainedTarget	199	75425	
47	2	7	FFtrained	0	435	76386	
48	2	8	FFtrained	R	249	77580	
49	2	9	FFtrained	A	178	78591	
50	2	10	FFtrained	E	366	79520	
51	2	1	letter	g	178	89666	
52	2	2	letter	t	435	90595	
53	2	3	letter	m	331	91788	
54	2	4	letter	LetterTarget	213	92883	
55	2	5	letter	b	366	93844	
56	2	6	letter	r	249	94972	
57	2	7	letter	a	286	95983	
