trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFtrained	:	178	5025	
2	1	2	FFtrained	3	286	5940	
3	1	3	FFtrained	E	366	6984	
4	1	4	FFtrained	I	214	8112	
5	1	5	FFtrained	0	269	9073	
6	1	6	FFtrained	N	331	10085	
7	1	7	FFtrained	®	249	11179	
8	1	8	FFtrained	V	435	12190	
9	1	9	FFtrained	A	213	13384	
10	1	10	FFtrained	R	199	14346	
11	1	1	FFfamiliar	j	366	18334	
12	1	2	FFfamiliar	b	286	19452	
13	1	3	FFfamiliar	e	178	20496	
14	1	4	FFfamiliar	a	331	21425	
15	1	5	FFfamiliar	d	249	22519	
16	1	6	FFfamiliar	c	199	23531	
17	1	7	FFfamiliar	FFfamiliarTarget	214	24492	
18	1	8	FFfamiliar	f	269	25454	
19	1	9	FFfamiliar	h	213	26482	
20	1	10	FFfamiliar	i	435	27443	
21	1	1	FFnew	l	435	33656	
22	1	2	FFnew	f	178	34837	
23	1	3	FFnew	t	213	35766	
24	1	4	FFnew	t	269	36728	
25	1	5	FFnew	q	199	37756	
26	1	6	FFnew	u	286	38717	
27	1	7	FFnew	c	331	39762	
28	1	8	FFnew	h	249	40856	
29	1	9	FFnew	FFnewTarget	214	41867	
30	1	10	FFnew	j	366	42829	
31	1	1	letter	g	286	50961	
32	1	2	letter	r	435	51998	
33	1	3	letter	LetterTarget	213	53191	
34	1	4	letter	b	331	54152	
35	1	5	letter	u	199	55247	
36	1	6	letter	m	249	56208	
37	1	7	letter	t	214	57220	
38	1	8	letter	p	178	58181	
39	1	9	letter	LetterTarget	269	59093	
40	1	10	letter	z	366	60121	
41	2	1	FFtrained	N	366	70268	
42	2	2	FFtrained	:	214	71395	
43	2	3	FFtrained	3	249	72356	
44	2	4	FFtrained	FFtrainedTarget	213	73368	
45	2	5	FFtrained	E	178	74329	
46	2	6	FFtrained	R	199	75258	
47	2	7	FFtrained	A	286	76219	
48	2	8	FFtrained	0	331	77264	
49	2	9	FFtrained	I	435	78358	
50	2	10	FFtrained	®	269	79552	
51	2	1	FFfamiliar	e	178	89600	
52	2	2	FFfamiliar	d	213	90527	
53	2	3	FFfamiliar	FFfamiliarTarget	269	91489	
54	2	4	FFfamiliar	j	366	92517	
55	2	5	FFfamiliar	i	331	93644	
56	2	6	FFfamiliar	c	249	94739	
57	2	7	FFfamiliar	h	286	95750	
58	2	8	FFfamiliar	f	214	96794	
59	2	9	FFfamiliar	b	199	97756	
60	2	10	FFfamiliar	a	435	98701	
61	2	1	FFnew	p	178	106915	
62	2	2	FFnew	l	331	107836	
63	2	3	FFnew	t	366	108930	
64	2	4	FFnew	FFnewTarget	269	110058	
65	2	5	FFnew	u	249	111086	
66	2	6	FFnew	q	435	112097	
67	2	7	FFnew	FFnewTarget	213	113291	
68	2	8	FFnew	c	199	114252	
69	2	9	FFnew	j	286	115214	
70	2	10	FFnew	t	214	116259	
71	2	1	letter	m	214	122240	
72	2	2	letter	p	435	123189	
73	2	3	letter	g	249	124382	
74	2	4	letter	e	286	125394	
75	2	5	letter	a	178	126438	
76	2	6	letter	t	331	127367	
77	2	7	letter	u	199	128461	
78	2	8	letter	r	366	129423	
79	2	9	letter	z	269	130550	
80	2	10	letter	b	213	131578	
81	3	1	FFtrained	E	366	135559	
82	3	2	FFtrained	A	269	136684	
83	3	3	FFtrained	R	213	137712	
84	3	4	FFtrained	I	199	138674	
85	3	5	FFtrained	0	214	139635	
86	3	6	FFtrained	®	331	140597	
