trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFnew	f	214	5014	
2	1	2	FFnew	u	286	5970	
3	1	3	FFnew	l	213	6998	
4	1	4	FFnew	s	178	7960	
5	1	5	FFnew	c	199	8888	
6	1	6	FFnew	h	269	9850	
7	1	7	FFnew	t	366	10878	
8	1	8	FFnew	p	249	12005	
9	1	9	FFnew	j	331	13017	
10	1	10	FFnew	t	435	14111	
11	1	1	FFfamiliar	e	249	18325	
12	1	2	FFfamiliar	c	286	19333	
13	1	3	FFfamiliar	d	435	20378	
14	1	4	FFfamiliar	j	199	21572	
15	1	5	FFfamiliar	FFfamiliarTarget	331	22533	
16	1	6	FFfamiliar	b	214	23627	
17	1	7	FFfamiliar	h	366	24606	
18	1	8	FFfamiliar	g	269	25733	
19	1	9	FFfamiliar	i	213	26761	
20	1	10	FFfamiliar	a	178	27723	
21	1	1	FFtrained	R	178	33670	
22	1	2	FFtrained	:	213	34586	
23	1	3	FFtrained	4	331	35548	
24	1	4	FFtrained	3	249	36642	
25	1	5	FFtrained	N	269	37654	
26	1	6	FFtrained	E	366	38681	
27	1	7	FFtrained	0	199	39809	
28	1	8	FFtrained	I	435	40770	
29	1	9	FFtrained	A	286	41964	
30	1	10	FFtrained	FFtrainedTarget	214	43009	
31	1	1	letter	e	199	50975	
32	1	2	letter	b	366	51928	
33	1	3	letter	LetterTarget	435	53055	
34	1	4	letter	m	213	54249	
35	1	5	letter	z	286	55211	
36	1	6	letter	a	269	56255	
37	1	7	letter	u	249	57283	
38	1	8	letter	p	214	58295	
39	1	9	letter	LetterTarget	331	59256	
40	1	10	letter	g	178	60351	
41	2	1	FFnew	t	286	70297	
42	2	2	FFnew	f	269	71342	
43	2	3	FFnew	u	199	72370	
44	2	4	FFnew	t	249	73332	
45	2	5	FFnew	c	178	74343	
46	2	6	FFnew	h	435	75272	
47	2	7	FFnew	p	331	76466	
48	2	8	FFnew	FFnewTarget	366	77560	
49	2	9	FFnew	j	213	78687	
50	2	10	FFnew	l	214	79649	
51	2	1	FFfamiliar	e	269	89629	
52	2	2	FFfamiliar	g	214	90657	
53	2	3	FFfamiliar	j	331	91619	
54	2	4	FFfamiliar	FFfamiliarTarget	286	92697	
55	2	5	FFfamiliar	h	213	93741	
56	2	6	FFfamiliar	f	199	94703	
57	2	7	FFfamiliar	c	249	95664	
58	2	8	FFfamiliar	i	366	96676	
59	2	9	FFfamiliar	b	435	97803	
60	2	10	FFfamiliar	d	178	98997	
61	2	1	FFtrained	A	331	106944	
62	2	2	FFtrained	N	286	108033	
63	2	3	FFtrained	I	435	109077	
64	2	4	FFtrained	FFtrainedTarget	249	110271	
65	2	5	FFtrained	R	178	111282	
66	2	6	FFtrained	:	366	112211	
67	2	7	FFtrained	FFtrainedTarget	199	113338	
68	2	8	FFtrained	0	214	114300	
69	2	9	FFtrained	E	213	115261	
70	2	10	FFtrained	V	269	116206	
71	2	1	letter	a	214	122253	
72	2	2	letter	u	213	123203	
73	2	3	letter	p	435	124148	
74	2	4	letter	b	286	125341	
75	2	5	letter	r	269	126386	
76	2	6	letter	e	366	127414	
77	2	7	letter	z	331	128541	
78	2	8	letter	t	178	129635	
79	2	9	letter	m	199	130564	
80	2	10	letter	g	249	131526	
81	3	1	FFnew	f	269	135555	
82	3	2	FFnew	c	199	136582	
83	3	3	FFnew	h	249	137544	
84	3	4	FFnew	t	435	138555	
85	3	5	FFnew	j	178	139749	
86	3	6	FFnew	s	213	140677	
87	3	7	FFnew	l	286	141639	
88	3	8	FFnew	FFnewTarget	214	142683	
89	3	9	FFnew	t	366	143645	
90	3	10	FFnew	p	331	144756	
91	3	1	FFfamiliar	g	199	152869	
92	3	2	FFfamiliar	d	214	153825	
93	3	3	FFfamiliar	a	331	154786	
94	3	4	FFfamiliar	FFfamiliarTarget	178	155864	
95	3	5	FFfamiliar	c	249	156792	
96	3	6	FFfamiliar	FFfamiliarTarget	213	157804	
97	3	7	FFfamiliar	b	435	158765	
98	3	8	FFfamiliar	h	286	159959	
99	3	9	FFfamiliar	f	366	161004	
100	3	10	FFfamiliar	e	269	162131	
101	3	1	FFtrained	R	366	166177	
102	3	2	FFtrained	E	213	167304	
103	3	3	FFtrained	:	435	168265	
104	3	4	FFtrained	4	199	169459	
105	3	5	FFtrained	N	178	170421	
106	3	6	FFtrained	I	331	171349	
107	3	7	FFtrained	3	269	172443	
108	3	8	FFtrained	A	214	173471	
109	3	9	FFtrained	V	249	174449	
110	3	10	FFtrained	0	286	175461	
111	3	1	letter	m	366	185524	
112	3	2	letter	z	331	186652	
113	3	3	letter	g	435	187746	
114	3	4	letter	r	199	188940	
115	3	5	letter	p	286	189901	
116	3	6	letter	u	213	190946	
117	3	7	letter	e	178	191908	
118	3	8	letter	a	269	192836	
119	3	9	letter	LetterTarget	249	193864	
120	3	10	letter	t	214	194875	
121	4	1	FFnew	p	199	200840	
122	4	2	FFnew	l	435	201789	
123	4	3	FFnew	c	286	202982	
124	4	4	FFnew	FFnewTarget	249	204027	
125	4	5	FFnew	f	214	205038	
126	4	6	FFnew	s	178	206000	
127	4	7	FFnew	FFnewTarget	331	206912	
128	4	8	FFnew	t	213	208006	
129	4	9	FFnew	j	366	208968	
130	4	10	FFnew	h	269	210095	
131	4	1	FFfamiliar	i	199	216142	
132	4	2	FFfamiliar	a	269	217092	
133	4	3	FFfamiliar	e	249	218120	
134	4	4	FFfamiliar	c	435	219131	
135	4	5	FFfamiliar	f	331	220324	
136	4	6	FFfamiliar	b	366	221419	
137	4	7	FFfamiliar	h	213	222546	
138	4	8	FFfamiliar	j	214	223508	
139	4	9	FFfamiliar	d	178	224486	
140	4	10	FFfamiliar	g	286	225414	
141	4	1	FFtrained	0	178	235477	
142	4	2	FFtrained	3	435	236406	
143	4	3	FFtrained	4	213	237600	
144	4	4	FFtrained	FFtrainedTarget	199	238562	
145	4	5	FFtrained	A	269	239523	
146	4	6	FFtrained	E	331	240551	
147	4	7	FFtrained	:	366	241646	
148	4	8	FFtrained	I	214	242773	
149	4	9	FFtrained	N	249	243735	
150	4	10	FFtrained	V	286	244729	
151	4	1	letter	g	269	248792	
152	4	2	letter	e	249	249819	
153	4	3	letter	r	366	250830	
154	4	4	letter	LetterTarget	214	251958	
155	4	5	letter	t	213	252919	
156	4	6	letter	b	178	253881	
157	4	7	letter	p	199	254810	
158	4	8	letter	z	435	255771	
159	4	9	letter	m	286	256965	
160	4	10	letter	a	331	258009	
161	5	1	FFnew	l	199	266122	
162	5	2	FFnew	p	249	267078	
163	5	3	FFnew	c	213	268090	
164	5	4	FFnew	t	366	269051	
165	5	5	FFnew	t	178	270179	
166	5	6	FFnew	FFnewTarget	286	271107	
167	5	7	FFnew	u	331	272152	
168	5	8	FFnew	f	435	273246	
169	5	9	FFnew	h	269	274439	
170	5	10	FFnew	j	214	275467	
171	5	1	FFfamiliar	g	435	285464	
172	5	2	FFfamiliar	e	249	286658	
173	5	3	FFfamiliar	a	286	287670	
174	5	4	FFfamiliar	j	331	288714	
175	5	5	FFfamiliar	FFfamiliarTarget	214	289809	
176	5	6	FFfamiliar	d	199	290787	
177	5	7	FFfamiliar	FFfamiliarTarget	269	291748	
178	5	8	FFfamiliar	h	178	292776	
179	5	9	FFfamiliar	i	366	293705	
180	5	10	FFfamiliar	b	213	294832	
181	5	1	FFtrained	A	213	298812	
182	5	2	FFtrained	R	331	299773	
183	5	3	FFtrained	V	269	300867	
184	5	4	FFtrained	4	249	301895	
185	5	5	FFtrained	0	214	302906	
186	5	6	FFtrained	N	286	303868	
187	5	7	FFtrained	I	435	304896	
188	5	8	FFtrained	3	199	306089	
189	5	9	FFtrained	:	366	307051	
190	5	10	FFtrained	E	178	308178	
191	5	1	letter	u	214	314125	
192	5	2	letter	a	286	315075	
193	5	3	letter	t	178	316120	
194	5	4	letter	m	249	317048	
195	5	5	letter	e	199	318060	
196	5	6	letter	b	331	319021	
197	5	7	letter	r	435	320116	
198	5	8	letter	LetterTarget	269	321309	
199	5	9	letter	p	366	322337	
200	5	10	letter	z	213	323465	
201	6	1	FFnew	j	286	331445	
202	6	2	FFnew	u	214	332484	
203	6	3	FFnew	FFnewTarget	331	333462	
204	6	4	FFnew	f	199	334556	
205	6	5	FFnew	l	435	335518	
206	6	6	FFnew	t	249	336712	
207	6	7	FFnew	c	366	337723	
208	6	8	FFnew	h	178	338850	
209	6	9	FFnew	FFnewTarget	269	339779	
210	6	10	FFnew	s	213	340807	
211	6	1	FFfamiliar	a	213	348787	
212	6	2	FFfamiliar	j	366	349743	
213	6	3	FFfamiliar	h	214	350870	
214	6	4	FFfamiliar	d	286	351832	
215	6	5	FFfamiliar	f	435	352860	
216	6	6	FFfamiliar	g	331	354054	
217	6	7	FFfamiliar	i	249	355148	
218	6	8	FFfamiliar	e	178	356159	
219	6	9	FFfamiliar	c	199	357088	
220	6	10	FFfamiliar	b	269	358049	
221	6	1	FFtrained	0	331	364095	
222	6	2	FFtrained	R	178	365178	
223	6	3	FFtrained	4	214	366107	
224	6	4	FFtrained	N	286	367068	
225	6	5	FFtrained	E	435	368096	
226	6	6	FFtrained	:	269	369290	
227	6	7	FFtrained	V	199	370318	
228	6	8	FFtrained	FFtrainedTarget	366	371279	
229	6	9	FFtrained	3	249	372407	
230	6	10	FFtrained	A	213	373418	
231	6	1	letter	r	178	383398	
232	6	2	letter	g	213	384327	
233	6	3	letter	b	199	385289	
234	6	4	letter	e	249	386251	
235	6	5	letter	t	331	387262	
236	6	6	letter	a	269	388356	
237	6	7	letter	m	435	389384	
238	6	8	letter	LetterTarget	366	390578	
239	6	9	letter	z	214	391705	
240	6	10	letter	p	286	392667	
241	7	1	FFnew	s	214	396713	
242	7	2	FFnew	f	286	397674	
243	7	3	FFnew	p	366	398702	
244	7	4	FFnew	t	249	399829	
245	7	5	FFnew	h	213	400840	
246	7	6	FFnew	u	178	401802	
247	7	7	FFnew	t	199	402730	
248	7	8	FFnew	c	269	403692	
249	7	9	FFnew	l	435	404720	
250	7	10	FFnew	j	331	405914	
251	7	1	FFfamiliar	a	213	412026	
252	7	2	FFfamiliar	g	331	412977	
253	7	3	FFfamiliar	j	286	414071	
254	7	4	FFfamiliar	c	366	415115	
255	7	5	FFfamiliar	b	249	416243	
256	7	6	FFfamiliar	i	269	417254	
257	7	7	FFfamiliar	f	435	418282	
258	7	8	FFfamiliar	FFfamiliarTarget	178	419476	
259	7	9	FFfamiliar	h	199	420404	
260	7	10	FFfamiliar	e	214	421366	
261	7	1	FFtrained	V	366	429330	
262	7	2	FFtrained	E	435	430451	
263	7	3	FFtrained	R	178	431645	
264	7	4	FFtrained	0	269	432573	
265	7	5	FFtrained	I	331	433601	
266	7	6	FFtrained	FFtrainedTarget	214	434695	
267	7	7	FFtrained	3	249	435657	
268	7	8	FFtrained	4	286	436652	
269	7	9	FFtrained	N	199	437696	
270	7	10	FFtrained	:	213	438658	
271	7	1	letter	b	331	442638	
272	7	2	letter	z	213	443731	
273	7	3	letter	u	249	444693	
274	7	4	letter	e	214	445704	
275	7	5	letter	m	199	446666	
276	7	6	letter	a	286	447627	
277	7	7	letter	LetterTarget	269	448672	
278	7	8	letter	r	366	449700	
279	7	9	letter	LetterTarget	178	450827	
280	7	10	letter	g	435	451756	
281	8	1	FFnew	s	214	461968	
282	8	2	FFnew	t	249	462930	
283	8	3	FFnew	h	178	463925	
284	8	4	FFnew	c	269	464853	
285	8	5	FFnew	u	366	465881	
286	8	6	FFnew	FFnewTarget	331	467009	
287	8	7	FFnew	l	286	468103	
288	8	8	FFnew	j	199	469147	
