trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFnew	q	214	9303	
2	1	2	FFnew	n	286	10259	
3	1	3	FFnew	k	199	11298	
4	1	4	FFnew	p	249	12254	
5	1	5	FFnew	t	366	13243	
6	1	6	FFnew	s	269	14349	
7	1	7	FFnew	m	331	15372	
8	1	8	FFnew	l	178	16444	
9	1	9	FFnew	o	435	17366	
10	1	10	FFnew	r	213	18556	
11	1	1	letter	g	199	22528	
12	1	2	letter	a	331	23484	
13	1	3	letter	letterTarget	366	24557	
14	1	4	letter	b	286	25664	
15	1	5	letter	m	269	26703	
16	1	6	letter	p	213	27726	
17	1	7	letter	z	178	28681	
18	1	8	letter	r	249	29603	
19	1	9	letter	letterTarget	435	30592	
20	1	10	letter	t	214	31782	
21	1	1	FFfamiliar	f	249	37755	
22	1	2	FFfamiliar	d	269	38739	
23	1	3	FFfamiliar	FFfamiliarTarget	286	39761	
24	1	4	FFfamiliar	a	213	40801	
25	1	5	FFfamiliar	e	366	41756	
26	1	6	FFfamiliar	g	435	42863	
27	1	7	FFfamiliar	h	178	44053	
28	1	8	FFfamiliar	j	331	44975	
29	1	9	FFfamiliar	FFfamiliarTarget	214	46047	
30	1	10	FFfamiliar	c	199	47003	
31	1	1	FFtrained	V	286	54976	
32	1	2	FFtrained	®	366	56005	
33	1	3	FFtrained	I	213	57111	
34	1	4	FFtrained	0	435	58067	
35	1	5	FFtrained	3	249	59257	
36	1	6	FFtrained	N	178	60246	
37	1	7	FFtrained	R	214	61168	
38	1	8	FFtrained	FFtrainedTarget	331	62123	
39	1	9	FFtrained	FFtrainedTarget	199	63196	
40	1	10	FFtrained	E	269	64152	
41	2	1	FFnew	n	435	74192	
42	2	2	FFnew	m	269	75384	
43	2	3	FFnew	k	199	76406	
44	2	4	FFnew	FFnewTarget	213	77361	
45	2	5	FFnew	q	366	78317	
46	2	6	FFnew	r	178	79423	
47	2	7	FFnew	FFnewTarget	249	80344	
48	2	8	FFnew	s	331	81334	
49	2	9	FFnew	l	214	82407	
50	2	10	FFnew	p	286	83363	
51	2	1	letter	a	286	93418	
52	2	2	letter	p	331	94459	
53	2	3	letter	e	199	95532	
54	2	4	letter	letterTarget	178	96487	
55	2	5	letter	g	249	97409	
56	2	6	letter	m	366	98398	
57	2	7	letter	letterTarget	214	99505	
58	2	8	letter	r	435	100460	
59	2	9	letter	z	213	101650	
60	2	10	letter	u	269	102606	
61	2	1	FFfamiliar	e	213	110646	
62	2	2	FFfamiliar	c	366	111591	
63	2	3	FFfamiliar	h	214	112698	
64	2	4	FFfamiliar	a	286	113653	
65	2	5	FFfamiliar	FFfamiliarTarget	199	114692	
66	2	6	FFfamiliar	g	178	115631	
67	2	7	FFfamiliar	i	435	116553	
68	2	8	FFfamiliar	b	269	117743	
69	2	9	FFfamiliar	f	331	118766	
70	2	10	FFfamiliar	FFfamiliarTarget	249	119838	
71	2	1	FFtrained	E	178	125845	
72	2	2	FFtrained	I	331	126762	
73	2	3	FFtrained	®	366	127835	
74	2	4	FFtrained	R	249	128941	
75	2	5	FFtrained	N	213	129930	
76	2	6	FFtrained	3	286	130886	
77	2	7	FFtrained	V	214	131925	
78	2	8	FFtrained	:	435	132880	
79	2	9	FFtrained	A	199	134070	
80	2	10	FFtrained	0	269	135026	
81	3	1	FFnew	l	214	139066	
82	3	2	FFnew	m	269	140022	
83	3	3	FFnew	s	366	141044	
