block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	vSymbol	aFile	FBtype	stimOnset	respOnset	feedbackOnset
1	1	4	3	2	1292	1	2670	2035	t_2_1_loudCheck.wav	3	Cong	7733	9025	12274
1	2	5	6	1	1102	0	2221	2341	in_short_2_1_loudCheck.wav	4	Cong	16522	17624	21384
1	3	3	4	1	1184	0	1738	1855	l_2_2_loudCheck.wav	V	Cong	25158	26342	29535
1	4	1	1	1	1281	1	2364	2924	a_short_2_2.wav	N	Cong	33908	35189	39342
1	5	6	5	2	934	1	2269	2244	b_2_1.wav	5	Cong	43645	44579	48410
1	6	2	2	2	1168	0	3315	1509	e_short_2_2.wav	R	Cong	53759	54927	57789
1	7	5	5	1	1269	1	2182	2189	b_2_1.wav	4	Cong	61994	63263	66709
1	8	1	2	2	1482	1	2458	1996	e_short_2_2.wav	N	Cong	71189	72671	75701
1	9	2	1	2	1101	1	2720	2130	a_short_2_2.wav	R	Cong	80437	81538	85103
1	10	3	3	1	892	1	2911	2582	t_2_1_loudCheck.wav	V	Cong	90029	90921	95121
1	11	5	5	1	967	1	2925	2220	b_2_1.wav	4	Cong	100057	101024	104790
1	12	4	4	1	1240	1	2986	2123	l_2_2_loudCheck.wav	3	Cong	109784	111024	114425
1	13	2	1	2	1168	1	2010	1582	a_short_2_2.wav	R	Cong	118457	119625	122555
1	14	4	4	1	871	1	1760	1639	l_2_2_loudCheck.wav	3	Cong	126331	127202	130487
1	15	3	3	1	1372	1	3200	1656	t_2_1_loudCheck.wav	V	Cong	135696	137068	139871
1	16	4	4	1	980	1	2448	1718	l_2_2_loudCheck.wav	3	Cong	144328	145308	148571
1	17	5	6	2	968	1	2503	2576	in_short_2_1_loudCheck.wav	4	Cong	153087	154055	158200
1	18	4	3	2	1032	1	2671	899	t_2_1_loudCheck.wav	3	Cong	162887	163919	166304
1	19	1	1	2	1034	0	1852	2041	a_short_2_2.wav	N	Cong	170176	171210	174741
1	20	5	6	2	1157	1	2841	1066	in_short_2_1_loudCheck.wav	4	Cong	179604	180761	183183
1	21	2	1	2	909	1	2334	2131	a_short_2_2.wav	R	Cong	187536	188445	192173
1	22	3	3	1	1441	1	3740	2602	t_2_1_loudCheck.wav	V	Cong	197928	199369	203056
1	23	6	5	1	1057	0	3581	1105	b_2_1.wav	5	Cong	208661	209718	212286
1	24	3	4	1	1156	0	2195	1592	l_2_2_loudCheck.wav	V	Cong	216493	217649	220598
1	25	6	6	2	969	0	3066	2151	in_short_2_1_loudCheck.wav	5	Cong	225687	226656	230376
1	26	2	1	2	1187	1	2786	1320	a_short_2_2.wav	R	Cong	235172	236359	239011
1	27	6	6	1	1071	1	2678	2403	in_short_2_1_loudCheck.wav	5	Cong	243702	244773	248633
1	28	1	1	1	1205	1	2035	1654	a_short_2_2.wav	N	Cong	252692	253897	256853
1	29	3	4	2	1053	1	3114	1465	l_2_2_loudCheck.wav	V	Cong	261978	263031	265949
1	30	2	2	2	953	0	2586	2422	e_short_2_2.wav	R	Cong	270552	271505	275494
1	31	5	6	2	1173	1	2871	1289	in_short_2_1_loudCheck.wav	4	Cong	280387	281560	284192
1	32	5	5	1	1041	1	2881	2898	b_2_1.wav	4	Cong	289084	290125	294506
1	33	4	3	2	1541	1	2639	1380	t_2_1_loudCheck.wav	3	Cong	299155	300696	303068
1	34	3	4	2	1357	1	2885	1628	l_2_2_loudCheck.wav	V	Cong	307972	309329	312119
1	35	6	6	1	1194	1	3387	2619	in_short_2_1_loudCheck.wav	5	Cong	317526	318720	322660
1	36	1	2	2	1194	1	1615	2155	e_short_2_2.wav	N	Cong	326299	327493	330967
1	37	5	5	1	973	1	1927	1796	b_2_1.wav	4	Cong	334917	335890	339246
1	38	3	3	2	1636	0	2836	1779	t_2_1_loudCheck.wav	V	Cong	344099	345735	348414
1	39	1	2	2	1264	1	2219	1670	e_short_2_2.wav	N	Cong	352651	353915	356826
1	40	4	3	2	1021	1	1889	1395	t_2_1_loudCheck.wav	3	Cong	360726	361747	364642
1	41	1	2	1	1456	0	2954	1795	e_short_2_2.wav	N	Cong	369617	371073	373929
1	42	6	5	2	1071	1	2335	2754	b_2_1.wav	5	Cong	378282	379353	383542
1	43	2	2	2	1377	0	2466	1574	e_short_2_2.wav	R	Cong	388029	389406	392111
1	44	1	1	1	1391	1	1991	1146	a_short_2_2.wav	N	Cong	396126	397517	399790
1	45	6	5	2	1571	1	2632	1453	b_2_1.wav	5	Cong	404443	406014	408403
1	46	2	2	1	1603	1	2350	1599	e_short_2_2.wav	R	Cong	412766	414369	416872
1	47	4	4	1	1620	1	2532	2324	l_2_2_loudCheck.wav	3	Cong	421420	423040	426252
1	48	6	6	2	1030	0	2134	2173	in_short_2_1_loudCheck.wav	5	Cong	430406	431436	435087
