block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	vSymbol	aFile	FBtype	stimOnset	respOnset	feedbackOnset
1	1	4	3	1	645	0	2335	1105	t_2_1_loudCheck.wav	3	Cong	7383	8028	11012
1	2	5	6	1	714	0	2836	2220	in_short_2_1_loudCheck.wav	4	Cong	15861	16575	20599
1	3	3	4	1	958	0	2010	2151	l_2_2_loudCheck.wav	V	Cong	24617	25575	29284
1	4	1	1	1	870	1	1852	2576	a_short_2_2.wav	N	Cong	33147	34017	38247
1	5	6	5	1	907	0	2350	1855	b_2_1.wav	5	Cong	42648	43555	47010
1	6	2	2	2	1518	0	3200	2422	e_short_2_2.wav	R	Cong	52251	53769	57209
1	7	5	5	1	1776	1	1760	1380	b_2_1.wav	4	Cong	60991	62767	64888
1	8	1	2	2	1083	1	2195	1779	e_short_2_2.wav	N	Cong	69102	70185	73411
1	9	2	1	2	1304	1	1927	2324	a_short_2_2.wav	R	Cong	77356	78660	82213
1	10	3	3	1	1296	1	3387	1582	t_2_1_loudCheck.wav	V	Cong	87620	88916	91717
1	11	5	5	1	1107	1	2221	2619	b_2_1.wav	4	Cong	95954	97061	101093
1	12	4	4	2	888	0	2532	1639	l_2_2_loudCheck.wav	3	Cong	105649	106537	109795
1	13	2	1	2	1123	1	2670	1146	a_short_2_2.wav	R	Cong	114474	115597	118139
1	14	4	4	1	1308	1	3581	1465	l_2_2_loudCheck.wav	3	Cong	123741	125049	127726
1	15	3	3	1	1565	1	2881	1796	t_2_1_loudCheck.wav	V	Cong	132624	134189	136927
1	16	4	4	1	1056	1	2219	899	l_2_2_loudCheck.wav	3	Cong	141164	142220	144585
1	17	5	6	1	1455	0	1615	1670	in_short_2_1_loudCheck.wav	4	Cong	148220	149675	152419
1	18	4	3	1	1006	0	2911	2131	t_2_1_loudCheck.wav	3	Cong	157341	158347	161982
1	19	1	1	1	989	1	2182	2244	a_short_2_2.wav	N	Cong	166178	167167	170932
1	20	5	6	1	1575	0	2841	2035	in_short_2_1_loudCheck.wav	4	Cong	175790	177365	180339
1	21	2	1	2	1143	1	2954	1395	a_short_2_2.wav	R	Cong	185304	186447	189215
1	22	3	3	2	1580	0	2466	2189	t_2_1_loudCheck.wav	V	Cong	193702	195282	198399
1	23	6	5	2	1826	1	2885	2403	b_2_1.wav	5	Cong	203306	205132	208229
1	24	3	4	2	985	1	3315	2754	l_2_2_loudCheck.wav	V	Cong	213568	214553	218842
1	25	6	6	1	1706	1	2364	1599	in_short_2_1_loudCheck.wav	5	Cong	223227	224933	227353
1	26	2	1	2	1035	1	2786	2582	a_short_2_2.wav	R	Cong	232155	233190	237256
1	27	6	6	1	1195	1	2678	2341	in_short_2_1_loudCheck.wav	5	Cong	241945	243140	246813
1	28	1	1	1	874	1	2586	1320	a_short_2_2.wav	N	Cong	251419	252293	255259
1	29	3	4	0	0	2	2639	1654	l_2_2_loudCheck.wav	V	Cong	259911	0	264098
1	30	2	2	1	1225	1	2035	2602	e_short_2_2.wav	R	Cong	268144	269369	273269
1	31	5	6	2	1080	1	2671	1574	in_short_2_1_loudCheck.wav	4	Cong	277965	279045	282056
1	32	5	5	1	987	1	2925	2123	b_2_1.wav	4	Cong	287006	287993	291641
1	33	4	3	1	1083	0	2632	2130	t_2_1_loudCheck.wav	3	Cong	296296	297379	300933
1	34	3	4	2	1400	1	3740	1289	l_2_2_loudCheck.wav	V	Cong	306688	308088	310504
1	35	6	6	1	1349	1	2986	2155	in_short_2_1_loudCheck.wav	5	Cong	315500	316849	320173
1	36	1	2	2	1045	1	2448	1453	e_short_2_2.wav	N	Cong	324645	325690	328623
1	37	5	5	1	1481	1	1889	1592	b_2_1.wav	4	Cong	332525	334006	336637
1	38	3	3	1	1106	1	2720	1628	t_2_1_loudCheck.wav	V	Cong	341380	342486	345527
1	39	1	2	2	870	1	2458	2898	e_short_2_2.wav	N	Cong	350004	350874	355418
1	40	4	3	2	1362	1	2503	2924	t_2_1_loudCheck.wav	3	Cong	359931	361293	365375
1	41	1	2	2	924	1	1738	1795	e_short_2_2.wav	N	Cong	369130	370054	373431
1	42	6	5	2	2143	1	3114	1718	b_2_1.wav	5	Cong	378564	380707	382788
1	43	2	2	1	1056	1	3066	2173	e_short_2_2.wav	R	Cong	387866	388922	392577
1	44	1	1	1	750	1	2334	1066	a_short_2_2.wav	N	Cong	396933	397683	400505
1	45	6	5	2	1509	1	2871	1996	b_2_1.wav	5	Cong	405395	406904	409908
1	46	2	2	1	1299	1	2134	1509	e_short_2_2.wav	R	Cong	414058	415357	418075
1	47	4	4	1	840	1	2269	2041	l_2_2_loudCheck.wav	3	Cong	422367	423207	426913
1	48	6	6	1	1227	1	1991	1656	in_short_2_1_loudCheck.wav	5	Cong	430922	432149	435100
