block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	aFile	vSymbol	LeftIsMatch	stimOnset	respOnset	feedbackOnset
1	1	4	3	1	1403	0	2182	2123	t_2_1_loudCheck.wav	3	1	7301	8704	11936
1	2	5	6	1	1379	0	2670	1628	in_short_2_1_loudCheck.wav	4	1	16663	18042	20810
1	3	3	4	1	1587	0	1852	2341	l_2_2_loudCheck.wav	V	1	24715	26302	29564
1	4	1	1	1	1565	1	3315	1996	a_short_2_2.wav	N	1	34898	36463	39431
1	5	6	5	1	1785	0	2986	1656	b_2_1.wav	5	1	44467	46252	48658
1	6	2	2	1	2355	1	2885	2422	e_short_2_2.wav	R	1	53584	55939	58526
1	7	5	5	1	2030	1	1889	1453	b_2_1.wav	4	1	62437	64467	66427
1	8	1	2	2	1833	1	2786	2582	e_short_2_2.wav	N	1	71242	73075	76343
1	9	2	1	2	1618	1	2871	1509	a_short_2_2.wav	R	1	81241	82859	85267
1	10	3	3	1	2073	1	2836	1289	t_2_1_loudCheck.wav	V	1	90126	92199	93934
1	11	5	5	2	1978	0	3200	1639	b_2_1.wav	4	1	99144	101122	103319
1	12	4	4	2	1930	0	3740	2041	l_2_2_loudCheck.wav	3	1	109068	110998	113619
1	13	2	1	2	1535	1	2881	2754	a_short_2_2.wav	R	1	118538	120073	123816
1	14	4	4	0	0	2	2841	1465	l_2_2_loudCheck.wav	3	1	128678	0	132673
1	15	3	3	1	1291	1	2221	1796	t_2_1_loudCheck.wav	V	1	136911	138202	141228
1	16	4	4	1	2172	1	2532	2602	l_2_2_loudCheck.wav	3	1	145777	147949	150904
1	17	5	6	2	1859	1	2350	1582	in_short_2_1_loudCheck.wav	4	1	155278	157137	159383
1	18	4	3	2	1068	1	2364	899	t_2_1_loudCheck.wav	3	1	163764	164832	167173
1	19	1	1	1	1374	1	1927	2131	a_short_2_2.wav	N	1	171119	172493	175766
1	20	5	6	2	1464	1	2671	2220	in_short_2_1_loudCheck.wav	4	1	180451	181915	185189
1	21	2	1	2	977	1	2010	2155	a_short_2_2.wav	R	1	189207	190184	193878
1	22	3	3	1	793	1	2678	1654	t_2_1_loudCheck.wav	V	1	198579	199372	202744
1	23	6	5	2	1830	1	2720	1105	b_2_1.wav	5	1	207475	209305	211098
1	24	3	4	2	1023	1	2503	1779	l_2_2_loudCheck.wav	V	1	215614	216637	219913
1	25	6	6	0	0	2	3114	1592	in_short_2_1_loudCheck.wav	5	1	225045	0	229159
1	26	2	1	2	1292	1	2035	2924	a_short_2_2.wav	R	1	233217	234509	238648
1	27	6	6	1	954	1	2954	2576	in_short_2_1_loudCheck.wav	5	1	243620	244574	248729
1	28	1	1	1	1378	1	2334	2619	a_short_2_2.wav	N	1	253080	254458	258205
1	29	3	4	2	953	1	1615	1380	l_2_2_loudCheck.wav	V	1	261844	262797	265754
1	30	2	2	2	1505	0	3581	2151	e_short_2_2.wav	R	1	271354	272859	276024
1	31	5	6	2	1201	1	2458	1599	in_short_2_1_loudCheck.wav	4	1	280493	281694	284624
1	32	5	5	1	1441	1	2195	1574	b_2_1.wav	4	1	288835	290276	292922
1	33	4	3	2	886	1	1738	1320	t_2_1_loudCheck.wav	3	1	296684	297570	300510
1	34	3	4	2	1331	1	2335	2173	l_2_2_loudCheck.wav	V	1	304875	306206	309553
1	35	6	6	1	1855	1	1991	1718	in_short_2_1_loudCheck.wav	5	1	313566	315421	317802
1	36	1	2	2	940	1	1760	1066	e_short_2_2.wav	N	1	321575	322515	325158
1	37	5	5	1	1405	1	2639	2130	b_2_1.wav	4	1	329816	331221	334479
1	38	3	3	1	1176	1	2911	1146	t_2_1_loudCheck.wav	V	1	339405	340581	343061
1	39	1	2	2	978	1	2448	2403	e_short_2_2.wav	N	1	347530	348508	352442
1	40	4	3	2	991	1	2269	2035	t_2_1_loudCheck.wav	3	1	356735	357726	361276
1	41	1	2	2	1186	1	2632	2189	e_short_2_2.wav	N	1	365918	367104	370614
1	42	6	5	2	1107	1	2134	1795	b_2_1.wav	5	1	374771	375878	379074
1	43	2	2	1	2128	1	3387	2324	e_short_2_2.wav	R	1	384480	386608	389318
1	44	1	1	1	1116	1	2466	1855	a_short_2_2.wav	N	1	393805	394921	398167
1	45	6	5	2	2119	1	2586	1395	b_2_1.wav	5	1	402761	404880	406676
1	46	2	2	1	1890	1	3066	2244	e_short_2_2.wav	R	1	411763	413653	416528
1	47	4	4	1	2119	1	2219	1670	l_2_2_loudCheck.wav	3	1	420764	422883	424940
1	48	6	6	0	0	2	2925	2898	in_short_2_1_loudCheck.wav	5	1	429876	0	435287
