block	trial	vStim	aStim	resp	rt	fb	iti	feedJitter	aFile	vSymbol	LeftIsMatch	stimOnset	respOnset	feedbackOnset
1	1	4	3	1	891	0	1889	1320	t_2_1_loudCheck.wav	3	1	6966	7857	10793
1	2	5	6	1	1294	0	2836	2041	in_short_2_1_loudCheck.wav	4	1	15675	16969	20251
1	3	3	4	1	1269	0	1927	1066	l_2_2_loudCheck.wav	V	1	24233	25502	27815
1	4	1	1	2	1068	0	1738	2173	a_short_2_2.wav	N	1	31571	32639	36250
1	5	6	5	1	1280	0	2182	2131	b_2_1.wav	5	1	40487	41767	45144
1	6	2	2	1	1921	1	2334	1779	e_short_2_2.wav	R	1	49525	51446	53811
1	7	5	5	1	2096	1	2035	1289	b_2_1.wav	4	1	57864	59960	61661
1	8	1	2	2	1198	1	2986	2244	e_short_2_2.wav	N	1	66657	67855	71419
1	9	2	1	1	2499	0	2466	2403	a_short_2_2.wav	R	1	75903	78402	80829
1	10	3	3	2	1225	0	2632	2035	t_2_1_loudCheck.wav	V	1	85486	86711	90028
1	11	5	5	1	1069	1	2925	2898	b_2_1.wav	4	1	94964	96033	100374
1	12	4	4	2	1691	0	3581	2130	l_2_2_loudCheck.wav	3	1	105965	107656	110631
1	13	2	1	0	0	2	2871	2576	a_short_2_2.wav	R	1	115518	0	120627
1	14	4	4	2	1143	0	3066	2220	l_2_2_loudCheck.wav	3	1	125710	126853	130451
1	15	3	3	1	2395	1	2720	1670	t_2_1_loudCheck.wav	V	1	135179	137574	139368
1	16	4	4	1	1124	1	2364	2619	l_2_2_loudCheck.wav	3	1	143743	144867	148871
1	17	5	6	2	1569	1	2671	1599	in_short_2_1_loudCheck.wav	4	1	153566	155135	157700
1	18	4	3	2	1268	1	1991	1996	t_2_1_loudCheck.wav	3	1	161706	162974	166220
1	19	1	1	2	2496	0	3740	1465	a_short_2_2.wav	N	1	171977	174473	175952
1	20	5	6	2	1964	1	2954	2422	in_short_2_1_loudCheck.wav	4	1	180923	182887	185862
1	21	2	1	1	1211	0	3315	1796	a_short_2_2.wav	R	1	191199	192410	195515
1	22	3	3	1	1278	1	2532	2754	t_2_1_loudCheck.wav	V	1	200065	201343	205326
1	23	6	5	1	1021	0	2881	1574	b_2_1.wav	5	1	210229	211250	214326
1	24	3	4	2	999	1	2678	1380	l_2_2_loudCheck.wav	V	1	219028	220027	222919
1	25	6	6	2	1336	0	1852	2151	in_short_2_1_loudCheck.wav	5	1	226790	228126	231449
1	26	2	1	1	2147	0	2911	1592	a_short_2_2.wav	R	1	236371	238518	240473
1	27	6	6	1	1680	1	1615	1582	in_short_2_1_loudCheck.wav	5	1	244111	245791	248206
1	28	1	1	2	1119	0	3387	1146	a_short_2_2.wav	N	1	253609	254728	257270
1	29	3	4	2	1124	1	2221	1718	l_2_2_loudCheck.wav	V	1	261508	262632	265733
1	30	2	2	2	950	0	3200	1639	e_short_2_2.wav	R	1	270946	271896	275105
1	31	5	6	2	951	1	2350	899	in_short_2_1_loudCheck.wav	4	1	279464	280415	282870
1	32	5	5	1	2388	1	3114	2189	b_2_1.wav	4	1	288003	290391	292715
1	33	4	3	2	1121	1	2448	1855	t_2_1_loudCheck.wav	3	1	297185	298306	301549
1	34	3	4	2	1417	1	2219	1654	l_2_2_loudCheck.wav	V	1	305776	307193	309936
1	35	6	6	1	1923	1	2670	1795	in_short_2_1_loudCheck.wav	5	1	314617	316540	318930
1	36	1	2	2	1215	1	2195	1628	e_short_2_2.wav	N	1	323144	324359	327285
1	37	5	5	1	1327	1	2841	1105	b_2_1.wav	4	1	332146	333473	335765
1	38	3	3	1	1026	1	2458	2123	t_2_1_loudCheck.wav	V	1	340235	341261	344874
1	39	1	2	1	1615	0	2639	1656	e_short_2_2.wav	N	1	349535	351150	353708
1	40	4	3	2	955	1	2786	2582	t_2_1_loudCheck.wav	3	1	358502	359457	363603
1	41	1	2	2	943	1	2885	1453	e_short_2_2.wav	N	1	368499	369442	372471
1	42	6	5	0	0	2	1760	2924	b_2_1.wav	5	1	376244	0	381685
1	43	2	2	1	1686	1	2134	2155	e_short_2_2.wav	R	1	385836	387522	390499
1	44	1	1	1	1750	1	2503	1509	a_short_2_2.wav	N	1	395025	396775	399054
1	45	6	5	1	1115	0	2586	2324	b_2_1.wav	5	1	403663	404778	408507
1	46	2	2	1	2255	1	2335	2341	e_short_2_2.wav	R	1	412862	415117	417726
1	47	4	4	2	1058	0	2269	1395	l_2_2_loudCheck.wav	3	1	422014	423072	425931
1	48	6	6	1	854	1	2010	2602	in_short_2_1_loudCheck.wav	5	1	429962	430816	435080
