trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFtrained	h	164	
2	1	2	FFtrained	c	207	
3	1	3	FFtrained	a	423	
4	1	4	FFtrained	f	408	
5	1	5	FFtrained	g	255	
6	1	6	FFtrained	FFtrainedTarget	283	
7	1	7	FFtrained	b	118	
8	1	8	FFtrained	h	472	
9	1	9	FFtrained	e	199	
10	1	10	FFtrained	e	215	
11	1	11	FFtrained	b	163	
12	1	12	FFtrained	d	127	
13	1	13	FFtrained	c	333	
14	1	14	FFtrained	a	190	
15	1	15	FFtrained	f	321	
16	1	16	FFtrained	d	151	
17	1	17	FFtrained	g	202	
18	1	18	FFtrained	FFtrainedTarget	257	
19	1	1	FFfamiliar	d	283	
20	1	2	FFfamiliar	FFfamiliarTarget	202	
21	1	3	FFfamiliar	f	127	
22	1	4	FFfamiliar	a	321	
23	1	5	FFfamiliar	c	333	
24	1	6	FFfamiliar	c	164	
25	1	7	FFfamiliar	d	215	
26	1	8	FFfamiliar	h	257	
27	1	9	FFfamiliar	b	199	
28	1	10	FFfamiliar	b	255	
29	1	11	FFfamiliar	f	207	
30	1	12	FFfamiliar	g	163	
31	1	13	FFfamiliar	e	423	
32	1	14	FFfamiliar	a	151	
33	1	15	FFfamiliar	FFfamiliarTarget	118	
34	1	16	FFfamiliar	g	472	
35	1	17	FFfamiliar	e	408	
36	1	18	FFfamiliar	h	190	
37	1	1	FFnew	f	207	
38	1	2	FFnew	h	164	
39	1	3	FFnew	e	423	
40	1	4	FFnew	f	151	
41	1	5	FFnew	a	408	
42	1	6	FFnew	e	127	
43	1	7	FFnew	c	202	
44	1	8	FFnew	g	215	
45	1	9	FFnew	b	199	
46	1	10	FFnew	a	255	
47	1	11	FFnew	FFnewTarget	321	
48	1	12	FFnew	h	163	
49	1	13	FFnew	d	118	
50	1	14	FFnew	b	333	
51	1	15	FFnew	g	472	
52	1	17	FFnew	d	190	
53	1	18	FFnew	c	257	
54	1	1	letter	b	127	
55	1	2	letter	e	202	
56	1	3	letter	d	333	
57	1	4	letter	q	190	
58	1	5	letter	q	151	
59	1	6	letter	p	408	
60	1	7	letter	n	164	
61	1	8	letter	b	207	
62	1	9	letter	m	321	
63	1	10	letter	u	199	
64	1	11	letter	n	257	
65	1	14	letter	d	215	
66	1	15	letter	e	163	
67	1	16	letter	m	472	
68	1	17	letter	u	118	
69	1	18	letter	p	283	
70	2	1	letter	u	255	
71	2	2	letter	e	163	
72	2	3	letter	b	283	
73	2	4	letter	e	202	
74	2	5	letter	u	118	
75	2	6	letter	d	190	
76	2	7	letter	m	164	
77	2	8	letter	n	423	
78	2	9	letter	d	408	
