trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFnew	f	780	
2	1	2	FFnew	g	272	
3	1	3	FFnew	FFnewTarget	203	
4	1	4	FFnew	h	630	
5	1	5	FFnew	a	166	
6	1	7	FFnew	c	163	
7	1	8	FFnew	b	939	
8	1	9	FFnew	e	404	
9	1	10	FFnew	d	585	
10	1	1	FFfamiliar	f	404	
11	1	2	FFfamiliar	FFfamiliarTarget	825	
12	1	3	FFfamiliar	b	163	
13	1	4	FFfamiliar	g	939	
14	1	5	FFfamiliar	e	203	
15	1	6	FFfamiliar	a	630	
16	1	7	FFfamiliar	c	166	
17	1	8	FFfamiliar	d	585	
18	1	9	FFfamiliar	h	780	
19	1	10	FFfamiliar	FFfamiliarTarget	272	
20	1	1	FFtrained	d	163	
21	1	2	FFtrained	FFtrainedTarget	404	
22	1	3	FFtrained	a	203	
23	1	4	FFtrained	f	166	
24	1	5	FFtrained	b	825	
25	1	7	FFtrained	h	939	
26	1	8	FFtrained	g	585	
27	1	9	FFtrained	e	272	
28	1	10	FFtrained	c	780	
29	1	1	letter	m	939	
30	1	2	letter	letterTarget	780	
31	1	3	letter	u	166	
32	1	4	letter	p	404	
33	1	5	letter	g	630	
34	1	6	letter	e	585	
35	1	7	letter	t	272	
36	1	8	letter	z	825	
37	1	10	letter	b	163	
38	2	1	FFtrained	f	404	
39	2	2	FFtrained	a	939	
40	2	3	FFtrained	b	780	
41	2	4	FFtrained	g	630	
42	2	5	FFtrained	FFtrainedTarget	166	
43	2	6	FFtrained	h	825	
44	2	8	FFtrained	e	203	
45	2	9	FFtrained	d	272	
46	2	10	FFtrained	c	585	
47	2	1	FFnew	f	780	
48	2	2	FFnew	h	203	
49	2	3	FFnew	FFnewTarget	630	
50	2	4	FFnew	g	585	
51	2	5	FFnew	b	404	
52	2	7	FFnew	d	272	
53	2	8	FFnew	c	163	
54	2	9	FFnew	e	166	
55	2	10	FFnew	a	939	
56	2	1	letter	u	825	
57	2	2	letter	letterTarget	585	
58	2	3	letter	t	203	
59	2	4	letter	m	272	
60	2	5	letter	p	166	
61	2	7	letter	g	630	
62	2	8	letter	z	404	
63	2	9	letter	e	780	
64	2	10	letter	b	939	
65	2	1	FFfamiliar	h	166	
66	2	3	FFfamiliar	g	825	
67	2	4	FFfamiliar	b	780	
68	2	5	FFfamiliar	f	939	
69	2	6	FFfamiliar	a	585	
70	2	8	FFfamiliar	c	203	
71	2	9	FFfamiliar	d	163	
72	2	10	FFfamiliar	e	404	
73	3	1	letter	e	630	
74	3	2	letter	b	585	
75	3	3	letter	p	166	
76	3	4	letter	letterTarget	939	
77	3	5	letter	g	404	
78	3	6	letter	z	203	
79	3	7	letter	letterTarget	163	
80	3	8	letter	t	780	
81	3	9	letter	m	825	
82	3	10	letter	u	272	
83	3	1	FFnew	f	939	
84	3	2	FFnew	h	203	
85	3	3	FFnew	g	272	
86	3	4	FFnew	d	630	
87	3	5	FFnew	a	404	
88	3	6	FFnew	e	825	
89	3	7	FFnew	b	166	
90	3	9	FFnew	c	163	
91	3	2	FFfamiliar	e	163	
92	3	3	FFfamiliar	h	825	
93	3	4	FFfamiliar	g	630	
94	3	6	FFfamiliar	f	939	
95	3	7	FFfamiliar	d	272	
96	3	8	FFfamiliar	b	585	
97	3	9	FFfamiliar	a	203	
98	3	10	FFfamiliar	c	404	
99	3	1	FFtrained	b	163	
100	3	2	FFtrained	d	404	
101	3	3	FFtrained	a	939	
102	3	4	FFtrained	h	203	
103	3	5	FFtrained	c	630	
104	3	6	FFtrained	f	585	
105	3	7	FFtrained	g	780	
106	3	8	FFtrained	e	166	
107	3	9	FFtrained	FFtrainedTarget	272	
108	3	10	FFtrained	FFtrainedTarget	825	
109	4	1	letter	t	203	
110	4	2	letter	e	272	
111	4	5	letter	z	825	
112	4	6	letter	g	166	
113	4	7	letter	p	939	
114	4	8	letter	b	780	
115	4	9	letter	u	404	
116	4	10	letter	m	585	
117	4	1	FFfamiliar	d	203	
118	4	2	FFfamiliar	FFfamiliarTarget	166	
119	4	3	FFfamiliar	b	939	
120	4	4	FFfamiliar	c	163	
121	4	5	FFfamiliar	g	825	
122	4	6	FFfamiliar	a	585	
123	4	7	FFfamiliar	e	404	
124	4	8	FFfamiliar	h	272	
125	4	9	FFfamiliar	f	780	
126	4	10	FFfamiliar	FFfamiliarTarget	630	
127	4	2	FFnew	f	825	
128	4	4	FFnew	h	163	
129	4	5	FFnew	g	585	
130	4	6	FFnew	e	780	
131	4	7	FFnew	a	630	
132	4	8	FFnew	b	203	
133	4	9	FFnew	c	404	
134	4	10	FFnew	d	939	
135	4	1	FFtrained	g	630	
136	4	2	FFtrained	c	404	
137	4	3	FFtrained	FFtrainedTarget	166	
138	4	4	FFtrained	f	163	
139	4	5	FFtrained	e	585	
140	4	6	FFtrained	b	780	
141	4	8	FFtrained	d	939	
142	4	9	FFtrained	a	203	
143	4	10	FFtrained	h	825	
144	5	1	FFnew	a	939	
145	5	2	FFnew	b	163	
146	5	3	FFnew	g	585	
147	5	4	FFnew	d	825	
148	5	5	FFnew	e	203	
149	5	6	FFnew	h	166	
150	5	7	FFnew	c	630	
151	5	8	FFnew	FFnewTarget	780	
152	5	9	FFnew	f	404	
153	5	1	FFfamiliar	a	404	
154	5	2	FFfamiliar	c	272	
155	5	3	FFfamiliar	b	203	
156	5	4	FFfamiliar	d	825	
157	5	5	FFfamiliar	g	585	
158	5	6	FFfamiliar	f	630	
159	5	7	FFfamiliar	FFfamiliarTarget	939	
160	5	8	FFfamiliar	e	780	
161	5	9	FFfamiliar	h	163	
162	5	1	letter	p	163	
163	5	2	letter	e	825	
164	5	3	letter	u	630	
165	5	4	letter	z	585	
166	5	5	letter	m	939	
167	5	6	letter	b	404	
168	5	7	letter	t	166	
169	5	8	letter	letterTarget	780	
170	5	9	letter	g	203	
171	5	2	FFtrained	b	404	
172	5	3	FFtrained	h	163	
173	5	4	FFtrained	d	585	
174	5	5	FFtrained	a	780	
175	5	7	FFtrained	e	166	
176	5	8	FFtrained	c	939	
177	5	9	FFtrained	f	630	
178	5	10	FFtrained	g	272	
