trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFfamiliar	c	202	
2	1	2	FFfamiliar	g	151	
3	1	3	FFfamiliar	b	163	
4	1	4	FFfamiliar	d	215	
5	1	5	FFfamiliar	a	127	
6	1	6	FFfamiliar	f	257	
7	1	7	FFfamiliar	b	207	
8	1	8	FFfamiliar	a	408	
9	1	9	FFfamiliar	e	255	
10	1	10	FFfamiliar	FFfamiliarTarget	423	
11	1	11	FFfamiliar	g	199	
12	1	12	FFfamiliar	d	321	
13	1	13	FFfamiliar	f	164	
14	1	14	FFfamiliar	h	472	
15	1	15	FFfamiliar	c	190	
16	1	16	FFfamiliar	FFfamiliarTarget	333	
17	1	17	FFfamiliar	h	283	
18	1	18	FFfamiliar	e	118	
19	1	1	FFtrained	h	202	
20	1	2	FFtrained	o	199	
21	1	3	FFtrained	m	215	
22	1	4	FFtrained	FFtrainedTarget	190	
23	1	5	FFtrained	e	164	
24	1	6	FFtrained	p	423	
25	1	7	FFtrained	n	255	
26	1	8	FFtrained	n	257	
27	1	9	FFtrained	g	333	
28	1	10	FFtrained	p	283	
29	1	12	FFtrained	m	207	
30	1	13	FFtrained	e	118	
31	1	14	FFtrained	g	151	
32	1	15	FFtrained	o	408	
33	1	16	FFtrained	f	163	
34	1	17	FFtrained	f	472	
35	1	18	FFtrained	h	321	
36	1	1	letter	b	151	
37	1	2	letter	b	333	
38	1	3	letter	z	408	
39	1	4	letter	z	127	
40	1	5	letter	s	164	
