trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	letter	t	331	
2	1	2	letter	u	366	
3	1	3	letter	b	178	
4	1	4	letter	z	286	
5	1	5	letter	p	213	
6	1	6	letter	e	249	
7	1	9	letter	g	214	
8	1	10	letter	m	435	
9	1	1	FFfamiliar	FFfamiliarTarget	214	
10	1	2	FFfamiliar	a	331	
11	1	3	FFfamiliar	b	286	
12	1	4	FFfamiliar	h	178	
13	1	6	FFfamiliar	g	249	
14	1	7	FFfamiliar	c	435	
15	1	8	FFfamiliar	e	213	
16	1	9	FFfamiliar	f	366	
17	1	10	FFfamiliar	d	269	
18	1	1	FFnew	c	286	
19	1	2	FFnew	a	435	
20	1	3	FFnew	f	331	
21	1	4	FFnew	e	366	
22	1	5	FFnew	FFnewTarget	269	
23	1	7	FFnew	g	213	
24	1	8	FFnew	b	178	
25	1	9	FFnew	h	214	
26	1	10	FFnew	d	199	
27	1	1	FFtrained	d	435	
28	1	2	FFtrained	e	178	
29	1	3	FFtrained	c	199	
30	1	4	FFtrained	f	249	
31	1	5	FFtrained	g	269	
32	1	6	FFtrained	b	331	
33	1	7	FFtrained	FFtrainedTarget	286	
34	1	8	FFtrained	FFtrainedTarget	366	
35	1	9	FFtrained	a	213	
36	1	10	FFtrained	h	214	
37	2	1	letter	t	435	
38	2	2	letter	letterTarget	199	
39	2	3	letter	p	366	
40	2	4	letter	b	269	
41	2	5	letter	g	178	
42	2	6	letter	m	213	
43	2	7	letter	e	249	
44	2	8	letter	z	214	
45	2	10	letter	u	331	
46	2	1	FFfamiliar	FFfamiliarTarget	199	
47	2	2	FFfamiliar	c	214	
48	2	3	FFfamiliar	d	366	
49	2	4	FFfamiliar	b	249	
50	2	5	FFfamiliar	h	286	
51	2	7	FFfamiliar	g	269	
52	2	8	FFfamiliar	e	331	
53	2	9	FFfamiliar	f	435	
54	2	10	FFfamiliar	a	178	
55	2	1	FFnew	c	178	
56	2	2	FFnew	g	214	
57	2	3	FFnew	d	286	
58	2	4	FFnew	FFnewTarget	331	
59	2	5	FFnew	f	213	
60	2	6	FFnew	e	366	
61	2	7	FFnew	b	435	
62	2	8	FFnew	FFnewTarget	199	
63	2	9	FFnew	h	269	
64	2	10	FFnew	a	249	
65	2	1	FFtrained	f	366	
66	2	3	FFtrained	h	249	
67	2	5	FFtrained	a	269	
68	2	6	FFtrained	c	286	
69	2	7	FFtrained	b	213	
70	2	8	FFtrained	e	331	
71	2	9	FFtrained	d	199	
72	2	10	FFtrained	g	178	
73	3	1	letter	b	199	
74	3	2	letter	e	366	
75	3	3	letter	p	435	
76	3	4	letter	g	178	
77	3	5	letter	z	331	
