trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFfamiliar	a	127	
2	1	2	FFfamiliar	d	118	
3	1	3	FFfamiliar	g	199	
4	1	4	FFfamiliar	FFfamiliarTarget	215	
5	1	5	FFfamiliar	f	408	
6	1	6	FFfamiliar	f	190	
7	1	7	FFfamiliar	a	321	
8	1	8	FFfamiliar	d	151	
9	1	9	FFfamiliar	c	423	
10	1	10	FFfamiliar	e	207	
11	1	11	FFfamiliar	h	164	
12	1	12	FFfamiliar	b	202	
13	1	14	FFfamiliar	h	255	
14	1	15	FFfamiliar	e	333	
15	1	16	FFfamiliar	c	163	
16	1	17	FFfamiliar	b	257	
17	1	18	FFfamiliar	g	472	
18	1	1	FFtrained	a	202	
19	1	2	FFtrained	g	255	
20	1	3	FFtrained	h	321	
21	1	4	FFtrained	d	333	
22	1	5	FFtrained	f	127	
23	1	6	FFtrained	c	283	
24	1	7	FFtrained	g	164	
25	1	8	FFtrained	a	199	
26	1	9	FFtrained	b	257	
27	1	10	FFtrained	e	151	
28	1	11	FFtrained	f	423	
29	1	12	FFtrained	d	472	
30	1	13	FFtrained	e	408	
31	1	14	FFtrained	c	163	
32	1	15	FFtrained	FFtrainedTarget	215	
33	1	16	FFtrained	b	207	
34	1	17	FFtrained	h	118	
35	1	18	FFtrained	FFtrainedTarget	190	
36	1	1	letter	z	255	
37	1	2	letter	z	472	
38	1	3	letter	m	151	
39	1	4	letter	e	118	
40	1	5	letter	t	408	
41	1	6	letter	n	190	
42	1	7	letter	m	333	
43	1	8	letter	e	423	
44	1	9	letter	u	199	
45	1	10	letter	s	215	
46	1	11	letter	b	163	
47	1	12	letter	u	127	
48	1	13	letter	t	164	
49	1	14	letter	b	321	
50	1	15	letter	letterTarget	202	
51	1	16	letter	s	257	
52	1	17	letter	n	283	
53	1	18	letter	letterTarget	207	
54	1	1	FFnew	c	190	
55	1	2	FFnew	g	472	
56	1	3	FFnew	a	127	
57	1	4	FFnew	a	151	
58	1	5	FFnew	f	423	
59	1	6	FFnew	h	321	
60	1	8	FFnew	b	207	
61	1	9	FFnew	c	199	
62	1	10	FFnew	d	255	
63	1	11	FFnew	f	408	
64	1	12	FFnew	d	118	
65	1	14	FFnew	e	163	
66	1	15	FFnew	b	202	
67	1	16	FFnew	e	215	
68	1	17	FFnew	h	333	
69	1	18	FFnew	g	283	
70	2	1	FFfamiliar	d	472	
71	2	2	FFfamiliar	b	207	
72	2	3	FFfamiliar	a	127	
73	2	4	FFfamiliar	c	333	
74	2	5	FFfamiliar	a	215	
75	2	6	FFfamiliar	e	151	
76	2	7	FFfamiliar	e	408	
77	2	10	FFfamiliar	b	321	
78	2	11	FFfamiliar	g	257	
79	2	12	FFfamiliar	f	255	
80	2	13	FFfamiliar	h	163	
81	2	14	FFfamiliar	c	118	
82	2	15	FFfamiliar	h	283	
83	2	16	FFfamiliar	f	190	
84	2	17	FFfamiliar	d	199	
85	2	18	FFfamiliar	g	423	
86	2	1	FFnew	FFnewTarget	118	
87	2	2	FFnew	b	199	
88	2	3	FFnew	g	255	
89	2	4	FFnew	c	408	
90	2	5	FFnew	a	215	
91	2	6	FFnew	h	423	
92	2	7	FFnew	d	321	
93	2	8	FFnew	e	163	
94	2	9	FFnew	c	127	
95	2	10	FFnew	d	202	
96	2	11	FFnew	a	151	
97	2	12	FFnew	f	164	
98	2	13	FFnew	FFnewTarget	207	
99	2	14	FFnew	g	283	
100	2	15	FFnew	f	257	
101	2	16	FFnew	b	472	
