trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	letter	b	269	5017	
2	1	2	letter	r	435	6042	
3	1	3	letter	m	199	7236	
4	1	4	letter	e	286	8197	
5	1	5	letter	g	366	9242	
6	1	6	letter	u	249	10369	
7	1	7	letter	p	213	11380	
8	1	8	letter	a	331	12342	
9	1	9	letter	z	214	13436	
10	1	10	letter	t	178	14398	
11	1	1	FFnew	b	286	18345	
12	1	2	FFnew	a	366	19388	
13	1	3	FFnew	g	213	20516	
14	1	4	FFnew	c	178	21477	
15	1	5	FFnew	m	249	22406	
16	1	6	FFnew	h	199	23417	
17	1	7	FFnew	j	435	24379	
18	1	8	FFnew	FFnewTarget	214	25572	
19	1	9	FFnew	f	269	26534	
20	1	10	FFnew	i	331	27562	
21	1	1	FFfamiliar	f	269	33677	
22	1	2	FFfamiliar	a	199	34691	
23	1	3	FFfamiliar	j	435	35653	
24	1	4	FFfamiliar	i	178	36846	
25	1	5	FFfamiliar	FFfamiliarTarget	214	37775	
26	1	6	FFfamiliar	d	286	38736	
27	1	7	FFfamiliar	b	331	39781	
28	1	8	FFfamiliar	c	249	40875	
29	1	9	FFfamiliar	e	366	41886	
30	1	10	FFfamiliar	g	213	43014	
31	1	1	FFtrained	V	435	50995	
32	1	2	FFtrained	®	366	52182	
33	1	3	FFtrained	:	286	53310	
34	1	4	FFtrained	FFtrainedTarget	214	54354	
35	1	5	FFtrained	3	249	55316	
36	1	6	FFtrained	FFtrainedTarget	269	56327	
37	1	7	FFtrained	E	178	57355	
38	1	8	FFtrained	N	213	58284	
39	1	9	FFtrained	0	331	59245	
40	1	10	FFtrained	I	199	60339	
41	2	1	letter	r	269	70319	
42	2	2	letter	e	199	71348	
43	2	3	letter	u	214	72309	
44	2	4	letter	g	366	73271	
45	2	5	letter	p_target	213	74398	
46	2	6	letter	t	178	75360	
47	2	7	letter	a	331	76288	
48	2	8	letter	b	249	77383	
49	2	9	letter	m	286	78394	
50	2	10	letter	z	435	79439	
51	2	1	FFnew	e	435	89651	
52	2	2	FFnew	h	249	90845	
53	2	3	FFnew	i	286	91856	
54	2	4	FFnew	m	331	92901	
55	2	5	FFnew	c	178	93995	
56	2	6	FFnew	g	214	94924	
57	2	7	FFnew	a	366	95885	
58	2	8	FFnew	f	213	97013	
59	2	9	FFnew	FFnewTarget	199	97974	
60	2	10	FFnew	b	269	98936	
