trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	letter	b	178	
2	1	2	letter	z	366	
3	1	3	letter	p	286	
4	1	4	letter	e	269	
5	1	6	letter	t	435	
6	1	7	letter	u	214	
7	1	9	letter	g	249	
8	1	10	letter	m	331	
9	1	1	FFfamiliar	g	249	
10	1	2	FFfamiliar	d	214	
11	1	3	FFfamiliar	FFfamiliarTarget	269	
12	1	4	FFfamiliar	f	286	
13	1	6	FFfamiliar	h	178	
14	1	7	FFfamiliar	e	331	
15	1	8	FFfamiliar	b	199	
16	1	9	FFfamiliar	a	366	
17	1	10	FFfamiliar	c	435	
18	1	1	FFtrained	a	178	
19	1	2	FFtrained	k	331	
20	1	3	FFtrained	i	269	
21	1	4	FFtrained	c	366	
22	1	5	FFtrained	FFtrainedTarget	249	
23	1	7	FFtrained	b	214	
24	1	8	FFtrained	j	286	
25	1	9	FFtrained	l	199	
26	1	10	FFtrained	d	435	
27	1	1	FFnew	c	214	
28	1	2	FFnew	f	269	
29	1	3	FFnew	FFnewTarget	213	
30	1	4	FFnew	b	249	
31	1	5	FFnew	e	366	
32	1	6	FFnew	FFnewTarget	178	
33	1	7	FFnew	d	286	
34	1	8	FFnew	h	331	
35	1	9	FFnew	a	199	
36	1	10	FFnew	g	435	
37	2	1	letter	b	178	
38	2	2	letter	letterTarget	269	
39	2	3	letter	u	213	
40	2	5	letter	m	366	
41	2	6	letter	t	214	
42	2	7	letter	p	286	
43	2	8	letter	z	435	
44	2	9	letter	g	249	
45	2	10	letter	e	199	
46	2	1	FFfamiliar	b	269	
47	2	2	FFfamiliar	FFfamiliarTarget	366	
48	2	3	FFfamiliar	d	178	
49	2	4	FFfamiliar	f	249	
50	2	5	FFfamiliar	h	286	
51	2	6	FFfamiliar	c	214	
52	2	7	FFfamiliar	g	199	
53	2	8	FFfamiliar	e	435	
54	2	10	FFfamiliar	a	213	
55	2	1	FFtrained	FFtrainedTarget	435	
56	2	2	FFtrained	i	213	
57	2	3	FFtrained	d	269	
58	2	4	FFtrained	c	286	
59	2	5	FFtrained	FFtrainedTarget	178	
60	2	6	FFtrained	b	249	
61	2	7	FFtrained	k	214	
62	2	8	FFtrained	a	366	
63	2	9	FFtrained	l	199	
64	2	10	FFtrained	j	331	
65	2	1	FFnew	g	213	
66	2	2	FFnew	a	199	
67	2	4	FFnew	d	435	
68	2	5	FFnew	h	331	
69	2	6	FFnew	e	249	
70	2	7	FFnew	c	269	
71	2	8	FFnew	b	286	
72	2	9	FFnew	f	366	
73	3	1	letter	letterTarget	435	
74	3	2	letter	g	199	
75	3	3	letter	p	214	
76	3	4	letter	m	331	
77	3	6	letter	t	213	
78	3	7	letter	z	286	
79	3	8	letter	b	249	
80	3	9	letter	e	366	
81	3	10	letter	u	178	
82	3	1	FFfamiliar	FFfamiliarTarget	214	
83	3	2	FFfamiliar	b	269	
84	3	3	FFfamiliar	g	366	
85	3	4	FFfamiliar	h	435	
86	3	5	FFfamiliar	FFfamiliarTarget	178	
87	3	6	FFfamiliar	c	199	
88	3	7	FFfamiliar	e	286	
89	3	8	FFfamiliar	a	213	
90	3	9	FFfamiliar	f	331	
91	3	10	FFfamiliar	d	249	
92	3	1	FFtrained	b	199	
93	3	2	FFtrained	c	249	
94	3	3	FFtrained	l	435	
95	3	4	FFtrained	j	366	
96	3	5	FFtrained	d	269	
97	3	8	FFtrained	a	213	
98	3	9	FFtrained	k	178	
99	3	10	FFtrained	i	286	
