trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFfamiliar	g	423	
2	1	2	FFfamiliar	b	127	
3	1	3	FFfamiliar	c	163	
4	1	4	FFfamiliar	f	199	
5	1	5	FFfamiliar	c	207	
6	1	6	FFfamiliar	h	283	
7	1	7	FFfamiliar	a	215	
8	1	8	FFfamiliar	e	408	
9	1	9	FFfamiliar	g	118	
10	1	10	FFfamiliar	h	257	
11	1	11	FFfamiliar	FFfamiliarTarget	472	
12	1	12	FFfamiliar	d	190	
13	1	13	FFfamiliar	b	202	
14	1	14	FFfamiliar	d	321	
15	1	15	FFfamiliar	e	151	
16	1	16	FFfamiliar	f	333	
17	1	17	FFfamiliar	a	255	
18	1	18	FFfamiliar	FFfamiliarTarget	164	
19	1	1	FFnew	e	215	
20	1	2	FFnew	d	472	
21	1	3	FFnew	e	190	
22	1	4	FFnew	f	118	
23	1	5	FFnew	b	423	
24	1	6	FFnew	h	333	
25	1	7	FFnew	FFnewTarget	164	
26	1	8	FFnew	FFnewTarget	199	
27	1	9	FFnew	h	163	
28	1	10	FFnew	d	255	
29	1	11	FFnew	g	283	
30	1	12	FFnew	a	151	
31	1	13	FFnew	g	127	
32	1	14	FFnew	a	257	
33	1	15	FFnew	f	207	
34	1	16	FFnew	c	408	
35	1	17	FFnew	b	202	
36	1	18	FFnew	c	321	
37	1	2	letter	m	202	
38	1	3	letter	z	408	
39	1	5	letter	u	151	
40	1	6	letter	e	118	
41	1	7	letter	b	472	
42	1	8	letter	z	190	
43	1	9	letter	m	257	
44	1	10	letter	t	333	
45	1	11	letter	s	215	
46	1	12	letter	t	127	
47	1	13	letter	b	283	
48	1	14	letter	g	164	
49	1	15	letter	e	255	
50	1	16	letter	p	423	
51	1	17	letter	u	321	
52	1	18	letter	p	199	
53	1	1	FFtrained	b	423	
54	1	2	FFtrained	k	257	
55	1	3	FFtrained	j	215	
56	1	4	FFtrained	i	255	
57	1	5	FFtrained	a	190	
58	1	6	FFtrained	k	199	
59	1	7	FFtrained	d	202	
60	1	8	FFtrained	d	333	
61	1	9	FFtrained	l	207	
62	1	10	FFtrained	a	127	
63	1	12	FFtrained	c	151	
64	1	13	FFtrained	b	321	
65	1	14	FFtrained	l	164	
66	1	15	FFtrained	i	472	
67	1	16	FFtrained	j	283	
68	1	18	FFtrained	c	118	
