trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFtrained	0	366	5833	
2	1	2	FFtrained	:	249	6940	
3	1	3	FFtrained	3	199	7929	
4	1	4	FFtrained	I	286	8867	
5	1	5	FFtrained	®	269	9907	
6	1	6	FFtrained	N	178	10929	
7	1	7	FFtrained	V	435	11851	
8	1	8	FFtrained	R	214	13041	
9	1	9	FFtrained	A	213	13997	
10	1	10	FFtrained	E	331	14952	
11	1	1	FFnew	m	366	19042	
12	1	2	FFnew	q	199	20149	
13	1	3	FFnew	r	331	21088	
14	1	4	FFnew	p	249	22160	
15	1	5	FFnew	l	435	23150	
16	1	6	FFnew	FFnewTarget	286	24340	
17	1	7	FFnew	k	178	25379	
18	1	8	FFnew	n	213	26301	
19	1	9	FFnew	o	214	27256	
20	1	10	FFnew	s	269	28212	
21	1	1	FFfamiliar	d	366	34251	
22	1	2	FFfamiliar	h	178	35353	
23	1	3	FFfamiliar	i	199	36275	
24	1	4	FFfamiliar	a	331	37214	
25	1	5	FFfamiliar	j	435	38286	
26	1	6	FFfamiliar	e	269	39477	
27	1	7	FFfamiliar	c	214	40499	
28	1	8	FFfamiliar	FFfamiliarTarget	213	41455	
29	1	9	FFfamiliar	f	249	42410	
30	1	10	FFfamiliar	b	286	43399	
