trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	letter	r	249	6135	
2	1	2	letter	b	199	7142	
3	1	3	letter	u	213	8104	
4	1	4	letter	m	286	9065	
5	1	5	letter	e	366	10110	
6	1	6	letter	t	269	11237	
7	1	7	letter	g	331	12265	
8	1	8	letter	a	214	13359	
9	1	9	letter	p	178	14321	
10	1	10	letter	z	435	15249	
11	1	1	FFtrained	N	269	19462	
12	1	2	FFtrained	V	213	20489	
13	1	3	FFtrained	E	249	21450	
14	1	4	FFtrained	FFtrainedTarget	331	22461	
15	1	5	FFtrained	0	178	23556	
16	1	6	FFtrained	:	435	24484	
17	1	7	FFtrained	3	199	25678	
18	1	8	FFtrained	A	214	26639	
19	1	9	FFtrained	®	366	27601	
20	1	10	FFtrained	R	286	28712	
21	1	1	FFnew	f	178	34793	
22	1	2	FFnew	g	286	35708	
23	1	3	FFnew	i	269	36753	
24	1	4	FFnew	h	199	37781	
25	1	5	FFnew	c	213	38742	
26	1	6	FFnew	m	366	39704	
27	1	7	FFnew	a	435	40831	
28	1	8	FFnew	e	331	42025	
29	1	9	FFnew	FFnewTarget	214	43119	
30	1	10	FFnew	b	249	44081	
31	1	1	FFfamiliar	d	213	52114	
32	1	2	FFfamiliar	f	178	53067	
33	1	3	FFfamiliar	i	199	53995	
34	1	4	FFfamiliar	FFfamiliarTarget	214	54957	
35	1	5	FFfamiliar	h	286	55919	
36	1	6	FFfamiliar	FFfamiliarTarget	366	56963	
37	1	7	FFfamiliar	c	249	58090	
38	1	8	FFfamiliar	g	331	59102	
39	1	9	FFfamiliar	e	269	60196	
40	1	10	FFfamiliar	b	435	61224	
41	2	1	letter	t	213	71437	
42	2	2	letter	e	214	72398	
43	2	3	letter	a	435	73360	
44	2	4	letter	p_target	178	74553	
45	2	5	letter	u	269	75482	
46	2	6	letter	m	199	76510	
47	2	7	letter	g	366	77472	
48	2	8	letter	r	286	78599	
49	2	9	letter	b	331	79643	
50	2	10	letter	z	249	80738	
51	2	1	FFtrained	E	366	90769	
52	2	2	FFtrained	:	199	91896	
53	2	3	FFtrained	A	269	92857	
54	2	4	FFtrained	I	178	93885	
55	2	5	FFtrained	N	331	94814	
56	2	6	FFtrained	®	249	95908	
57	2	7	FFtrained	3	214	96919	
58	2	8	FFtrained	0	286	97881	
59	2	9	FFtrained	V	213	98925	
60	2	10	FFtrained	FFtrainedTarget	435	99887	
61	2	1	FFnew	g	435	108100	
62	2	2	FFnew	c	178	109287	
63	2	3	FFnew	FFnewTarget	331	110216	
64	2	4	FFnew	a	366	111310	
65	2	5	FFnew	b	249	112437	
66	2	6	FFnew	h	286	113449	
67	2	7	FFnew	e	214	114493	
68	2	8	FFnew	j	213	115455	
69	2	9	FFnew	FFnewTarget	199	116400	
70	2	10	FFnew	m	269	117361	
71	2	1	FFfamiliar	a	286	123409	
72	2	2	FFfamiliar	d	214	124441	
73	2	3	FFfamiliar	c	331	125402	
74	2	4	FFfamiliar	e	249	126480	
75	2	5	FFfamiliar	i	435	127491	
76	2	6	FFfamiliar	f	178	128685	
77	2	7	FFfamiliar	g	199	129614	
78	2	8	FFfamiliar	b	269	130575	
79	2	9	FFfamiliar	h	366	131603	
80	2	10	FFfamiliar	j	213	132731	
81	3	1	letter	m	214	136712	
82	3	2	letter	e	213	137671	
83	3	3	letter	z	249	138633	
