trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFfamiliar	f	214	
2	1	4	FFfamiliar	g	269	
3	1	5	FFfamiliar	c	331	
4	1	6	FFfamiliar	h	178	
5	1	7	FFfamiliar	d	199	
6	1	8	FFfamiliar	b	435	
7	1	9	FFfamiliar	a	249	
8	1	10	FFfamiliar	e	286	
9	1	1	FFnew	d	435	
10	1	2	FFnew	b	199	
11	1	3	FFnew	a	366	
12	1	4	FFnew	h	213	
13	1	5	FFnew	FFnewTarget	249	
14	1	6	FFnew	c	331	
15	1	7	FFnew	f	178	
16	1	8	FFnew	e	286	
17	1	10	FFnew	g	214	
18	1	1	FFtrained	f	199	
19	1	2	FFtrained	e	249	
20	1	3	FFtrained	c	213	
21	1	4	FFtrained	FFtrainedTarget	286	
22	1	5	FFtrained	g	214	
23	1	7	FFtrained	d	178	
24	1	8	FFtrained	a	331	
25	1	9	FFtrained	h	366	
26	1	10	FFtrained	b	435	
27	1	1	letter	b	213	
28	1	2	letter	g	435	
29	1	3	letter	letterTarget	249	
30	1	4	letter	e	286	
31	1	5	letter	u	199	
32	1	6	letter	m	331	
33	1	7	letter	p	178	
34	1	8	letter	letterTarget	269	
35	1	9	letter	z	214	
36	1	10	letter	t	366	
37	2	1	FFfamiliar	g	214	
38	2	2	FFfamiliar	h	199	
39	2	3	FFfamiliar	d	249	
40	2	4	FFfamiliar	a	213	
41	2	5	FFfamiliar	FFfamiliarTarget	269	
42	2	6	FFfamiliar	b	286	
43	2	8	FFfamiliar	f	331	
44	2	9	FFfamiliar	e	435	
45	2	10	FFfamiliar	c	366	
46	2	1	FFnew	h	435	
47	2	2	FFnew	FFnewTarget	199	
48	2	3	FFnew	c	249	
49	2	4	FFnew	f	331	
50	2	5	FFnew	a	269	
51	2	6	FFnew	b	366	
52	2	7	FFnew	e	213	
53	2	8	FFnew	g	178	
54	2	10	FFnew	d	214	
55	2	1	FFtrained	h	249	
56	2	2	FFtrained	FFtrainedTarget	213	
57	2	3	FFtrained	b	286	
58	2	4	FFtrained	a	366	
59	2	5	FFtrained	c	214	
60	2	6	FFtrained	g	199	
61	2	7	FFtrained	f	331	
62	2	8	FFtrained	e	178	
63	2	9	FFtrained	d	269	
64	2	10	FFtrained	FFtrainedTarget	435	
65	2	1	letter	e	286	
66	2	2	letter	g	269	
67	2	3	letter	m	199	
68	2	5	letter	t	331	
69	2	6	letter	z	249	
70	2	8	letter	b	178	
71	2	9	letter	p	213	
72	2	10	letter	u	214	
73	3	1	FFfamiliar	f	331	
74	3	2	FFfamiliar	g	178	
75	3	3	FFfamiliar	FFfamiliarTarget	214	
76	3	4	FFfamiliar	e	269	
77	3	5	FFfamiliar	h	435	
78	3	6	FFfamiliar	d	199	
79	3	7	FFfamiliar	a	213	
80	3	8	FFfamiliar	b	286	
81	3	10	FFfamiliar	c	249	
82	3	1	FFnew	d	178	
83	3	2	FFnew	h	214	
84	3	3	FFnew	b	331	
85	3	4	FFnew	e	213	
86	3	5	FFnew	FFnewTarget	286	
87	3	6	FFnew	c	366	
88	3	7	FFnew	FFnewTarget	269	
89	3	8	FFnew	g	249	
90	3	9	FFnew	f	435	
91	3	10	FFnew	a	199	
92	3	1	FFtrained	c	366	
93	3	3	FFtrained	a	249	
94	3	4	FFtrained	g	286	
95	3	6	FFtrained	e	331	
96	3	7	FFtrained	d	199	
97	3	8	FFtrained	h	213	
98	3	9	FFtrained	b	269	
99	3	10	FFtrained	f	214	
100	3	1	letter	letterTarget	199	
101	3	2	letter	m	286	
102	3	4	letter	g	331	
103	3	5	letter	t	249	
104	3	6	letter	e	213	
105	3	7	letter	u	435	
106	3	8	letter	b	269	
107	3	9	letter	p	366	
108	3	10	letter	z	214	
109	4	1	FFfamiliar	f	249	
110	4	2	FFfamiliar	h	435	
111	4	3	FFfamiliar	d	269	
112	4	4	FFfamiliar	c	286	
113	4	5	FFfamiliar	b	366	
114	4	6	FFfamiliar	g	214	
115	4	7	FFfamiliar	FFfamiliarTarget	213	
116	4	8	FFfamiliar	e	199	
117	4	9	FFfamiliar	a	331	
118	4	10	FFfamiliar	FFfamiliarTarget	178	
119	4	1	FFnew	d	366	
120	4	3	FFnew	c	269	
121	4	4	FFnew	g	331	
122	4	5	FFnew	e	286	
123	4	6	FFnew	a	213	
124	4	8	FFnew	b	435	
125	4	9	FFnew	f	249	
126	4	10	FFnew	h	178	
127	4	1	FFtrained	FFtrainedTarget	269	
128	4	2	FFtrained	f	199	
129	4	3	FFtrained	b	213	
130	4	4	FFtrained	g	435	
131	4	5	FFtrained	e	366	
132	4	6	FFtrained	d	331	
133	4	7	FFtrained	h	249	
134	4	9	FFtrained	a	214	
135	4	10	FFtrained	c	178	
136	4	1	letter	z	213	
137	4	2	letter	e	214	
138	4	3	letter	p	366	
139	4	4	letter	letterTarget	269	
140	4	5	letter	t	178	
141	4	6	letter	b	249	
142	4	8	letter	u	286	
143	4	9	letter	g	199	
144	4	10	letter	m	435	
145	5	1	FFfamiliar	a	269	
146	5	2	FFfamiliar	f	213	
147	5	3	FFfamiliar	d	366	
148	5	4	FFfamiliar	g	214	
149	5	5	FFfamiliar	h	331	
150	5	6	FFfamiliar	FFfamiliarTarget	199	
151	5	7	FFfamiliar	b	286	
152	5	9	FFfamiliar	e	435	
153	5	10	FFfamiliar	c	178	
154	5	1	FFnew	c	213	
155	5	2	FFnew	h	331	
156	5	3	FFnew	FFnewTarget	214	
157	5	4	FFnew	g	435	
158	5	5	FFnew	FFnewTarget	249	
159	5	6	FFnew	f	366	
160	5	7	FFnew	b	286	
161	5	8	FFnew	e	178	
162	5	9	FFnew	a	269	
163	5	10	FFnew	d	199	
164	5	1	FFtrained	g	178	
165	5	2	FFtrained	f	199	
166	5	3	FFtrained	c	435	
167	5	4	FFtrained	a	331	
168	5	5	FFtrained	d	249	
169	5	7	FFtrained	b	269	
170	5	8	FFtrained	e	214	
171	5	9	FFtrained	h	366	
172	5	1	letter	u	199	
173	5	2	letter	g	366	
174	5	3	letter	letterTarget	286	
175	5	4	letter	p	435	
176	5	6	letter	b	269	
177	5	7	letter	m	214	
178	5	8	letter	z	331	
179	5	9	letter	t	249	
180	5	10	letter	e	178	
181	6	1	FFfamiliar	e	331	
182	6	2	FFfamiliar	d	199	
183	6	3	FFfamiliar	g	269	
184	6	4	FFfamiliar	h	214	
185	6	5	FFfamiliar	f	286	
186	6	6	FFfamiliar	FFfamiliarTarget	366	
187	6	7	FFfamiliar	b	178	
188	6	8	FFfamiliar	a	249	
189	6	9	FFfamiliar	c	213	
190	6	10	FFfamiliar	FFfamiliarTarget	435	
191	6	1	FFnew	e	199	
192	6	2	FFnew	d	366	
193	6	3	FFnew	h	435	
194	6	4	FFnew	a	214	
195	6	5	FFnew	f	269	
196	6	7	FFnew	c	331	
197	6	8	FFnew	g	249	
198	6	10	FFnew	b	213	
199	6	1	FFtrained	h	199	
200	6	2	FFtrained	f	214	
201	6	3	FFtrained	b	213	
202	6	4	FFtrained	e	366	
203	6	5	FFtrained	FFtrainedTarget	178	
204	6	6	FFtrained	d	249	
205	6	7	FFtrained	c	286	
206	6	9	FFtrained	a	435	
207	6	10	FFtrained	g	331	
208	6	1	letter	g	199	
209	6	2	letter	z	214	
210	6	3	letter	t	286	
211	6	4	letter	p	331	
212	6	5	letter	letterTarget	178	
213	6	6	letter	e	366	
214	6	8	letter	u	213	
215	6	9	letter	b	249	
216	6	10	letter	m	269	
217	7	1	FFfamiliar	h	331	
218	7	2	FFfamiliar	b	214	
219	7	3	FFfamiliar	f	178	
220	7	5	FFfamiliar	e	249	
221	7	7	FFfamiliar	d	286	
222	7	8	FFfamiliar	g	213	
223	7	9	FFfamiliar	a	199	
224	7	10	FFfamiliar	c	435	
225	7	1	FFnew	b	366	
226	7	2	FFnew	a	199	
227	7	3	FFnew	g	269	
228	7	4	FFnew	f	213	
229	7	5	FFnew	FFnewTarget	214	
230	7	7	FFnew	e	249	
231	7	8	FFnew	d	435	
232	7	9	FFnew	h	286	
233	7	10	FFnew	c	331	
234	7	1	FFtrained	c	249	
235	7	2	FFtrained	e	178	
236	7	3	FFtrained	h	199	
237	7	4	FFtrained	FFtrainedTarget	435	
238	7	5	FFtrained	b	213	
239	7	6	FFtrained	g	269	
240	7	7	FFtrained	d	286	
241	7	9	FFtrained	a	331	
242	7	10	FFtrained	f	214	
243	7	1	letter	b	214	
244	7	2	letter	g	435	
245	7	3	letter	letterTarget	178	
246	7	4	letter	e	213	
247	7	5	letter	m	249	
248	7	6	letter	p	286	
249	7	7	letter	u	199	
250	7	8	letter	t	331	
251	7	9	letter	letterTarget	269	
252	7	10	letter	z	366	
253	8	1	FFfamiliar	a	366	
254	8	2	FFfamiliar	c	213	
255	8	3	FFfamiliar	b	199	
256	8	4	FFfamiliar	h	286	
257	8	5	FFfamiliar	d	269	
258	8	6	FFfamiliar	f	435	
259	8	7	FFfamiliar	FFfamiliarTarget	249	
260	8	9	FFfamiliar	e	178	
261	8	10	FFfamiliar	g	214	
262	8	1	FFnew	FFnewTarget	213	
263	8	2	FFnew	b	331	
264	8	3	FFnew	g	286	
265	8	4	FFnew	c	435	
266	8	5	FFnew	d	269	
267	8	6	FFnew	f	199	
268	8	8	FFnew	e	249	
269	8	9	FFnew	a	214	
270	8	10	FFnew	h	178	
271	8	1	FFtrained	h	435	
272	8	2	FFtrained	FFtrainedTarget	249	
273	8	3	FFtrained	b	286	
274	8	4	FFtrained	c	178	
275	8	5	FFtrained	e	213	
276	8	6	FFtrained	f	366	
277	8	7	FFtrained	g	331	
278	8	8	FFtrained	FFtrainedTarget	269	
279	8	9	FFtrained	d	214	
280	8	10	FFtrained	a	199	
281	8	2	letter	b	249	
282	8	3	letter	u	286	
283	8	4	letter	z	178	
284	8	5	letter	g	199	
285	8	6	letter	e	331	
286	8	7	letter	m	435	
287	8	8	letter	p	366	
288	8	10	letter	t	269	
