trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	5	FFnew	f	286	9203	
2	1	6	FFnew	g	178	10242	
3	1	7	FFnew	e	249	11164	
4	1	8	FFnew	c	366	12153	
5	1	9	FFnew	d	199	13260	
6	1	10	FFnew	a	269	14215	
7	1	1	letter	e	331	18254	
8	1	2	letter	u	213	19328	
9	1	3	letter	letterTarget	199	20283	
10	1	4	letter	p	286	21239	
11	1	5	letter	z	178	22278	
12	1	6	letter	t	249	23200	
13	1	9	letter	m	366	24491	
14	1	10	letter	b	214	25597	
15	1	1	FFtrained	3	269	31570	
16	1	2	FFtrained	0	249	32588	
17	1	3	FFtrained	FFtrainedTarget	366	33576	
18	1	4	FFtrained	I	331	34683	
19	1	5	FFtrained	R	435	35756	
20	1	8	FFtrained	N	178	37181	
21	1	9	FFtrained	V	213	38103	
22	1	10	FFtrained	E	286	39058	
