trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFnew	q	199	6855	
2	1	2	FFnew	n	435	7816	
3	1	3	FFnew	r	249	9009	
4	1	4	FFnew	o	214	10021	
5	1	5	FFnew	m	178	10982	
6	1	6	FFnew	s	269	11894	
7	1	7	FFnew	k	331	12922	
8	1	8	FFnew	t	213	14016	
9	1	9	FFnew	l	366	14978	
10	1	10	FFnew	p	286	16106	
11	1	1	letter	m	435	20167	
12	1	2	letter	g	366	21361	
13	1	3	letter	r	286	22488	
14	1	4	letter	letterTarget	331	23533	
15	1	5	letter	p	199	24627	
16	1	6	letter	e	269	25588	
17	1	7	letter	a	178	26616	
18	1	8	letter	u	249	27545	
19	1	9	letter	z	214	28556	
20	1	10	letter	b	213	29518	
21	1	1	FFfamiliar	f	331	35500	
22	1	2	FFfamiliar	c	435	36581	
23	1	3	FFfamiliar	a	286	37775	
24	1	4	FFfamiliar	e	249	38819	
25	1	5	FFfamiliar	FFfamiliarTarget	366	39830	
26	1	6	FFfamiliar	g	199	40958	
27	1	7	FFfamiliar	b	213	41919	
28	1	8	FFfamiliar	h	269	42881	
29	1	9	FFfamiliar	d	214	43909	
30	1	10	FFfamiliar	i	178	44871	
31	1	1	FFtrained	0	366	52801	
32	1	2	FFtrained	I	435	53923	
33	1	3	FFtrained	:	269	55117	
34	1	4	FFtrained	E	199	56145	
35	1	5	FFtrained	FFtrainedTarget	178	57106	
36	1	6	FFtrained	6	286	58035	
37	1	7	FFtrained	a	331	59079	
38	1	8	FFtrained	FFtrainedTarget	249	60173	
39	1	9	FFtrained	i	213	61185	
40	1	10	FFtrained	e	214	62146	
41	2	1	FFnew	o	366	72110	
42	2	2	FFnew	q	214	73238	
43	2	3	FFnew	FFnewTarget	213	74199	
44	2	4	FFnew	k	331	75161	
45	2	5	FFnew	p	199	76255	
46	2	6	FFnew	s	269	77217	
47	2	7	FFnew	l	249	78245	
48	2	8	FFnew	r	178	79256	
49	2	9	FFnew	m	435	80184	
50	2	10	FFnew	t	286	81378	
51	2	1	letter	b	269	91441	
52	2	2	letter	u	214	92470	
53	2	3	letter	letterTarget	366	93431	
54	2	4	letter	g	213	94542	
55	2	5	letter	m	331	95504	
56	2	6	letter	e	178	96598	
57	2	7	letter	r	199	97526	
58	2	8	letter	t	249	98488	
59	2	9	letter	z	435	99499	
60	2	10	letter	p	286	100693	
61	2	1	FFfamiliar	b	213	108756	
62	2	2	FFfamiliar	d	331	109712	
63	2	3	FFfamiliar	f	199	110807	
64	2	4	FFfamiliar	e	366	111768	
65	2	5	FFfamiliar	FFfamiliarTarget	249	112895	
66	2	6	FFfamiliar	c	269	113907	
67	2	7	FFfamiliar	FFfamiliarTarget	435	114935	
68	2	8	FFfamiliar	i	286	116129	
69	2	9	FFfamiliar	j	214	117173	
70	2	10	FFfamiliar	h	178	118135	
71	2	1	FFtrained	:	269	124064	
72	2	2	FFtrained	A	286	125082	
73	2	3	FFtrained	6	178	126126	
74	2	4	FFtrained	E	199	127054	
75	2	5	FFtrained	²	435	128016	
76	2	6	FFtrained	e	366	129210	
77	2	7	FFtrained	i	213	130337	
78	2	8	FFtrained	I	249	131299	
79	2	9	FFtrained	0	214	132310	
80	2	10	FFtrained	a	331	133272	
81	3	1	FFnew	p	199	137384	
82	3	2	FFnew	m	214	138345	
83	3	3	FFnew	FFnewTarget	366	139306	
84	3	4	FFnew	t	269	140417	
85	3	5	FFnew	n	249	141445	
86	3	6	FFnew	l	178	142457	
87	3	7	FFnew	k	286	143385	
88	3	8	FFnew	q	435	144430	
89	3	9	FFnew	r	331	145623	
90	3	10	FFnew	o	213	146717	
91	3	1	letter	r	269	154697	
92	3	2	letter	z	331	155720	
93	3	3	letter	g	435	156814	
94	3	4	letter	m	249	158008	
95	3	5	letter	letterTarget	178	159019	
96	3	6	letter	p	214	159948	
97	3	7	letter	e	366	160909	
98	3	8	letter	letterTarget	286	162020	
99	3	9	letter	t	213	163065	
100	3	10	letter	u	199	164026	
101	3	1	FFfamiliar	d	269	168006	
102	3	2	FFfamiliar	a	199	169033	
103	3	3	FFfamiliar	h	214	169995	
104	3	4	FFfamiliar	j	366	170956	
105	3	5	FFfamiliar	b	286	172067	
106	3	6	FFfamiliar	e	213	173112	
107	3	7	FFfamiliar	c	249	174073	
108	3	8	FFfamiliar	i	331	175085	
109	3	9	FFfamiliar	f	435	176179	
110	3	10	FFfamiliar	g	178	177373	
111	3	1	FFtrained	e	214	187319	
112	3	2	FFtrained	a	435	188282	
113	3	3	FFtrained	0	331	189476	
114	3	4	FFtrained	FFtrainedTarget	178	190570	
115	3	5	FFtrained	E	366	191498	
116	3	6	FFtrained	²	269	192626	
117	3	7	FFtrained	i	213	193654	
118	3	8	FFtrained	:	286	194615	
119	3	9	FFtrained	I	199	195660	
120	3	10	FFtrained	6	249	196621	
121	4	1	FFnew	t	249	202651	
122	4	2	FFnew	s	269	203651	
123	4	3	FFnew	FFnewTarget	286	204679	
124	4	4	FFnew	k	331	205723	
125	4	5	FFnew	FFnewTarget	366	206818	
126	4	6	FFnew	n	214	207945	
127	4	7	FFnew	m	213	208907	
128	4	8	FFnew	q	178	209868	
129	4	9	FFnew	p	435	210797	
130	4	10	FFnew	l	199	211990	
131	4	1	letter	p	366	217970	
132	4	2	letter	e	214	219086	
133	4	3	letter	u	178	220048	
134	4	4	letter	r	199	220976	
135	4	5	letter	z	249	221938	
136	4	6	letter	m	269	222949	
137	4	7	letter	a	286	223977	
138	4	8	letter	b	435	225022	
139	4	9	letter	t	331	226215	
140	4	10	letter	g	213	227310	
141	4	1	FFfamiliar	b	178	237289	
142	4	2	FFfamiliar	a	213	238219	
143	4	3	FFfamiliar	c	214	239181	
144	4	4	FFfamiliar	d	435	240142	
145	4	5	FFfamiliar	f	286	241319	
146	4	6	FFfamiliar	j	366	242364	
147	4	7	FFfamiliar	FFfamiliarTarget	249	243491	
148	4	8	FFfamiliar	g	269	244503	
149	4	9	FFfamiliar	e	199	245531	
