trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	letter	u	178	5025	
2	1	2	letter	z	366	5945	
3	1	3	letter	b	249	7051	
4	1	4	letter	r	214	8040	
5	1	5	letter	p	213	8996	
6	1	6	letter	a	269	9951	
7	1	7	letter	g	435	10974	
8	1	8	letter	m	286	12164	
9	1	9	letter	e	331	13203	
10	1	10	letter	t	199	14276	
11	1	1	FFtrained	3	435	18232	
12	1	2	FFtrained	N	214	19422	
13	1	3	FFtrained	FFtrainedTarget	269	20378	
14	1	4	FFtrained	V	366	21400	
15	1	5	FFtrained	I	286	22507	
16	1	6	FFtrained	A	199	23546	
17	1	7	FFtrained	R	249	24485	
18	1	8	FFtrained	®	178	25474	
19	1	9	FFtrained	0	331	26396	
20	1	10	FFtrained	E	213	27469	
21	1	1	FFfamiliar	e	178	33443	
22	1	2	FFfamiliar	i	213	34358	
23	1	3	FFfamiliar	c	435	35314	
24	1	4	FFfamiliar	<b>a</b>	269	36505	
25	1	5	FFfamiliar	h	214	37526	
26	1	6	FFfamiliar	j	286	38482	
27	1	7	FFfamiliar	FFfamiliarTarget	199	
