Scenario - 
Logfile written - 03/24/2021 14:13:01

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

cacahuete	1	Response	20	43454	21495	0
cacahuete	2	Picture	start	43583	0	1	60011	1	0	next	other	0
cacahuete	2	Response	20	59202	15618	0
cacahuete	3	Response	21	72142	12939	0
cacahuete	3	Response	21	79462	20260	0
cacahuete	3	Pulse	199	103436	44234	0
cacahuete	3	Picture	100	103595	44392	1	50121	1	0	50000	other	0
cacahuete	3	Response	21	105041	45839	0
cacahuete	4	Picture	90	153884	0	1	7040	1	0	7000	other	0
cacahuete	5	Picture	40	161092	0	1	3017	1	0	2860	other	0
cacahuete	6	Picture	90	164277	0	1	7040	1	0	7000	other	0
cacahuete	7	Picture	40	171485	0	1	2179	1	0	2130	other	0
cacahuete	8	Picture	90	173832	0	1	7040	1	0	7000	other	0
cacahuete	9	Picture	40	181040	0	1	3353	1	0	3310	other	0
cacahuete	10	Picture	90	184560	0	1	7040	1	0	7000	other	0
cacahuete	11	Picture	40	191768	0	1	3688	1	0	3660	other	0
cacahuete	12	Picture	90	195624	0	1	7040	1	0	7000	other	0
cacahuete	13	Picture	40	202832	0	1	1844	1	0	1780	other	0
cacahuete	14	Picture	90	204843	0	1	7040	1	0	7000	other	0
cacahuete	15	Picture	40	212051	0	1	2850	1	0	2690	other	0
cacahuete	16	Picture	90	215069	0	1	7040	1	0	7000	other	0
cacahuete	17	Picture	40	222277	0	1	2514	1	0	2490	other	0
cacahuete	18	Picture	90	224959	0	1	7040	1	0	7000	other	0
cacahuete	19	Picture	40	232167	0	1	4526	1	0	4350	other	0
cacahuete	20	Picture	90	236860	0	1	7040	1	0	7000	other	0
cacahuete	21	Picture	40	244068	0	1	2179	1	0	2140	other	0
cacahuete	22	Picture	90	246415	0	1	7040	1	0	7000	other	0
cacahuete	23	Picture	40	253623	0	1	2012	1	0	1990	other	0
cacahuete	24	Picture	50	255803	0	1	30173	1	0	next	other	0
cacahuete	25	Picture	60	285976	0	1	7040	1	0	7000	other	0
cacahuete	26	Picture	40	293184	0	1	2012	1	0	1990	other	0
cacahuete	27	Picture	60	295363	0	1	7040	1	0	7000	other	0
cacahuete	28	Picture	40	302571	0	1	2850	1	0	2690	other	0
cacahuete	29	Picture	60	305589	0	1	7040	1	0	7000	other	0
cacahuete	30	Picture	40	312797	0	1	2514	1	0	2490	other	0
cacahuete	31	Picture	60	315479	0	1	7040	1	0	7000	other	0
cacahuete	32	Picture	40	322687	0	1	3688	1	0	3660	other	0
cacahuete	33	Picture	60	326542	0	1	7041	1	0	7000	other	0
cacahuete	34	Picture	40	333750	0	1	4526	1	0	4350	other	0
