trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	FFnew	s	286	5029	
2	1	2	FFnew	m	213	6068	
3	1	3	FFnew	n	331	7023	
4	1	4	FFnew	p	366	8096	
5	1	5	FFnew	k	178	9203	
6	1	6	FFnew	t	269	10125	
7	1	7	FFnew	q	249	11147	
8	1	8	FFnew	o	435	12136	
9	1	9	FFnew	r	214	13326	
10	1	10	FFnew	l	199	14282	
11	1	1	letter	a	199	18239	
12	1	2	letter	r	269	19177	
13	1	3	letter	b	249	20199	
14	1	4	letter	u	366	21188	
15	1	5	letter	z	435	22295	
16	1	6	letter	g	213	23485	
17	1	7	letter	m	331	24440	
18	1	8	letter	p	214	25513	
19	1	9	letter	t_target	286	26468	
20	1	10	letter	e	178	27508	
21	1	1	FFfamiliar	c	199	33449	
22	1	2	FFfamiliar	h	178	34381	
23	1	3	FFfamiliar	g	286	35303	
24	1	4	FFfamiliar	a	213	36342	
25	1	5	FFfamiliar	e	366	37297	
26	1	6	FFfamiliar	FFfamiliarTarget	214	38404	
27	1	7	FFfamiliar	b	331	39359	
28	1	8	FFfamiliar	j	249	40432	
29	1	9	FFfamiliar	d	435	41421	
30	1	10	FFfamiliar	f	269	42611	
31	1	1	FFtrained	:	249	50651	
32	1	2	FFtrained	I	331	51630	
33	1	3	FFtrained	FFtrainedTarget	286	52703	
34	1	4	FFtrained	A	435	53742	
35	1	5	FFtrained	3	366	54932	
36	1	6	FFtrained	E	199	56038	
37	1	7	FFtrained	N	214	56977	
38	1	8	FFtrained	R	178	57933	
39	1	9	FFtrained	FFtrainedTarget	213	58855	
40	1	10	FFtrained	®	269	59810	
41	2	1	FFnew	q	269	69850	
42	2	2	FFnew	m	178	70874	
43	2	3	FFnew	t	435	71796	
44	2	4	FFnew	n	214	72986	
45	2	5	FFnew	p	366	73942	
46	2	6	FFnew	r	331	75048	
47	2	7	FFnew	s	286	76121	
48	2	8	FFnew	FFnewTarget	249	77160	
49	2	9	FFnew	o	213	78149	
50	2	10	FFnew	k	199	79105	
51	2	1	letter	p	199	89060	
52	2	2	letter	z	366	90001	
