trial	block	stimIndex	Condition	VstimCaption	ISIjitter	stimOnset
1	1	1	letter	e	178	5024	
2	1	2	letter	a	249	5951	
3	1	3	letter	b	269	6962	
4	1	4	letter	m	331	7990	
5	1	5	letter	r	435	9085	
6	1	6	letter	g	214	10278	
7	1	7	letter	u	199	11240	
8	1	8	letter	p	286	12185	
9	1	9	letter	t	366	13229	
10	1	10	letter	z	213	14357	
11	1	1	FFfamiliar	h	199	18338	
12	1	2	FFfamiliar	a	366	19298	
13	1	3	FFfamiliar	d	249	20425	
14	1	4	FFfamiliar	FFfamiliarTarget	178	21436	
15	1	5	FFfamiliar	j	286	22365	
16	1	6	FFfamiliar	f	269	23409	
17	1	7	FFfamiliar	c	214	24437	
18	1	8	FFfamiliar	e	331	25399	
19	1	9	FFfamiliar	i	213	26477	
20	1	10	FFfamiliar	g	435	27438	
21	1	1	FFtrained	A	213	33650	
22	1	2	FFtrained	I	269	34601	
23	1	3	FFtrained	R	331	35628	
24	1	4	FFtrained	®	199	36723	
25	1	5	FFtrained	FFtrainedTarget	178	37684	
26	1	6	FFtrained	E	214	38613	
27	1	7	FFtrained	0	286	39574	
28	1	8	FFtrained	3	249	40602	
29	1	9	FFtrained	:	366	41613	
30	1	10	FFtrained	V	435	42741	
31	1	1	FFnew	q	435	50953	
32	1	2	FFnew	s	331	52141	
33	1	3	FFnew	FFnewTarget	199	53235	
34	1	4	FFnew	n	366	54197	
35	1	5	FFnew	o	269	55325	
36	1	6	FFnew	p	249	56353	
37	1	7	FFnew	l	178	57364	
38	1	8	FFnew	k	286	58292	
39	1	9	FFnew	FFnewTarget	214	59337	
40	1	10	FFnew	r	213	60298	
41	2	1	letter	r	331	70262	
42	2	2	letter	m	269	71357	
43	2	3	letter	letterTarget	286	72385	
44	2	4	letter	b	249	73429	
45	2	5	letter	u	366	74440	
46	2	6	letter	g	178	75568	
47	2	7	letter	e	435	76496	
48	2	8	letter	a	213	77690	
49	2	9	letter	t	199	78652	
50	2	10	letter	z	214	79613	
51	2	1	FFfamiliar	c	286	89593	
52	2	2	FFfamiliar	g	178	90639	
53	2	3	FFfamiliar	FFfamiliarTarget	249	91567	
54	2	4	FFfamiliar	f	435	92578	
55	2	5	FFfamiliar	i	199	93772	
56	2	6	FFfamiliar	a	214	94734	
57	2	7	FFfamiliar	j	213	95695	
58	2	8	FFfamiliar	b	269	96657	
59	2	9	FFfamiliar	d	366	97685	
60	2	10	FFfamiliar	h	331	98812	
61	2	1	FFtrained	®	269	106924	
62	2	2	FFtrained	V	331	107947	
63	2	3	FFtrained	FFtrainedTarget	366	109042	
64	2	4	FFtrained	A	199	110169	
65	2	5	FFtrained	N	213	111131	
66	2	6	FFtrained	R	214	112092	
67	2	7	FFtrained	I	178	113054	
68	2	8	FFtrained	0	435	113966	
69	2	9	FFtrained	:	249	115159	
70	2	10	FFtrained	FFtrainedTarget	286	116171	
71	2	1	FFnew	o	199	122233	
72	2	2	FFnew	p	269	123184	
73	2	3	FFnew	l	213	124212	
74	2	4	FFnew	t	214	125173	
75	2	5	FFnew	n	249	126135	
76	2	6	FFnew	k	286	127130	
77	2	7	FFnew	m	366	128175	
78	2	8	FFnew	q	331	129302	
79	2	9	FFnew	s	178	130396	
80	2	10	FFnew	r	435	131324	
81	3	1	letter	p	249	135536	
82	3	2	letter	t	269	136547	
83	3	3	letter	e	213	137575	
84	3	4	letter	u	178	138536	
85	3	5	letter	a	286	139465	
86	3	6	letter	letterTarget	331	140509	
87	3	7	letter	m	435	141603	
88	3	8	letter	r	199	142797	
89	3	9	letter	g	214	143759	
90	3	10	letter	b	366	144720	
91	3	1	FFfamiliar	g	214	152849	
92	3	2	FFfamiliar	i	249	153806	
93	3	3	FFfamiliar	FFfamiliarTarget	286	154801	
94	3	4	FFfamiliar	b	331	155845	
95	3	5	FFfamiliar	a	213	156939	
96	3	6	FFfamiliar	d	199	157901	
97	3	7	FFfamiliar	f	269	158863	
98	3	8	FFfamiliar	e	435	159891	
99	3	9	FFfamiliar	FFfamiliarTarget	178	161084	
100	3	10	FFfamiliar	h	366	162013	
101	3	1	FFtrained	:	249	166158	
102	3	2	FFtrained	N	269	167169	
103	3	3	FFtrained	V	435	168197	
104	3	4	FFtrained	®	366	169391	
105	3	5	FFtrained	R	213	170518	
106	3	6	FFtrained	E	214	171480	
107	3	7	FFtrained	A	199	172441	
108	3	8	FFtrained	3	286	173386	
109	3	9	FFtrained	I	331	174431	
110	3	10	FFtrained	0	178	175525	
111	3	1	FFnew	l	366	185471	
112	3	2	FFnew	o	435	186600	
113	3	3	FFnew	m	199	187794	
114	3	4	FFnew	n	178	188755	
115	3	5	FFnew	FFnewTarget	331	189684	
116	3	6	FFnew	r	286	190778	
117	3	7	FFnew	s	213	191822	
118	3	8	FFnew	t	249	192784	
119	3	9	FFnew	k	214	193795	
120	3	10	FFnew	q	269	194757	
121	4	1	letter	b	269	200803	
122	4	2	letter	e	178	201820	
123	4	3	letter	letterTarget	331	202748	
124	4	4	letter	t	214	203842	
125	4	5	letter	letterTarget	286	204804	
126	4	6	letter	p	435	205832	
127	4	7	letter	r	249	207026	
128	4	8	letter	u	366	208037	
129	4	9	letter	z	199	209164	
130	4	10	letter	m	213	210126	
131	4	1	FFfamiliar	h	286	216106	
132	4	2	FFfamiliar	b	213	217139	
133	4	3	FFfamiliar	d	366	218101	
134	4	4	FFfamiliar	g	331	219228	
135	4	5	FFfamiliar	e	214	220322	
136	4	6	FFfamiliar	i	435	221284	
137	4	7	FFfamiliar	f	269	222478	
138	4	8	FFfamiliar	c	178	223506	
139	4	9	FFfamiliar	j	199	224434	
140	4	10	FFfamiliar	a	249	225396	
141	4	1	FFtrained	V	435	235425	
142	4	2	FFtrained	®	331	236620	
143	4	3	FFtrained	I	178	237714	
144	4	4	FFtrained	A	213	238643	
145	4	5	FFtrained	FFtrainedTarget	269	239604	
146	4	6	FFtrained	E	214	240632	
147	4	7	FFtrained	0	366	241594	
148	4	8	FFtrained	R	286	242705	
149	4	9	FFtrained	3	249	243749	
150	4	10	FFtrained	:	199	244760	
151	4	1	FFnew	n	366	248740	
152	4	2	FFnew	k	435	249867	
153	4	3	FFnew	q	331	251061	
154	4	4	FFnew	t	178	252155	
155	4	5	FFnew	l	269	253083	
156	4	6	FFnew	o	214	254111	
