block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
RL

0	1	2	4	0	C	0	0	0	0	poli_8sides 23_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	2	1	2	0	C	2	1	1103	1	poli_8sides 24_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	3	1	1	1	C	2	0	970	0	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	4	2	3	1	C	2	0	937	0	poli_8sides 23_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	5	1	1	1	C	1	1	1281	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	6	2	3	1	C	2	0	877	0	poli_8sides 23_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	7	2	4	0	C	2	1	1492	1	poli_8sides 23_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	8	1	2	0	C	2	1	1246	1	poli_8sides 24_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	9	1	2	0	C	2	1	1210	1	poli_8sides 24_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	10	2	3	1	C	1	1	856	1	poli_8sides 23_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
avg_resp = 1198
1	1	3	4	2	I	0	0	0	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	2	1	2	0	C	2	1	1463	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	3	2	1	0	C	2	1	1340	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	4	4	4	2	I	1	0	1610	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	5	3	3	2	I	2	0	1370	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	6	1	1	1	C	1	1	1220	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	7	2	2	1	C	1	1	1457	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	8	4	3	2	I	2	0	1517	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	9	1	2	0	C	2	1	1729	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	10	2	1	0	C	1	0	1411	0	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	11	3	3	2	I	1	0	1034	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	12	4	3	2	I	2	0	898	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	13	2	2	1	C	2	0	1461	0	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	14	1	1	1	C	1	1	1124	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	15	4	4	2	I	2	0	1209	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	16	3	4	2	I	2	0	590	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	17	4	4	2	I	2	0	853	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	18	3	4	2	I	2	0	564	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	19	1	1	1	C	1	1	1273	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	20	2	2	1	C	1	1	1110	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	21	1	2	0	C	1	0	1306	0	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	22	3	3	2	I	2	0	1285	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	23	4	3	2	I	2	0	1164	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	24	2	1	0	C	2	1	931	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	25	3	3	2	I	2	0	1197	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	26	4	3	2	I	1	0	920	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	27	1	1	1	C	1	1	1102	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	28	2	1	0	C	2	1	892	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	29	3	4	2	I	2	0	1205	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	30	4	4	2	I	2	0	1368	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	31	1	2	0	C	2	1	1274	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	32	2	2	1	C	1	1	1047	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	33	1	1	1	C	1	1	1497	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	34	2	1	0	C	2	1	623	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	35	4	4	2	I	2	0	1363	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	36	3	4	2	I	1	0	1443	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	37	1	2	0	C	2	1	1375	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	38	2	2	1	C	1	1	1019	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	39	3	3	2	I	1	0	1507	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	40	4	3	2	I	2	0	1789	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	41	3	3	2	I	1	0	1335	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	42	4	3	2	I	2	0	997	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	43	1	2	0	C	2	1	1240	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	44	2	2	1	C	1	1	980	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	45	3	4	2	I	1	0	1488	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	46	2	1	0	C	2	1	1323	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	47	1	1	1	C	1	1	914	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	48	4	4	2	I	2	0	1645	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	49	3	3	2	I	1	0	1362	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	50	1	2	0	C	2	1	1081	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	51	4	3	2	I	2	0	1318	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	52	2	2	1	C	1	1	1263	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	53	4	4	2	I	1	0	899	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	54	1	1	1	C	1	1	938	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	55	2	1	0	C	2	1	1366	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	56	3	4	2	I	1	0	1483	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	57	4	3	2	I	2	0	1140	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	58	3	4	2	I	1	0	1629	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	59	1	2	0	C	2	1	1452	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	60	2	2	1	C	1	1	971	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	61	1	1	1	C	1	1	1455	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	62	3	3	2	I	1	0	1264	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	63	4	4	2	I	1	0	1460	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	64	2	1	0	C	2	1	1055	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	65	4	4	2	I	2	0	1463	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	66	1	2	0	C	2	1	1665	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	67	3	3	2	I	1	0	1158	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	68	2	2	1	C	1	1	1148	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	69	1	1	1	C	1	1	1681	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	70	2	1	0	C	2	1	690	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	71	4	3	2	I	2	0	1393	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	72	3	4	2	I	1	0	1456	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	73	2	2	1	C	1	1	1004	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	74	4	4	2	I	2	0	1264	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	75	1	2	0	C	2	1	1211	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	76	3	3	2	I	2	0	1125	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	77	2	1	0	C	2	1	1529	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	78	4	3	2	I	2	0	1421	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	79	3	4	2	I	2	0	1604	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	80	1	1	1	C	1	1	1208	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	81	2	2	1	C	1	1	1432	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	82	1	2	0	C	2	1	1509	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	83	3	3	2	I	2	0	1223	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	84	4	4	2	I	2	0	1167	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	85	1	1	1	C	1	1	1013	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	86	4	3	2	I	2	0	1412	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	87	2	1	0	C	2	1	718	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	88	3	4	2	I	1	0	1638	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	89	1	1	1	C	0	0	0	0	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	90	4	3	2	I	2	0	1190	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	91	3	4	2	I	2	0	1835	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	92	2	1	0	C	2	1	847	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	93	4	4	2	I	2	0	1493	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	94	1	2	0	C	2	1	1232	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	95	2	2	1	C	1	1	1344	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	96	3	3	2	I	2	0	1311	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	97	4	4	2	I	2	0	992	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	98	2	2	1	C	1	1	1156	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	99	1	1	1	C	1	1	1027	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	100	3	3	2	I	2	0	1144	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	101	1	2	0	C	2	1	1221	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	102	2	1	0	C	2	1	948	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	103	4	3	2	I	2	0	1345	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	104	3	4	2	I	1	0	1111	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	105	4	3	2	I	2	0	1032	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	106	3	4	2	I	1	0	1532	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	107	1	1	1	C	1	1	952	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	108	2	2	1	C	1	1	1566	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	109	1	2	0	C	2	1	1225	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	110	2	1	0	C	2	1	953	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	111	4	4	2	I	2	0	1310	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	112	3	3	2	I	2	0	988	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	113	4	3	2	I	2	0	1320	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	114	3	4	2	I	2	0	1408	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	115	2	1	0	C	2	1	680	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	116	1	2	0	C	2	1	935	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	117	3	3	2	I	2	0	1155	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	118	1	1	1	C	1	1	1159	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	119	4	4	2	I	2	0	1232	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	120	2	2	1	C	1	1	1032	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	121	4	4	2	I	2	0	1573	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	122	3	4	2	I	1	0	1495	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	123	1	2	0	C	0	0	0	0	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	124	2	1	0	C	2	1	744	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	125	1	1	1	C	1	1	1031	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	126	4	3	2	I	2	0	1521	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	127	2	2	1	C	1	1	1728	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	128	3	3	2	I	2	0	951	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	129	2	2	1	C	1	1	1213	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	130	3	4	2	I	1	0	1419	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	131	1	2	0	C	2	1	1335	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	132	4	4	2	I	2	0	910	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	133	3	3	2	I	2	0	878	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	134	4	3	2	I	2	0	699	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	135	1	1	1	C	1	1	1121	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	136	2	1	0	C	2	1	1059	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	137	3	3	2	I	2	0	1818	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	138	1	2	0	C	2	1	1217	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	139	4	4	2	I	2	0	861	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	140	2	2	1	C	1	1	1400	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	141	1	1	1	C	1	1	1234	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	142	4	3	2	I	1	0	1554	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	143	3	4	2	I	2	0	1401	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	144	2	1	0	C	2	1	990	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	145	1	1	1	C	2	0	1110	0	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	146	4	4	2	I	0	0	0	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	147	2	1	0	C	2	1	780	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	148	3	4	2	I	1	0	1254	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	149	1	2	0	C	1	0	911	0	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	150	3	3	2	I	2	0	1029	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	151	2	2	1	C	1	1	873	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	152	4	3	2	I	2	0	1255	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	153	1	2	0	C	2	1	1177	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	154	3	4	2	I	1	0	1150	0	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	155	4	3	2	I	2	0	1182	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	156	2	2	1	C	1	1	963	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	157	4	4	2	I	2	0	751	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	158	2	1	0	C	2	1	1168	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	159	3	3	2	I	1	0	1219	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	160	1	1	1	C	1	1	917	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	161	3	4	2	I	1	0	1257	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	162	2	2	1	C	1	1	1097	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	163	1	2	0	C	2	1	790	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	164	4	4	2	I	2	0	1179	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	165	1	1	1	C	1	1	1537	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	166	4	3	2	I	2	0	1233	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	167	3	3	2	I	1	0	1510	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	168	2	1	0	C	2	1	971	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	169	1	1	1	C	1	1	918	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	170	2	2	1	C	1	1	1380	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	171	3	4	2	I	1	0	1439	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	172	4	4	2	I	2	0	988	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	173	3	3	2	I	2	0	918	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	174	2	1	0	C	2	1	855	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	175	4	3	2	I	2	0	1243	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	176	1	2	0	C	2	1	1189	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	177	4	3	2	I	1	0	1493	1	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	178	3	3	2	I	2	0	1190	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	179	2	2	1	C	1	1	1286	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	180	1	1	1	C	1	1	1006	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	181	2	1	0	C	2	1	1360	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	182	1	2	0	C	2	1	1091	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	183	4	4	2	I	2	0	759	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	184	3	4	2	I	2	0	958	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	185	2	1	0	C	2	1	938	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	186	4	4	2	I	2	0	1166	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	187	3	4	2	I	1	0	1563	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	188	1	1	1	C	1	1	1260	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b16_cut3_MS_stereo_44KHz.wav
1	189	4	3	2	I	1	0	1564	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	190	3	3	2	I	2	0	948	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
1	191	2	2	1	C	1	1	1215	1	poli_8sides 7_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	192	1	2	0	C	2	1	971	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	193	3	4	2	I	1	0	1161	1	poli_8sides 4_whiteLine3.jpg	MediumShort_e16_cut1_stereo_44KHz.wav
1	194	1	2	0	C	2	1	1535	1	poli_8sides 12_whiteLine3.jpg	MediumShort_b10_cut1_MS_stereo_44KHz.wav
1	195	4	3	2	I	2	0	1246	0	poli_8sides 13_whiteLine3.jpg	MediumShort_e22_cut1_stereo_44KHz.wav
