block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	1	2	0	C	0	0	0	0	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	2	1	1	1	C	1	0	1854	0	Ⴉ	cut_oo_stereo_44KHz.wav
0	3	2	4	0	C	0	0	0	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	4	2	3	1	C	0	0	0	0	Ⴋ	cut_g_stereo_44KHz.wav
0	5	2	4	0	C	2	0	756	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	6	1	2	0	C	2	0	1562	0	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	7	2	3	1	C	1	0	1055	0	Ⴋ	cut_g_stereo_44KHz.wav
0	8	1	1	1	C	1	0	1136	0	Ⴉ	cut_oo_stereo_44KHz.wav
0	9	2	4	0	C	2	0	717	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	10	1	1	1	C	1	0	883	0	Ⴉ	cut_oo_stereo_44KHz.wav
0	11	2	3	1	C	1	0	1537	0	Ⴋ	cut_g_stereo_44KHz.wav
0	12	1	2	0	C	2	0	954	0	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	13	1	2	0	C	2	0	1174	0	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	14	2	3	1	C	1	0	1544	0	Ⴋ	cut_g_stereo_44KHz.wav
0	15	1	1	1	C	1	0	1470	0	Ⴉ	cut_oo_stereo_44KHz.wav
0	16	2	4	0	C	2	0	1463	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	17	2	3	1	C	2	1	1287	1	Ⴋ	cut_g_stereo_44KHz.wav
0	18	1	1	1	C	0	0	0	0	Ⴉ	cut_oo_stereo_44KHz.wav
0	19	2	4	0	C	2	0	724	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	20	1	2	0	C	2	0	775	0	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	21	1	2	0	C	2	0	1650	0	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	22	2	4	0	C	0	0	0	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	23	1	1	1	C	1	0	931	0	Ⴉ	cut_oo_stereo_44KHz.wav
0	24	2	3	1	C	1	0	1714	0	Ⴋ	cut_g_stereo_44KHz.wav
0	25	1	2	0	C	2	0	1397	0	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	26	2	3	1	C	2	1	1686	1	Ⴋ	cut_g_stereo_44KHz.wav
0	27	1	1	1	C	2	1	1728	1	Ⴉ	cut_oo_stereo_44KHz.wav
0	28	2	4	0	C	2	0	1424	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	29	2	3	1	C	2	1	1047	1	Ⴋ	cut_g_stereo_44KHz.wav
0	30	2	4	0	C	2	0	1506	0	Ⴋ	cut_ee_stereo_44KHz.wav
avg_resp = 1437
