block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	1	1	1	C	0	0	0	0	Ⴢ	cut_g_stereo_44KHz.wav
0	2	1	2	0	C	0	0	0	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	3	2	4	0	C	0	0	0	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	4	2	3	1	C	0	0	0	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	5	2	3	1	C	0	0	0	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	6	1	2	0	C	0	0	0	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	7	2	4	0	C	2	0	876	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	8	1	1	1	C	1	0	1353	0	Ⴢ	cut_g_stereo_44KHz.wav
0	9	1	1	1	C	2	1	1334	1	Ⴢ	cut_g_stereo_44KHz.wav
0	10	2	3	1	C	1	0	1108	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	11	1	2	0	C	1	1	1199	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	12	2	4	0	C	2	0	1071	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	13	2	4	0	C	2	0	915	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	14	2	3	1	C	1	0	983	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	15	1	1	1	C	2	1	1019	1	Ⴢ	cut_g_stereo_44KHz.wav
0	16	1	2	0	C	1	1	982	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	17	2	3	1	C	2	1	926	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	18	1	1	1	C	1	0	1498	0	Ⴢ	cut_g_stereo_44KHz.wav
0	19	2	4	0	C	1	1	1481	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	20	1	2	0	C	1	1	1398	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	21	1	1	1	C	2	1	1114	1	Ⴢ	cut_g_stereo_44KHz.wav
0	22	1	2	0	C	1	1	977	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	23	2	4	0	C	1	1	1435	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	24	2	3	1	C	2	1	1964	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	25	2	3	1	C	2	1	1461	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	26	2	4	0	C	1	1	1543	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	27	1	2	0	C	1	1	934	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	28	1	1	1	C	2	1	962	1	Ⴢ	cut_g_stereo_44KHz.wav
0	29	2	4	0	C	2	0	1088	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	30	2	3	1	C	2	1	1219	1	Ⴞ	cut_oo_stereo_44KHz.wav
avg_resp = 1247
1	1	2	2	1	C	1	0	1616	0	Ⴖ	cut_f_stereo_44KHz.wav
1	2	1	2	0	C	1	1	1836	1	Ⴐ	cut_f_stereo_44KHz.wav
1	3	4	3	2	I	1	0	1822	0	Ⴉ	cut_s_stereo_44KHz.wav
1	4	3	4	2	I	1	0	1479	0	Ⴔ	cut_ei_stereo_44KHz.wav
1	5	4	4	2	I	2	0	921	0	Ⴉ	cut_ei_stereo_44KHz.wav
1	6	3	3	2	I	2	0	1504	1	Ⴔ	cut_s_stereo_44KHz.wav
