block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	2	4	0	C	0	0	0	0	Ⴋ	cut_oo_stereo_44KHz.wav
0	2	1	2	0	C	2	0	1915	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	3	1	1	1	C	0	0	0	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	4	2	3	1	C	2	1	1402	1	Ⴋ	cut_g_stereo_44KHz.wav
0	5	2	3	1	C	2	1	1741	1	Ⴋ	cut_g_stereo_44KHz.wav
0	6	2	4	0	C	1	1	1715	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	7	1	1	1	C	1	0	1582	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	8	1	2	0	C	1	1	1318	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	9	1	1	1	C	0	0	0	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	10	2	3	1	C	0	0	0	0	Ⴋ	cut_g_stereo_44KHz.wav
0	11	1	2	0	C	2	0	1216	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	12	2	4	0	C	1	1	1193	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	13	2	4	0	C	1	1	1093	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	14	2	3	1	C	0	0	0	0	Ⴋ	cut_g_stereo_44KHz.wav
0	15	1	2	0	C	2	0	1313	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	16	1	1	1	C	2	1	1444	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	17	1	2	0	C	1	1	1390	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	18	2	3	1	C	2	1	1196	1	Ⴋ	cut_g_stereo_44KHz.wav
0	19	1	1	1	C	0	0	0	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	20	2	4	0	C	2	0	1015	0	Ⴋ	cut_oo_stereo_44KHz.wav
0	21	2	4	0	C	1	1	1308	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	22	1	2	0	C	0	0	0	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	23	2	3	1	C	2	1	1131	1	Ⴋ	cut_g_stereo_44KHz.wav
0	24	1	1	1	C	2	1	1100	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	25	2	4	0	C	1	1	1400	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	26	1	1	1	C	2	1	958	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	27	2	3	1	C	2	1	901	1	Ⴋ	cut_g_stereo_44KHz.wav
0	28	1	2	0	C	1	1	1641	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	29	1	1	1	C	2	1	1522	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	30	2	4	0	C	1	1	992	1	Ⴋ	cut_oo_stereo_44KHz.wav
avg_resp = 1303
1	1	4	4	2	I	1	0	1684	1	Ⴔ	cut_w_stereo_44KHz.wav
1	2	3	4	2	I	2	0	879	0	Ⴉ	cut_w_stereo_44KHz.wav
1	3	2	1	0	C	1	1	1269	1	Ⴖ	cut_h_stereo_44KHz.wav
1	4	1	2	0	C	2	0	1214	0	Ⴕ	cut_l_stereo_44KHz.wav
1	5	2	2	1	C	2	1	1019	1	Ⴖ	cut_l_stereo_44KHz.wav
1	6	3	3	2	I	1	0	1267	0	Ⴉ	cut_g_stereo_44KHz.wav
