block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file

RL

0	1	2	4	0	C	0	0	0	0	poli_8sides 24_whiteLine3.jpg	Practice4_b26_mono.wav
0	2	1	2	0	C	1	0	1915	0	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_mono.wav
0	3	2	3	1	C	0	0	0	0	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_mono.wav
0	4	1	1	1	C	0	0	0	0	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_mono.wav
0	5	1	2	0	C	1	0	522	0	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_mono.wav
0	6	2	4	0	C	2	1	1242	1	poli_8sides 24_whiteLine3.jpg	Practice4_b26_mono.wav
0	7	1	1	1	C	2	0	1374	0	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_mono.wav
0	8	2	3	1	C	1	1	1752	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_mono.wav
0	9	1	2	0	C	2	1	855	1	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_mono.wav
0	10	2	4	0	C	2	1	855	1	poli_8sides 24_whiteLine3.jpg	Practice4_b26_mono.wav
0	11	2	3	1	C	1	1	756	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_mono.wav
0	12	1	1	1	C	2	0	905	0	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_mono.wav
0	13	1	1	1	C	1	1	905	1	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_mono.wav
0	14	2	3	1	C	2	0	1056	0	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_mono.wav
0	15	2	4	0	C	1	0	1054	0	poli_8sides 24_whiteLine3.jpg	Practice4_b26_mono.wav
0	16	1	2	0	C	2	1	932	1	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_mono.wav
0	17	2	4	0	C	1	0	1124	0	poli_8sides 24_whiteLine3.jpg	Practice4_b26_mono.wav
0	18	2	3	1	C	2	0	493	0	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_mono.wav
0	19	1	1	1	C	1	1	1408	1	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_mono.wav
0	20	1	2	0	C	1	0	1030	0	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_mono.wav
0	21	1	2	0	C	1	0	1087	0	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_mono.wav
0	22	2	3	1	C	1	1	1947	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_mono.wav
0	23	2	4	0	C	2	1	1008	1	poli_8sides 24_whiteLine3.jpg	Practice4_b26_mono.wav
0	24	1	1	1	C	2	0	1100	0	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_mono.wav
0	25	2	4	0	C	2	1	1218	1	poli_8sides 24_whiteLine3.jpg	Practice4_b26_mono.wav
0	26	1	2	0	C	2	1	1131	1	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_mono.wav
0	27	2	3	1	C	1	1	371	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_mono.wav
0	28	1	1	1	C	2	0	1042	0	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_mono.wav
0	29	1	1	1	C	1	1	1112	1	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_mono.wav
0	30	1	2	0	C	2	1	1147	1	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_mono.wav
avg_resp = 1109
1	1	1	2	0	C	1	0	1173	0	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	2	3	3	2	I	1	0	1611	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	3	2	1	0	C	1	0	1121	0	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	4	4	3	2	I	2	0	1205	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	5	1	1	1	C	1	1	1221	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	6	3	4	2	I	1	0	1209	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	7	4	4	2	I	2	0	787	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	8	2	2	1	C	1	1	1239	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	9	4	3	2	I	1	0	718	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	10	2	1	0	C	2	1	1028	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	11	1	2	0	C	1	0	728	0	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	12	3	3	2	I	2	0	1341	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	13	2	2	1	C	1	1	676	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	14	4	4	2	I	1	0	786	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	15	1	1	1	C	1	1	849	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	16	3	4	2	I	1	0	913	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	17	1	2	0	C	1	0	1013	0	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	18	3	3	2	I	1	0	449	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	19	2	1	0	C	1	0	564	0	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	20	4	4	2	I	1	0	1107	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	21	1	1	1	C	1	1	1252	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	22	2	2	1	C	1	1	757	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	23	4	3	2	I	1	0	710	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	24	3	4	2	I	2	0	907	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	25	2	1	0	C	1	0	541	0	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	26	3	4	2	I	1	0	1465	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	27	1	1	1	C	2	0	816	0	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	28	4	4	2	I	2	0	1248	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	29	2	2	1	C	1	1	484	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	30	4	3	2	I	0	0	0	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	31	1	2	0	C	2	1	1187	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	32	3	3	2	I	1	0	761	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	33	2	1	0	C	2	1	698	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	34	3	4	2	I	2	0	942	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	35	1	1	1	C	1	1	1480	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	36	4	3	2	I	1	0	906	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	37	2	2	1	C	2	0	600	0	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	38	3	3	2	I	1	0	715	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	39	4	4	2	I	1	0	915	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	40	1	2	0	C	2	1	758	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	41	4	3	2	I	2	0	1618	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	42	1	2	0	C	1	0	667	0	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	43	3	3	2	I	1	0	1067	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	44	2	2	1	C	1	1	562	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	45	1	1	1	C	1	1	923	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	46	3	4	2	I	2	0	860	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	47	4	4	2	I	2	0	1125	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	48	2	1	0	C	2	1	790	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	49	1	1	1	C	1	1	1372	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	50	4	3	2	I	1	0	745	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	51	2	2	1	C	1	1	626	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	52	3	3	2	I	1	0	771	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	53	1	2	0	C	2	1	870	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	54	4	4	2	I	2	0	967	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	55	3	4	2	I	2	0	1158	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	56	2	1	0	C	2	1	747	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	57	1	2	0	C	2	1	704	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	58	2	2	1	C	2	0	546	0	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	59	3	4	2	I	1	0	1412	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	60	4	4	2	I	2	0	1087	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	61	3	3	2	I	1	0	1584	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	62	1	1	1	C	1	1	1026	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	63	4	3	2	I	1	0	989	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	64	2	1	0	C	2	1	900	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	65	4	4	2	I	1	0	1456	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	66	2	1	0	C	2	1	692	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	67	1	2	0	C	2	1	745	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	68	3	4	2	I	2	0	1053	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	69	2	2	1	C	1	1	913	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	70	1	1	1	C	1	1	1548	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	71	3	3	2	I	1	0	768	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	72	4	3	2	I	2	0	673	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	73	2	1	0	C	2	1	776	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	74	3	4	2	I	2	0	797	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	75	1	1	1	C	1	1	1029	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	76	4	3	2	I	1	0	936	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	77	3	3	2	I	2	0	571	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	78	4	4	2	I	2	0	776	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	79	1	2	0	C	2	1	900	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	80	2	2	1	C	1	1	616	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	81	4	3	2	I	2	0	669	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	82	2	2	1	C	2	0	734	0	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	83	1	1	1	C	2	0	927	0	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	84	3	4	2	I	2	0	1263	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	85	4	4	2	I	2	0	917	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	86	2	1	0	C	2	1	980	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	87	1	2	0	C	2	1	721	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	88	3	3	2	I	1	0	1357	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	89	1	2	0	C	2	1	630	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	90	3	4	2	I	2	0	847	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	91	4	3	2	I	1	0	923	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	92	2	2	1	C	1	1	754	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	93	1	1	1	C	1	1	937	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	94	2	1	0	C	2	1	749	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	95	4	4	2	I	1	0	965	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	96	3	3	2	I	1	0	875	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	97	1	2	0	C	2	1	1141	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	98	4	3	2	I	1	0	617	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	99	2	2	1	C	1	1	728	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	100	3	4	2	I	2	0	1017	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	101	4	4	2	I	1	0	623	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	102	3	3	2	I	1	0	722	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	103	1	1	1	C	1	1	715	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	104	2	1	0	C	2	1	1268	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	105	4	4	2	I	1	0	759	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	106	3	3	2	I	2	0	1065	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	107	2	1	0	C	2	1	664	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	108	1	2	0	C	2	1	699	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	109	2	2	1	C	2	0	487	0	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	110	4	3	2	I	1	0	807	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	111	1	1	1	C	1	1	785	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	112	3	4	2	I	2	0	1318	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	113	1	2	0	C	2	1	752	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	114	4	3	2	I	1	0	714	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	115	2	1	0	C	2	1	770	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	116	3	4	2	I	2	0	762	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	117	2	2	1	C	1	1	573	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	118	1	1	1	C	1	1	804	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	119	3	3	2	I	2	0	1206	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	120	4	4	2	I	1	0	672	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	121	2	2	1	C	1	1	660	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	122	1	2	0	C	2	1	660	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	123	4	3	2	I	1	0	673	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	124	3	3	2	I	1	0	668	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	125	4	4	2	I	1	0	736	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	126	1	1	1	C	2	0	639	0	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	127	2	1	0	C	2	1	729	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	128	3	4	2	I	2	0	1356	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	129	2	1	0	C	2	1	684	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	130	4	4	2	I	1	0	695	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	131	1	2	0	C	2	1	755	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	132	3	3	2	I	1	0	782	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	133	2	2	1	C	1	1	638	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	134	1	1	1	C	1	1	635	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	135	4	3	2	I	1	0	1084	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	136	3	4	2	I	1	0	1084	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	137	4	4	2	I	2	0	865	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	138	2	1	0	C	2	1	798	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	139	1	1	1	C	1	1	793	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	140	3	4	2	I	1	0	823	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	141	2	2	1	C	1	1	685	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	142	1	2	0	C	2	1	610	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	143	3	3	2	I	1	0	584	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	144	4	3	2	I	1	0	493	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	145	1	2	0	C	2	1	701	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	146	3	3	2	I	1	0	740	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	147	4	3	2	I	1	0	679	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	148	2	1	0	C	2	1	746	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	149	3	4	2	I	1	0	774	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	150	1	1	1	C	2	0	687	0	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	151	2	2	1	C	1	1	538	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	152	4	4	2	I	1	0	813	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	153	2	1	0	C	2	1	671	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	154	1	2	0	C	2	1	734	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	155	4	3	2	I	1	0	1152	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	156	3	4	2	I	1	0	1162	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	157	1	1	1	C	1	1	806	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	158	3	3	2	I	1	0	1246	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	159	4	4	2	I	1	0	614	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	160	2	2	1	C	1	1	744	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	161	3	3	2	I	2	0	900	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	162	1	2	0	C	2	1	744	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	163	2	2	1	C	1	1	725	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	164	4	3	2	I	2	0	1173	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	165	3	4	2	I	1	0	855	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	166	1	1	1	C	1	1	849	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	167	2	1	0	C	2	1	595	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	168	4	4	2	I	1	0	746	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	169	2	2	1	C	1	1	656	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	170	1	2	0	C	2	1	556	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	171	3	3	2	I	1	0	1141	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	172	4	4	2	I	1	0	710	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	173	3	4	2	I	1	0	596	0	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	174	1	1	1	C	1	1	766	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	175	2	1	0	C	2	1	724	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	176	4	3	2	I	1	0	595	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	177	1	1	1	C	1	1	749	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	178	2	1	0	C	2	1	643	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	179	3	3	2	I	1	0	655	1	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	180	4	4	2	I	1	0	834	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	181	1	2	0	C	2	1	769	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	182	3	4	2	I	1	0	957	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	183	4	3	2	I	1	0	736	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	184	2	2	1	C	1	1	708	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	185	1	2	0	C	2	1	1188	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	186	4	4	2	I	1	0	615	0	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	187	3	4	2	I	1	0	1043	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	188	2	2	1	C	1	1	634	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	189	1	1	1	C	1	1	782	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	190	3	3	2	I	1	0	1909	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	191	4	3	2	I	1	0	806	0	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	192	2	1	0	C	2	1	868	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	193	1	1	1	C	1	1	817	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	194	3	4	2	I	1	0	822	1	poli_8sides 4_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	195	2	2	1	C	1	1	588	1	poli_8sides 12_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	196	4	4	2	I	1	0	727	1	poli_8sides 7_whiteLine3.jpg	Long_b01_cut2_L_mono.wav
1	197	2	1	0	C	2	1	687	1	poli_8sides 12_whiteLine3.jpg	Long_s10_cut2_l_mono.wav
1	198	4	3	2	I	1	0	704	1	poli_8sides 7_whiteLine3.jpg	Long_e24_cut1_mono.wav
1	199	1	2	0	C	2	1	718	1	poli_8sides 3_whiteLine3.jpg	Long_e17_cut2_mono.wav
1	200	3	3	2	I	1	0	1233	0	poli_8sides 4_whiteLine3.jpg	Long_e24_cut1_mono.wav
2	1	4	3	2	I	1	0	1550	0	poli_8sides 9_whiteLine3.jpg	MediumShort_e22_cut1_mono.wav
2	2	3	3	2	I	2	0	998	1	poli_8sides 5_whiteLine3.jpg	MediumShort_e22_cut1_mono.wav
